 	m	o	r	o	y	e	é	p	a	n	y	í	o	k	á	n	d	á	m	ó	t	s	έ	l	έ	á	d	z	e	n	d	a	</S>
qui	0.0112901	0.0145745	0.015208	0.0100879	0.0114102	0.00981517	0.010413	0.0179451	0.0350536	0.0561439	0.0454376	0.036039	0.0219006	0.0214323	0.0195542	0.020949	0.0256046	0.025686	0.0314017	0.0224097	0.0335864	0.0235582	0.0376763	0.0258596	0.0360588	0.0335079	0.0553888	0.0459779	0.0545584	0.0471819	0.0357448	0.0566362	0.0519087
est-ce	0.179967	0.246448	0.120316	0.0292323	0.0309564	0.0108334	0.00700915	0.0104902	0.0150196	0.0134813	0.0102691	0.00731014	0.0298148	0.012812	0.0182486	0.0359742	0.0135284	0.0205155	0.0347228	0.0399996	0.0264848	0.0119639	0.0171308	0.00994447	0.0053801	0.00448269	0.00598364	0.00456754	0.00656275	0.00544463	0.0027183	0.00455369	0.00783421
qui	0.0434538	0.0566703	0.0475891	0.0374166	0.0562356	0.0173713	0.0210483	0.0442938	0.0888605	0.0851265	0.0456364	0.0333668	0.0365684	0.0619919	0.0347986	0.0282135	0.0227032	0.0304126	0.0342745	0.0283638	0.0145412	0.010612	0.013417	0.00962974	0.00624136	0.00638923	0.00831893	0.00604025	0.00674884	0.0105159	0.00963946	0.0177807	0.0257298
a	0.0803913	0.0732362	0.0365993	0.0205362	0.0336023	0.0238614	0.0377042	0.0390836	0.0333844	0.035199	0.027666	0.0276283	0.0249786	0.0322001	0.0193424	0.0543956	0.0308469	0.0395434	0.0759449	0.0531364	0.0241626	0.0254489	0.0295594	0.0185126	0.007217	0.00443574	0.00675302	0.00572556	0.00682614	0.00907707	0.0113662	0.0166419	0.0349934
accroché	0.01553	0.0183817	0.017405	0.0207108	0.0315382	0.029671	0.0333949	0.0159233	0.0206873	0.0159863	0.0109286	0.0106378	0.012322	0.043092	0.0359097	0.061062	0.082242	0.0713626	0.0772276	0.0413351	0.0358292	0.0297236	0.0261135	0.0244514	0.0162722	0.0160805	0.0176627	0.0172798	0.0181207	0.0217708	0.0167012	0.0420933	0.052553
son	0.0234639	0.0243859	0.0216316	0.0189192	0.0228466	0.0277683	0.0318431	0.0288904	0.0266783	0.0243924	0.0189174	0.0219609	0.0286913	0.0322665	0.0348072	0.0364915	0.0553451	0.0494973	0.0642831	0.0558069	0.0503889	0.045912	0.0343135	0.0290212	0.0290245	0.0203531	0.0222928	0.0192172	0.0166248	0.0165908	0.0146256	0.019124	0.0336245
vêtement	0.035127	0.0382912	0.0382748	0.0313893	0.0194963	0.0174949	0.0100609	0.00969109	0.00806117	0.006802	0.00622225	0.00737426	0.0122681	0.0240135	0.0229494	0.0276898	0.0386697	0.0322466	0.0269158	0.0254507	0.0222987	0.0342512	0.0150311	0.0185161	0.0350777	0.0281817	0.0426378	0.0571783	0.0504763	0.0567691	0.0379208	0.061202	0.10197
sur	0.0416559	0.0281131	0.0227104	0.0209674	0.0277743	0.0251882	0.0291159	0.0260057	0.0250371	0.0223204	0.0179584	0.018261	0.02049	0.0199679	0.0222041	0.0216452	0.0275862	0.0240136	0.04031	0.0457311	0.0347221	0.0381449	0.0248013	0.0284546	0.0281162	0.022756	0.0292609	0.0287333	0.0323741	0.0322368	0.044027	0.0498018	0.079515
la	0.0737311	0.0477046	0.0185744	0.00892062	0.0077154	0.0061948	0.00487056	0.00628257	0.00544796	0.00924884	0.00668803	0.0108647	0.0133932	0.0213049	0.0210321	0.035279	0.0417396	0.0521048	0.0642336	0.0834932	0.0528969	0.0719829	0.0581793	0.0242652	0.0207339	0.0120301	0.0194525	0.0254984	0.020618	0.0249812	0.0324342	0.0381078	0.0599955
pointe	0.0370885	0.0223493	0.0166187	0.00864603	0.00754911	0.00284074	0.00187551	0.00271805	0.00188138	0.00187304	0.00244444	0.00414704	0.0107278	0.00807155	0.0168217	0.0249727	0.036514	0.0575112	0.087422	0.127158	0.0361338	0.07563	0.0240834	0.0122489	0.0133227	0.0109513	0.0214899	0.0483518	0.0492558	0.0533835	0.0375669	0.0560202	0.0823313
</S>	0.100812	0.0638692	0.0350374	0.0230946	0.0228231	0.0102032	0.00698838	0.00369206	0.00329555	0.00351685	0.00418013	0.00600361	0.00630532	0.00774169	0.011235	0.0161832	0.0203647	0.0212289	0.0516603	0.0562184	0.0214984	0.0484274	0.0127526	0.0102839	0.0105217	0.0100124	0.0204663	0.0262791	0.0288299	0.0376389	0.0613805	0.0725804	0.164874
