 	e	k	o	o	l	í	y	é	é	k	o	í	a	m	á	p	a	b	a	r	e	e	k	á	m	b	i	s	i	b	í	s	í	a	y	έ	l	i	</S>
la	0.0142948	0.0161368	0.0126504	0.0130239	0.0167849	0.0146005	0.0363433	0.0316925	0.0289485	0.0257513	0.0262183	0.069661	0.0450314	0.0545449	0.0327992	0.0258017	0.0157297	0.0249174	0.0214612	0.0163189	0.018972	0.0141162	0.0110124	0.0110722	0.0124938	0.013673	0.0143859	0.0149546	0.017057	0.0272183	0.0216809	0.0237542	0.0279045	0.0288587	0.044919	0.0466112	0.0412537	0.0368477	0.0305042
manière	0.0271898	0.0807026	0.096148	0.0646052	0.0337869	0.0292294	0.0388045	0.0214878	0.0234231	0.0258312	0.0318545	0.0648469	0.0484363	0.0540486	0.0416691	0.0324867	0.0369783	0.0487742	0.0487831	0.0387739	0.0188411	0.0116769	0.00371513	0.00596483	0.00157628	0.00213142	0.0021564	0.00159483	0.00277704	0.00473163	0.00862372	0.00810238	0.00990585	0.00861032	0.00886277	0.00553918	0.00407562	0.00181685	0.00143788
dont	0.0884717	0.0382902	0.0222192	0.0164358	0.00830146	0.00799406	0.0112476	0.0103957	0.00934047	0.0096976	0.0146349	0.0211395	0.0243081	0.020344	0.0403915	0.0550594	0.0979928	0.131428	0.109637	0.0574495	0.039819	0.0252227	0.0167532	0.0137795	0.0082379	0.00951185	0.00866833	0.00674692	0.00772052	0.00947662	0.00876369	0.0103898	0.00935453	0.00899682	0.00381068	0.00385089	0.00310953	0.00471916	0.00628981
le	0.0573184	0.0612597	0.0334419	0.0325027	0.0268686	0.0244798	0.0295046	0.0356574	0.0252594	0.0134197	0.0159168	0.0333733	0.0170835	0.0170587	0.0138314	0.0452419	0.0293029	0.088428	0.101722	0.0467101	0.0368035	0.0237775	0.0274007	0.0175796	0.0106891	0.0172545	0.00914909	0.00982796	0.00971936	0.00899623	0.00626121	0.00560462	0.00690426	0.00490146	0.00621499	0.00792381	0.0057582	0.0098497	0.0270035
pain	0.0402471	0.0386709	0.0342451	0.0333939	0.0474676	0.067838	0.0480315	0.0600269	0.0473128	0.0509627	0.0269208	0.0227383	0.0341848	0.0178993	0.0234357	0.0354716	0.0451353	0.0474129	0.0394297	0.0212319	0.0137748	0.0151366	0.0119857	0.0166514	0.0134348	0.0148716	0.0126926	0.0145081	0.0147783	0.0123476	0.00973872	0.00925577	0.0068115	0.00566086	0.00559409	0.00721058	0.00602439	0.00900206	0.0184637
a	0.0145608	0.0181994	0.018126	0.0171888	0.0233673	0.0222775	0.0202079	0.0230222	0.0151086	0.0113358	0.006594	0.00940822	0.00974017	0.00995484	0.00964812	0.0179727	0.0422638	0.100957	0.10447	0.06803	0.0470042	0.052781	0.0392169	0.0433199	0.0275522	0.0283507	0.0290148	0.0284028	0.0302607	0.0247355	0.0197392	0.0122206	0.00740487	0.0043832	0.00407866	0.0034824	0.00475018	0.00457691	0.0262917
suffi	0.0309327	0.0231067	0.0184443	0.0144741	0.018556	0.0219074	0.0174532	0.0206414	0.0177761	0.0157066	0.0081476	0.00855716	0.0135272	0.00937528	0.00758077	0.0113937	0.0195024	0.0343508	0.0264123	0.0284779	0.0312314	0.0253607	0.034321	0.0326619	0.0378629	0.0382366	0.0349233	0.0519799	0.050351	0.041336	0.0480304	0.0305237	0.0253548	0.0161975	0.0160696	0.0179048	0.0209542	0.0209034	0.0594732
pour	0.0410202	0.0327335	0.0411895	0.0474914	0.0623783	0.0711895	0.0510349	0.0467881	0.0280551	0.0324858	0.0292854	0.0300265	0.0310985	0.0264328	0.021412	0.0183982	0.0171045	0.0255169	0.0138157	0.0170777	0.0261122	0.0306356	0.0213942	0.0255025	0.0178235	0.015031	0.0176703	0.0124137	0.0160259	0.0116704	0.0106764	0.00612613	0.00572583	0.00927187	0.00621167	0.00593839	0.00963715	0.00867835	0.0589206
tout	0.0509403	0.0342492	0.0288521	0.030935	0.0305447	0.0322591	0.0281419	0.0343298	0.0324369	0.0245713	0.0117347	0.0109476	0.0162361	0.0126223	0.0138645	0.00662378	0.00939381	0.0179002	0.0147009	0.019789	0.0300122	0.0280068	0.0318665	0.0237761	0.0253726	0.0196101	0.0233498	0.0227713	0.0150791	0.0144581	0.0249615	0.0136869	0.019569	0.0228616	0.0164158	0.022698	0.0364625	0.0299214	0.118047
le	0.0466905	0.031711	0.0266698	0.0222269	0.0166409	0.0159255	0.00720438	0.0104701	0.00940943	0.00932902	0.00826618	0.00628018	0.00503751	0.00471565	0.00443349	0.00405686	0.00628431	0.013333	0.0137567	0.0179498	0.0267668	0.0323679	0.0335263	0.0363934	0.0368216	0.0331137	0.0333701	0.0353773	0.0276788	0.0245369	0.0307603	0.0227211	0.0295186	0.0353559	0.0258166	0.0452054	0.058734	0.0513156	0.100229
monde	0.0425707	0.0432316	0.0385933	0.0308886	0.0176515	0.00962442	0.00450663	0.00536355	0.00559452	0.00674626	0.00748303	0.00735172	0.00645791	0.00645351	0.00676626	0.00855058	0.0157322	0.035383	0.030827	0.0337387	0.0465095	0.0435582	0.0365903	0.0430119	0.0364278	0.0241281	0.0344929	0.0178556	0.0190614	0.0158241	0.0177797	0.0120791	0.014433	0.0229406	0.0134911	0.024022	0.0679341	0.0350745	0.111271
nous	0.239111	0.0684683	0.0300546	0.0180455	0.0110655	0.0093452	0.00369596	0.00482894	0.0038464	0.00376211	0.00372348	0.00374485	0.00580614	0.00509874	0.00770308	0.00894208	0.0140158	0.0198772	0.0186055	0.0186514	0.020426	0.0340293	0.0261938	0.0291883	0.0255053	0.0269256	0.0325188	0.0339294	0.0332749	0.0358879	0.0246933	0.0217453	0.0166634	0.0174373	0.0104477	0.0117823	0.0203781	0.0128522	0.0677289
