 	m	w	á	n	a	w	o	b	o	l	á	a	s	w	έ	n	g	έ	s	έ	o	n	d	z	í	i	m	í	n	y	u	n	g	u	</S>
cet	0.00640211	0.0110601	0.0111297	0.00938295	0.00591804	0.00568854	0.00452384	0.00623141	0.00687257	0.0198232	0.0249767	0.04342	0.0368532	0.0558683	0.0546493	0.0550707	0.0378993	0.0348167	0.0281661	0.0396933	0.0318942	0.0376465	0.0362524	0.0262735	0.019627	0.0237232	0.0251648	0.022211	0.0290883	0.0440623	0.0342343	0.0348256	0.0419185	0.0481336	0.0464987
enfant	0.01654	0.0250005	0.0371484	0.0996629	0.162812	0.0696122	0.12797	0.119009	0.0745134	0.0237853	0.0175684	0.0142681	0.0171061	0.0332017	0.00783885	0.0135489	0.00568932	0.0163853	0.0264028	0.0266516	0.0128794	0.00233222	0.0037942	0.00174336	0.00232233	0.00440364	0.0048547	0.0179117	0.00952257	0.00280879	0.00069276	0.000676363	0.000645715	0.000515769	0.000181511
est	0.0202696	0.0172624	0.0149472	0.019536	0.0159442	0.0203284	0.01798	0.0310871	0.0364316	0.0222495	0.0499096	0.0181369	0.0215014	0.0147426	0.0232274	0.022954	0.0292205	0.0546319	0.100114	0.0837862	0.0254622	0.0432943	0.0230574	0.0397924	0.0557056	0.0423666	0.0398571	0.0226354	0.0137347	0.0198153	0.00910468	0.0085783	0.00779688	0.0101786	0.00435952
en	0.0159322	0.0120248	0.0136146	0.0182492	0.0212699	0.0534928	0.0259365	0.0282093	0.0217081	0.0161243	0.0174952	0.0221325	0.0320915	0.0213035	0.0243059	0.0287645	0.0231741	0.020548	0.0460912	0.0691251	0.0538042	0.0621615	0.0484299	0.0390946	0.0296298	0.0246162	0.0264777	0.028581	0.0270328	0.0257864	0.0150805	0.0171958	0.0190134	0.0333664	0.0181365
train	0.0167057	0.028675	0.0224093	0.0302637	0.0290352	0.0221678	0.0138959	0.0203049	0.0111346	0.0119722	0.012101	0.0209158	0.0206679	0.033644	0.0239296	0.0297292	0.023151	0.0203253	0.051752	0.0565864	0.042443	0.00970204	0.0211823	0.0114334	0.00823214	0.0269828	0.0300212	0.0548598	0.0529462	0.0508646	0.0375132	0.0406951	0.0380875	0.0356421	0.0400281
de	0.094858	0.0482971	0.0313012	0.0261481	0.0223574	0.0195307	0.0112528	0.0155454	0.0126582	0.0122641	0.0189082	0.0159567	0.0135221	0.00705113	0.0175205	0.0186447	0.033607	0.0461748	0.0533622	0.0923606	0.090679	0.0357155	0.00969693	0.0107378	0.0150156	0.0166809	0.00767841	0.0124174	0.00985532	0.00607402	0.0120551	0.012189	0.0175625	0.0258505	0.106471
serrer	0.0276477	0.0169478	0.0114966	0.0123452	0.0163023	0.0144719	0.0216108	0.0231599	0.0310202	0.0210285	0.0193891	0.0281654	0.0481316	0.0333046	0.0451004	0.0718093	0.0607621	0.0498371	0.0697118	0.0352622	0.0450996	0.0153932	0.0348442	0.0209373	0.0266618	0.0346054	0.017719	0.0314893	0.0239007	0.0131708	0.00874265	0.0108318	0.0106668	0.0148726	0.0335604
la	0.061355	0.0313204	0.0239819	0.0184761	0.0120986	0.0110437	0.00808306	0.0104826	0.007908	0.00484061	0.00407124	0.0052329	0.00687064	0.00423169	0.00616473	0.00775385	0.0155569	0.0147672	0.0433316	0.044413	0.0475157	0.0571083	0.0404536	0.0333586	0.02631	0.0285056	0.0183319	0.0272381	0.0248631	0.0485477	0.0569753	0.0506404	0.0414246	0.0376884	0.119055
corde	0.0874303	0.0762854	0.0200341	0.0251064	0.0165633	0.014371	0.00627157	0.0077969	0.00557382	0.00572839	0.00552642	0.00625014	0.00560538	0.00536483	0.00813719	0.0069446	0.0131971	0.0135168	0.0210137	0.0121175	0.0309436	0.00278841	0.014384	0.00213528	0.00185499	0.00578915	0.00492308	0.00892328	0.0149911	0.0323412	0.0241229	0.0430111	0.0607185	0.0947601	0.295478
qui	0.133001	0.10075	0.0418696	0.032529	0.0211059	0.0110586	0.0084041	0.00960188	0.00781831	0.00594243	0.00548043	0.00573074	0.00579905	0.00495348	0.00433435	0.00619075	0.00767708	0.0115779	0.02551	0.0223233	0.0238166	0.0137572	0.01389	0.00579196	0.00889404	0.0117395	0.00790972	0.0108638	0.00988786	0.0195273	0.0248401	0.0363469	0.0432871	0.0531123	0.244677
