 	m	o	r	o	w	ó	l	e	m	b	a	r	a	l	í	n	g	ω	r	ω	í	m	i	w	ó	á	b	v	ú	a	</S>
cet	0.0153943	0.00926352	0.00990601	0.0101107	0.0149951	0.0116952	0.0156629	0.00987349	0.0146566	0.0149154	0.0121778	0.0201353	0.0238855	0.016097	0.0154653	0.0192544	0.0331578	0.0197355	0.0417802	0.033217	0.0461222	0.0452014	0.0445089	0.0603223	0.0599884	0.0678072	0.0659135	0.0672198	0.0620059	0.0640947	0.0554365
homme	0.0702094	0.160297	0.166315	0.100156	0.0702601	0.110465	0.0918153	0.0399955	0.0268816	0.0616537	0.0115629	0.00388514	0.00110381	0.000836575	0.000877584	0.00116189	0.00358382	0.00468647	0.00471814	0.00364562	0.0108533	0.00674073	0.00821915	0.00616682	0.00742342	0.00738939	0.00684384	0.00664311	0.00278544	0.00209786	0.000726606
a	0.049433	0.0485337	0.0733075	0.0341544	0.0140057	0.0158331	0.00834934	0.0151651	0.0153013	0.0153765	0.0184945	0.0535414	0.0326754	0.0683982	0.0649409	0.0583943	0.0528569	0.0402469	0.0334959	0.021694	0.0390062	0.0308375	0.0187195	0.0285619	0.0456858	0.0292234	0.02732	0.0197673	0.0119439	0.009919	0.00481747
eu	0.00862571	0.0124075	0.0180745	0.0249784	0.046352	0.0317557	0.030542	0.0519727	0.0365786	0.0245035	0.0160957	0.0349439	0.0388623	0.0422955	0.065227	0.0590437	0.0570245	0.0381276	0.0385351	0.0298531	0.0285959	0.0361286	0.0278939	0.0282332	0.016202	0.0257172	0.0146726	0.0374996	0.0193897	0.0212696	0.0385989
un	0.0304311	0.033413	0.0324915	0.0295781	0.0193898	0.0183466	0.0177823	0.0254986	0.0269361	0.0257889	0.0149662	0.0156219	0.0255274	0.0246898	0.0244967	0.0317181	0.0474	0.0545484	0.060749	0.0669376	0.0444267	0.043813	0.0316605	0.0206498	0.0248961	0.0235918	0.0222024	0.0311996	0.033632	0.0393239	0.0582932
choc	0.0320919	0.0250512	0.0178616	0.0142572	0.0165343	0.0131452	0.0177683	0.0210009	0.0159869	0.0254558	0.00836216	0.00650051	0.0155554	0.0126251	0.0105498	0.0198958	0.0384224	0.0780194	0.0550978	0.0708228	0.0633726	0.0601708	0.0597154	0.0511755	0.0463558	0.0465759	0.0429865	0.0376153	0.0240028	0.024395	0.02863
à	0.0226902	0.0165139	0.0119471	0.0101632	0.0102283	0.0113043	0.0123927	0.0139495	0.0138853	0.014514	0.0156293	0.0206772	0.0247774	0.0255041	0.0308884	0.0323991	0.0365942	0.0514144	0.0600917	0.0610901	0.0551018	0.0562562	0.0588171	0.0237703	0.0430979	0.0468126	0.0322215	0.0419442	0.0258803	0.0555278	0.0639159
la	0.0257656	0.0208506	0.026521	0.0306865	0.0258308	0.0311144	0.0178324	0.0192526	0.0129633	0.0161102	0.0196818	0.0182969	0.0139873	0.015145	0.0179843	0.0184123	0.0265208	0.0311492	0.0385736	0.0331817	0.0376893	0.0303409	0.0351239	0.0409832	0.037986	0.0504017	0.0478821	0.0539994	0.0453473	0.0604725	0.0999133
rotule	0.0549542	0.039832	0.0404769	0.0379579	0.0324995	0.0202361	0.0150729	0.0120721	0.0120282	0.018587	0.0217345	0.0214955	0.0302397	0.0263992	0.020949	0.0467601	0.0390677	0.0590895	0.022333	0.0169877	0.0176477	0.0151159	0.0207358	0.0144524	0.0153963	0.0202603	0.0224771	0.0266389	0.0233707	0.0744945	0.160638
</S>	0.0794596	0.0798859	0.0661216	0.0394245	0.0170418	0.0151876	0.0146422	0.0147891	0.0169502	0.0189107	0.0239361	0.0232875	0.02268	0.0280529	0.0288896	0.0272199	0.0232113	0.0360112	0.0425676	0.0555756	0.0222747	0.029077	0.0240292	0.0146391	0.0138753	0.0177882	0.0137953	0.0234365	0.0176356	0.0344886	0.115116
