 	k	ú	n	y	ε	a	d	í	l	i	k	ώ	r	ω	l	a	á	o	t	o	b	h	i	l	a	o	l	a	á	</S>
le	0.00842992	0.0078697	0.00970902	0.0120891	0.0144156	0.0129125	0.00651426	0.00838052	0.0136971	0.0266406	0.049756	0.0573121	0.0650603	0.115591	0.10157	0.116232	0.0869314	0.0379801	0.0369554	0.0270405	0.0183663	0.0267173	0.0231133	0.0147641	0.0203006	0.0193238	0.0230738	0.0172263	0.0132481	0.00877947
héron	0.0273663	0.043213	0.116175	0.114683	0.108045	0.163899	0.0642209	0.0833813	0.0577982	0.0394748	0.0184642	0.0122096	0.00547832	0.0077936	0.0151481	0.0245869	0.0201928	0.0137471	0.0082711	0.00764233	0.00936375	0.0127116	0.00563706	0.00425522	0.00783208	0.0033464	0.00236204	0.00127954	0.000926772	0.000494697
a	0.061986	0.0407045	0.0350413	0.0253498	0.0277206	0.0271424	0.0210216	0.0222596	0.0312515	0.0591474	0.0471329	0.0606081	0.0347319	0.0351712	0.0293608	0.0410467	0.0358175	0.0418973	0.0243098	0.0179623	0.0317311	0.0473276	0.0637024	0.0244375	0.0472738	0.0208874	0.0142779	0.0201761	0.00656881	0.00395388
une	0.0236457	0.0337557	0.0472689	0.0651879	0.0860919	0.0654371	0.0331563	0.0287718	0.0195402	0.0583153	0.0585923	0.0605881	0.0307157	0.0354486	0.0175891	0.0165843	0.0193119	0.0218653	0.0231288	0.0267688	0.0316088	0.0342135	0.0272744	0.0255524	0.0149783	0.0217156	0.0151226	0.0143138	0.0139538	0.0295036
tête	0.027436	0.0177683	0.0146006	0.0134592	0.0204795	0.0267107	0.0230555	0.0260767	0.0257002	0.0381758	0.0244598	0.0288337	0.0166741	0.0164963	0.0308584	0.0459724	0.0540324	0.0689156	0.05106	0.0549464	0.0634255	0.0608711	0.0401784	0.0317321	0.0350978	0.0392686	0.0280482	0.0259987	0.022605	0.0270633
ressortie	0.081227	0.0408614	0.0282756	0.0402804	0.0549201	0.0483892	0.0350051	0.0390008	0.0212379	0.0816326	0.0675846	0.0895027	0.0445748	0.0283519	0.0139929	0.0108484	0.00790566	0.0128002	0.0132997	0.0222178	0.0265048	0.021097	0.013443	0.0130476	0.0181632	0.0174937	0.0211987	0.0116204	0.027139	0.0483836
et	0.069623	0.0283945	0.0140254	0.00880006	0.00788709	0.0132501	0.0144284	0.0220666	0.0226033	0.0607183	0.0531008	0.0690248	0.053962	0.0312237	0.0376057	0.0317793	0.0363505	0.0469524	0.024211	0.052439	0.0712796	0.0371837	0.0287824	0.0175907	0.022079	0.026633	0.0250002	0.0107066	0.0169852	0.0453138
un	0.0223007	0.0181111	0.0182814	0.0198517	0.0238598	0.0330794	0.0363978	0.0369098	0.0458367	0.03723	0.0252754	0.0299347	0.0240169	0.016771	0.0149164	0.0115694	0.0130138	0.0120762	0.0255339	0.0353908	0.0446138	0.0419961	0.0432211	0.0494922	0.0292383	0.0491919	0.0442881	0.031791	0.0592296	0.106581
long	0.0544875	0.0355682	0.029211	0.0299778	0.0198697	0.0166352	0.00830454	0.00829168	0.00740303	0.0120901	0.00979046	0.0224401	0.0228581	0.0176236	0.0377565	0.0278621	0.0314976	0.0227969	0.0598442	0.0617369	0.044159	0.0179648	0.0158984	0.0174778	0.00762686	0.0360838	0.0193161	0.00860473	0.0638064	0.233017
bec	0.0569441	0.0454955	0.0398832	0.0293668	0.0251729	0.0197343	0.0137721	0.0115516	0.0102056	0.010836	0.00679054	0.0138205	0.0121837	0.0122654	0.0179141	0.0153667	0.0165623	0.0192416	0.0603941	0.0591062	0.0640399	0.0303549	0.0195385	0.0142373	0.0119335	0.0179995	0.0155063	0.0186102	0.0491913	0.261981
</S>	0.0624684	0.0453789	0.0415293	0.0397713	0.0261115	0.0222353	0.0103089	0.00843171	0.008751	0.00901778	0.0090079	0.010012	0.0110395	0.0109003	0.0148733	0.0171345	0.0202304	0.0235302	0.0647709	0.0543387	0.039423	0.0250496	0.0275896	0.022874	0.0244637	0.0618471	0.0427227	0.026246	0.0909445	0.128998
