 	m	w	á	n	a	á	m	i	d	z	w	á	o	b	ω	n	d	ώ	t	á	á	ó	p	o	o	</S>
l'	0.00791326	0.0124224	0.0122785	0.00574251	0.00283649	0.00710131	0.00856835	0.00970278	0.0200085	0.0526592	0.0389503	0.0470957	0.0447953	0.0493089	0.120747	0.0676516	0.0385228	0.0571445	0.0480808	0.0556364	0.0359866	0.0652138	0.0453791	0.0417072	0.0294366	0.0751107
enfant	0.0754011	0.181867	0.0792743	0.116058	0.198783	0.129796	0.0517923	0.0585605	0.0379079	0.013773	0.0126863	0.0119996	0.0117401	0.0107664	0.00135902	0.00220383	0.000651584	0.000271803	0.000376566	0.000619161	0.000600154	0.000875654	0.000695999	0.000898937	0.000751057	0.000291189
est	0.033331	0.0551148	0.0800818	0.0770955	0.0700389	0.060883	0.0609647	0.0284045	0.0297805	0.0192127	0.0355778	0.0328659	0.0380028	0.0240647	0.025824	0.0362585	0.025115	0.0216846	0.0197583	0.0310729	0.0179041	0.0269318	0.0145258	0.0381618	0.0625331	0.0348112
allé	0.023711	0.0160935	0.0154096	0.0151971	0.0155141	0.0240989	0.0415444	0.0368142	0.0467331	0.0494468	0.0831757	0.106153	0.0970896	0.12477	0.0570022	0.0512227	0.037334	0.0239409	0.0287211	0.0141843	0.0164951	0.0137697	0.0173196	0.0123219	0.0121322	0.0198056
réparer	0.0904499	0.0296889	0.0223212	0.0159629	0.0185156	0.0158124	0.0160017	0.0180024	0.0210897	0.0259079	0.0344217	0.0296242	0.02285	0.0316699	0.0347805	0.0326654	0.0422874	0.0444724	0.0434905	0.0459374	0.0483448	0.0523199	0.0544067	0.052084	0.0655595	0.0913331
l'	0.155069	0.149809	0.0786415	0.0497421	0.0379133	0.0189804	0.0202194	0.0236099	0.0232747	0.0285249	0.0271798	0.037297	0.0206096	0.0175727	0.0151886	0.0106571	0.0114979	0.0129219	0.013537	0.0152801	0.0189332	0.0201701	0.0287498	0.0283068	0.070373	0.0659414
offense	0.0471391	0.0440118	0.0360332	0.0280593	0.0228757	0.0139336	0.0191366	0.0145377	0.0140982	0.0186607	0.0188198	0.0599397	0.0685391	0.0458482	0.0418511	0.0419142	0.0510619	0.0509657	0.0272533	0.0277736	0.019121	0.0333129	0.0319555	0.0338248	0.0873647	0.101969
auprès	0.0534614	0.0698074	0.0570237	0.0604648	0.0370485	0.0270102	0.0239074	0.0266201	0.0260985	0.0233566	0.0277954	0.0498855	0.0537138	0.0405913	0.0487983	0.0282679	0.031947	0.0283575	0.028747	0.0223578	0.0176895	0.0213969	0.0236408	0.037445	0.0592148	0.0753529
de	0.0539221	0.0472103	0.0452619	0.0372736	0.0370662	0.0253185	0.0207705	0.0229108	0.0180944	0.0244039	0.0249767	0.0250718	0.0244033	0.0252719	0.0272588	0.0266914	0.0309114	0.0324121	0.036294	0.0369861	0.0421653	0.0463301	0.0623104	0.0688042	0.0767976	0.0810828
son	0.0511924	0.0495455	0.049793	0.0442865	0.0445344	0.0289905	0.0176264	0.0218287	0.0247092	0.0205463	0.0228233	0.0230585	0.0190891	0.0233665	0.0267567	0.0235228	0.0311982	0.0330843	0.0407936	0.0452506	0.0480918	0.0547458	0.0603579	0.0627517	0.0654341	0.0666221
père	0.0664632	0.0585499	0.0641604	0.050535	0.05075	0.0307437	0.0170361	0.0130893	0.00741805	0.00894907	0.00689256	0.0112829	0.0256143	0.0259321	0.0273817	0.0269677	0.0261892	0.0303171	0.0317648	0.0293596	0.0321727	0.0737222	0.0577605	0.0641312	0.0602434	0.102573
au	0.040826	0.035495	0.0322417	0.0245108	0.0186126	0.0179566	0.017234	0.0160433	0.0118705	0.0105823	0.0137441	0.0128944	0.0281335	0.0282259	0.0420254	0.0365284	0.0234674	0.0289364	0.0376547	0.0328836	0.039807	0.0784788	0.0615795	0.0864283	0.10204	0.1218
village	0.0502512	0.0416171	0.0412838	0.026309	0.0247709	0.0213535	0.0170928	0.0119986	0.0100181	0.0108959	0.011229	0.015029	0.0327188	0.0463246	0.052592	0.0546785	0.0549474	0.0392614	0.0407009	0.0310774	0.0349223	0.0826243	0.0633053	0.0530762	0.0464977	0.0854244
</S>	0.03484	0.024073	0.0146328	0.0111762	0.0110012	0.011698	0.0171913	0.0137247	0.0213943	0.0145083	0.0254592	0.0224941	0.0251829	0.026144	0.0274733	0.0343	0.0382199	0.0310747	0.0466503	0.0466491	0.0519934	0.0664301	0.0634935	0.0952948	0.110463	0.114438
