 	n	g	á	i	d	í	l	a	y	έ	l	ε	t	s	í	n	a	n	g	á	í	m	i	k	o	b	h	á	n	z	a	m	b	é	</S>
je	0.0490707	0.175744	0.409708	0.164927	0.0701825	0.0339653	0.0183854	0.0148745	0.00135114	0.000942207	0.000594236	0.00105402	0.00183679	0.00153306	0.00420591	0.00322446	0.00324036	0.00457598	0.00487389	0.00358675	0.00229887	0.00204591	0.00255308	0.00192867	0.00225112	0.00175177	0.00227409	0.00213242	0.00206741	0.00217271	0.00214855	0.00215602	0.00203275	0.00208604	0.00222468
suis	0.0357981	0.00582195	0.00625997	0.0244374	0.0466663	0.0383375	0.0571193	0.0557205	0.10742	0.110262	0.112475	0.0850203	0.0741128	0.0557767	0.037883	0.0192251	0.00744969	0.00695024	0.00520647	0.00537653	0.00868974	0.00583207	0.00493493	0.00394761	0.00596627	0.00997557	0.00688857	0.00920993	0.00496974	0.00458753	0.0068781	0.00383955	0.0032336	0.00585732	0.0178711
dans	0.0242775	0.011836	0.0184916	0.021551	0.02333	0.0144225	0.0175079	0.0142048	0.0304854	0.0189297	0.00928964	0.0112598	0.0161076	0.0135127	0.0210828	0.0273096	0.0388737	0.0528317	0.0700512	0.027886	0.0357601	0.0270236	0.030631	0.0293703	0.065883	0.0382122	0.0600838	0.0448486	0.0434523	0.0368363	0.0218162	0.0237215	0.0199158	0.0206687	0.0185359
la	0.0217556	0.0225692	0.0179021	0.030992	0.0374444	0.0311652	0.034188	0.0177461	0.0314633	0.0303435	0.0294707	0.0213473	0.0228207	0.0273347	0.0179308	0.0265743	0.0321937	0.0180244	0.0146311	0.0139089	0.0198601	0.0282163	0.0187008	0.0324271	0.0274899	0.0331972	0.0314848	0.024947	0.0370412	0.0341444	0.0300654	0.0388758	0.0469688	0.0499782	0.0467968
joie	0.0133092	0.0132097	0.0134262	0.0128854	0.0129467	0.0103845	0.0136387	0.0218623	0.0353024	0.0243098	0.0159262	0.0170291	0.0203173	0.0159285	0.0159021	0.0250474	0.0374731	0.036417	0.0580526	0.0530856	0.0448286	0.0397481	0.0408583	0.0493269	0.0384797	0.0368116	0.03353	0.0301385	0.0318417	0.0242163	0.0258041	0.0293893	0.0309289	0.034743	0.0429012
parce	0.00685048	0.00892572	0.00836632	0.0074026	0.00612263	0.00696593	0.00823605	0.0152681	0.0159376	0.0182128	0.018635	0.0174886	0.013411	0.0148237	0.0132233	0.0178285	0.025621	0.028168	0.0375083	0.0377635	0.035334	0.0385443	0.0309133	0.0463496	0.0408887	0.0406855	0.0399109	0.0411549	0.0490566	0.0452522	0.0462639	0.0494953	0.0528177	0.0566176	0.0599564
que	0.035763	0.0312685	0.0279026	0.0209311	0.0112182	0.0182902	0.0193176	0.028015	0.0427942	0.0263366	0.0227439	0.0192293	0.0200402	0.0143906	0.0133617	0.0143415	0.015081	0.0186793	0.0267926	0.0180749	0.0212838	0.0201208	0.0177843	0.0180629	0.0198754	0.0199433	0.0201084	0.0256563	0.0334911	0.0336137	0.0468597	0.0614696	0.063781	0.0581438	0.0952339
je	0.0487003	0.0498163	0.0387996	0.0334799	0.0200138	0.0318805	0.0194849	0.024178	0.0278766	0.015915	0.0129671	0.010851	0.0122162	0.00941164	0.00943998	0.0113638	0.01383	0.0200652	0.0295356	0.0234763	0.0259414	0.0267101	0.0249549	0.0232261	0.0260192	0.0261469	0.0260346	0.0286804	0.0348939	0.0337071	0.0471313	0.0502803	0.05215	0.0542752	0.0565467
me	0.0536552	0.0302654	0.0247186	0.0240921	0.0284685	0.0198612	0.0233337	0.0250166	0.0250569	0.0136981	0.0130428	0.0112784	0.0104473	0.00879123	0.00805788	0.0103421	0.0154262	0.0183581	0.0243306	0.0221274	0.0230087	0.0229927	0.0234151	0.0220548	0.0300076	0.0301388	0.0321426	0.0395084	0.0465876	0.0453691	0.0528525	0.0532193	0.053884	0.0558009	0.0586496
suis	0.135005	0.105188	0.0456596	0.0378879	0.0269335	0.0267932	0.028453	0.0211861	0.0134535	0.019075	0.0212517	0.0173012	0.0119246	0.0123522	0.0133147	0.013085	0.0164559	0.0177337	0.0233247	0.0242757	0.035801	0.0310227	0.0279712	0.0285608	0.0208946	0.017112	0.0146713	0.0159969	0.0194827	0.0202761	0.022849	0.025722	0.0250656	0.0281192	0.0358009
fait	0.0697028	0.0593492	0.0320292	0.0384455	0.0285324	0.0208852	0.037558	0.0146004	0.00988495	0.0125664	0.0108973	0.01256	0.011291	0.0116216	0.00840109	0.0115177	0.0131554	0.0242863	0.0248289	0.0224279	0.0424374	0.0345165	0.0230197	0.0407387	0.043396	0.0292992	0.0200375	0.0285783	0.0518937	0.0475975	0.0281436	0.0389941	0.037218	0.0251322	0.0344564
baptiser	0.0689784	0.0284045	0.0339222	0.0583234	0.0494973	0.0307813	0.029241	0.022376	0.0146915	0.0113623	0.00722363	0.00821234	0.00771356	0.00683076	0.0087031	0.0108706	0.0123846	0.0171199	0.0178135	0.0183501	0.0332566	0.0326067	0.0277892	0.0273705	0.0338706	0.0272978	0.0284447	0.0276971	0.0381729	0.0361169	0.0402969	0.0450018	0.0464876	0.042737	0.0500536
</S>	0.0444152	0.024978	0.0376701	0.0319407	0.0327842	0.0232271	0.0247691	0.0205121	0.0240966	0.0173045	0.0131811	0.0114527	0.0102367	0.00819177	0.0102895	0.0110529	0.0113841	0.0142987	0.0189681	0.0209875	0.0317799	0.0341337	0.0262346	0.0376894	0.042668	0.0352152	0.0318213	0.033729	0.0471982	0.0400639	0.0410521	0.0429415	0.042631	0.0392049	0.0618966
