 	a	y	ú	r	u	b	e	t	u	r	i	í	k	á	n	g	a	b	á	a	b	í	n	á	l	i	t	u	b	h	a	</S>
les	0.0999113	0.136217	0.0954641	0.0709703	0.0377256	0.0204148	0.0204601	0.0136547	0.0184423	0.00927762	0.0206905	0.020309	0.0208165	0.0254579	0.0268306	0.0234313	0.0180419	0.0273093	0.0295085	0.0264737	0.0253198	0.0253169	0.025856	0.0213015	0.0219521	0.020801	0.0171225	0.019075	0.0202704	0.0206466	0.0113955	0.00953569
femmes	0.0598781	0.0485235	0.0389654	0.0522645	0.0618842	0.088233	0.13245	0.0756073	0.0691093	0.0505865	0.0266286	0.0265282	0.012816	0.00699168	0.0129047	0.00582712	0.0110951	0.0125888	0.0096341	0.0173393	0.0141436	0.0229055	0.024541	0.0174119	0.0138025	0.0176487	0.015821	0.0186169	0.015029	0.010365	0.0048417	0.00501757
de	0.0223835	0.0199757	0.021141	0.0308724	0.0229972	0.0139754	0.0238737	0.0275235	0.0323297	0.0434566	0.0542699	0.0723323	0.0649364	0.0582813	0.0887659	0.0310373	0.0241928	0.0495336	0.0335841	0.0478739	0.025031	0.0329302	0.0239317	0.0264864	0.0143268	0.0181669	0.0111619	0.0113839	0.0148325	0.012595	0.0115018	0.0143158
l'	0.012723	0.0159577	0.0247114	0.0269073	0.0360618	0.0241929	0.0217336	0.0359328	0.0533061	0.0557589	0.0719603	0.0733663	0.0654553	0.0348164	0.0287145	0.0327828	0.0239675	0.0154205	0.0198846	0.0270366	0.0277713	0.0242807	0.0245023	0.0283712	0.0238857	0.0170858	0.0209681	0.0153364	0.0173665	0.0241073	0.028636	0.0469984
association	0.0170729	0.015193	0.0148645	0.0153486	0.0153625	0.0152135	0.0177878	0.01769	0.0161244	0.0160556	0.0173929	0.0210023	0.0238448	0.0414169	0.0506468	0.0484029	0.0497375	0.0489581	0.0601907	0.0442633	0.0435701	0.0413306	0.0442361	0.0417074	0.0307099	0.0378584	0.0336014	0.0280942	0.0367781	0.029657	0.026786	0.039102
folklorique	0.031343	0.0188555	0.0186754	0.0178783	0.0164177	0.0193266	0.0240711	0.0344784	0.0273148	0.041509	0.045487	0.0442335	0.0358588	0.0354986	0.0343493	0.0314275	0.0393879	0.0256874	0.0252021	0.0194281	0.0208838	0.0222951	0.021594	0.0269866	0.0221991	0.0274219	0.0273405	0.0282251	0.0390549	0.0419735	0.0564469	0.0791485
etouri-ikanga	0.0249467	0.0147877	0.0171136	0.0159609	0.0215318	0.0198248	0.0225552	0.0195138	0.0236901	0.021943	0.0202898	0.023074	0.0264318	0.041451	0.0348535	0.0522033	0.0519004	0.0592154	0.0514606	0.0436587	0.0368197	0.0446681	0.0369719	0.0244308	0.0360502	0.0284009	0.031421	0.0399042	0.0267303	0.0297047	0.0230071	0.035485
dansent	0.0249906	0.0223962	0.0206941	0.0208752	0.0250586	0.0259765	0.0298506	0.0309496	0.0369534	0.038534	0.0310388	0.0373188	0.0400943	0.0364579	0.0393578	0.0329287	0.0325402	0.0321546	0.027632	0.0257854	0.0376095	0.0280742	0.0330146	0.0232279	0.025083	0.0191002	0.023189	0.0256338	0.0233592	0.0334508	0.037713	0.0789577
avec	0.0207379	0.0226405	0.0220426	0.022073	0.0222568	0.0231122	0.0189819	0.0143588	0.0140338	0.0172477	0.019512	0.0214077	0.0212074	0.0193843	0.0199853	0.0196863	0.0204773	0.00935389	0.0132207	0.00858528	0.0112265	0.0138214	0.0299073	0.0145826	0.0477796	0.0447921	0.0543225	0.0486364	0.0620165	0.0774628	0.0997461	0.125401
des	0.0579162	0.046945	0.0581971	0.0492178	0.041184	0.025577	0.0244077	0.0231492	0.0204951	0.024823	0.0209585	0.0416653	0.0165501	0.0166501	0.0186096	0.0132517	0.0169606	0.0170238	0.0159495	0.0152614	0.0226988	0.0147659	0.014628	0.0140001	0.0127037	0.0156222	0.0158144	0.0195291	0.0295312	0.0363141	0.0538219	0.185778
jupes	0.0450558	0.0330477	0.035017	0.0316479	0.0379784	0.0207546	0.0120639	0.0117856	0.0123611	0.0130237	0.0178804	0.0159218	0.0150001	0.0154398	0.0141347	0.0199379	0.0167645	0.00982441	0.016683	0.0124475	0.0130388	0.0163874	0.0276627	0.0156363	0.0418019	0.0441402	0.0499282	0.0571985	0.0760072	0.0493948	0.0839606	0.118074
de	0.0763704	0.0596992	0.0790894	0.0534922	0.0634239	0.023675	0.026223	0.018965	0.025496	0.0244696	0.0149918	0.031124	0.0187573	0.0197673	0.0172285	0.0140891	0.0137147	0.0222088	0.016811	0.0230972	0.0293407	0.025391	0.0230048	0.0238565	0.0215024	0.017652	0.0167801	0.0170725	0.0187892	0.0202735	0.0320134	0.111631
raphia	0.0512693	0.0388913	0.0441399	0.0355367	0.0401642	0.0331712	0.0270847	0.0143797	0.0164257	0.014751	0.0168989	0.0160084	0.00772139	0.00804729	0.00733142	0.00810873	0.00763256	0.00689775	0.00829324	0.00921364	0.0130187	0.0149125	0.0209711	0.0237017	0.0323741	0.0374061	0.0395202	0.0413993	0.058259	0.0648146	0.09116	0.150496
</S>	0.0376773	0.0403668	0.0488981	0.0288207	0.0575428	0.0150266	0.0169044	0.0186772	0.027454	0.0204235	0.0154283	0.0219094	0.0261449	0.0307553	0.030283	0.0170007	0.0252943	0.0305539	0.0268709	0.0322008	0.0340551	0.0318147	0.0314708	0.0384852	0.0394974	0.0278452	0.0317427	0.0221981	0.0228112	0.027393	0.0429729	0.0814805
