 	i	k	ó	n	d	o	í	n	y	á	á	n	i	i	b	h	ω	y	i	a	b	ώ	ω	é	d	z	é	w	a	l	á	a	y	é	m	b	á	b	v	a	n	g	a	</S>
ibhoyi	0.056511	0.0171859	0.0120191	0.0101656	0.0111207	0.0132752	0.0139667	0.0165565	0.0208757	0.0281399	0.0461058	0.0515666	0.0494807	0.0377537	0.0179204	0.0113839	0.0141625	0.0107106	0.0106572	0.0150478	0.0103102	0.014265	0.013859	0.0156713	0.0130669	0.0160531	0.0124731	0.0125039	0.0110059	0.0114645	0.00953816	0.013251	0.0166642	0.0263682	0.0364647	0.0162459	0.0297877	0.0519718	0.0377743	0.0385293	0.0259248	0.051551	0.0282923	0.022358
a	0.0513431	0.0975568	0.0651004	0.024629	0.0227927	0.0126471	0.00755055	0.00862985	0.0159642	0.0171082	0.0110241	0.00948369	0.0423034	0.0352314	0.0384099	0.0549583	0.0450331	0.0376104	0.0238314	0.0425434	0.0341459	0.0261847	0.0287034	0.035685	0.0198929	0.0138166	0.0162029	0.00535924	0.00973986	0.00603735	0.00955321	0.0093289	0.0153938	0.0140861	0.0134649	0.0129112	0.00704357	0.0117938	0.00625861	0.0135464	0.00847129	0.0126159	0.00276754	0.00324583
reçu	0.0682642	0.110779	0.0967449	0.0509709	0.0393596	0.0251907	0.0141817	0.0153447	0.0193039	0.0165058	0.0108901	0.00879927	0.0105124	0.0155364	0.0151125	0.0120585	0.0126664	0.0155563	0.0109611	0.0201882	0.0211924	0.0277679	0.0212736	0.0260953	0.0172392	0.0167467	0.0120579	0.0138371	0.0132111	0.0177539	0.0129941	0.0161304	0.0175791	0.0161981	0.0158885	0.0156183	0.0215793	0.0270398	0.0221407	0.0206301	0.0096337	0.0111906	0.0129525	0.00432365
beaucoup	0.0117279	0.0190366	0.0316752	0.0252279	0.0226866	0.01641	0.0117141	0.017597	0.0295281	0.0228585	0.0242005	0.0141802	0.0165429	0.022135	0.0208485	0.025667	0.0438869	0.0533467	0.0450025	0.0413685	0.0454221	0.0339595	0.039787	0.0374998	0.0450536	0.0414825	0.0306769	0.013706	0.0127899	0.0123496	0.0152943	0.0181397	0.0146614	0.00951413	0.0119138	0.0120089	0.00871272	0.0134897	0.0100577	0.0109361	0.00628225	0.0119009	0.00712058	0.0216003
de	0.0145745	0.0141638	0.0141142	0.021572	0.0276656	0.0312885	0.0299828	0.0483374	0.0647736	0.0508216	0.0414042	0.0240807	0.0202976	0.0181719	0.012273	0.0165853	0.0232367	0.0530135	0.026246	0.0298856	0.0353707	0.0192586	0.0175194	0.0272932	0.023371	0.0217098	0.0193519	0.0151926	0.012195	0.00848295	0.00776638	0.0113107	0.00932018	0.0065271	0.00744514	0.00777994	0.00409768	0.00817907	0.00841005	0.00812562	0.00789393	0.0173317	0.021884	0.0916952
gratifications	0.0215254	0.0186545	0.021817	0.0315105	0.039797	0.035534	0.0387974	0.0303548	0.0239909	0.0189645	0.0137284	0.0153176	0.0172829	0.0212462	0.0183081	0.0143548	0.0149868	0.0179156	0.0242797	0.0243452	0.022632	0.0210287	0.0284635	0.0419009	0.0448303	0.0298696	0.0355831	0.0347078	0.0280912	0.00860518	0.00842086	0.00721054	0.00575	0.0157027	0.0128568	0.00831767	0.00532868	0.0123483	0.0162373	0.0164474	0.0148564	0.0225125	0.0240446	0.0715428
lorsqu'	0.0296273	0.0254599	0.0262962	0.019758	0.0211901	0.0175863	0.0242506	0.0264708	0.0244852	0.0199981	0.0130398	0.0148255	0.0146978	0.0175659	0.0195051	0.0160746	0.0194389	0.0225522	0.0182681	0.0201082	0.0259122	0.0184352	0.024679	0.0356053	0.0329079	0.0320984	0.0538441	0.023837	0.0235024	0.00778978	0.00606938	0.00522242	0.00955368	0.0201713	0.0267282	0.0151876	0.00627735	0.0179468	0.0168943	0.0196733	0.024318	0.0395376	0.042781	0.0598292
elle	0.0185186	0.0144314	0.0181259	0.0190296	0.026212	0.0265982	0.0364692	0.0293901	0.0177341	0.0160752	0.0112842	0.016422	0.0169704	0.0176454	0.015474	0.010091	0.00933474	0.00941607	0.00967389	0.0091894	0.0121779	0.00946228	0.0112389	0.0167164	0.0181149	0.0172939	0.0414866	0.0480649	0.0379476	0.018883	0.0164291	0.0131249	0.0137703	0.0266329	0.0286998	0.019519	0.0145174	0.0236884	0.0269947	0.0303252	0.0353761	0.0409519	0.050886	0.079613
chantait	0.0346155	0.0271214	0.0255614	0.0227238	0.0186501	0.0162603	0.0140833	0.0104926	0.00652142	0.005943	0.00558372	0.00569203	0.00648287	0.007817	0.00935236	0.00992142	0.0148243	0.0222096	0.0206171	0.0174711	0.0312355	0.0223283	0.0273251	0.0327982	0.0402158	0.0398267	0.0457214	0.0240123	0.0280854	0.017185	0.0138992	0.0187966	0.0193419	0.022515	0.0271837	0.0278743	0.0125494	0.0188114	0.0221224	0.014872	0.0230187	0.0463386	0.0436262	0.0783725
</S>	0.0306643	0.0316738	0.0298703	0.0212059	0.0139291	0.00969396	0.00945984	0.0099244	0.00795866	0.00664534	0.00622979	0.00666337	0.00721553	0.00909094	0.0120056	0.0142523	0.0158701	0.0253899	0.0158475	0.0149657	0.0299821	0.0176604	0.023236	0.0312166	0.0287257	0.027324	0.0418367	0.0220656	0.0335851	0.0221407	0.0205096	0.0226661	0.0284557	0.0236697	0.0255736	0.0303287	0.0133851	0.0145833	0.0162723	0.0153449	0.019237	0.0388627	0.0479531	0.106829
