 	e	d	z	e	w	a	m	o	r	o	y	e	e	s	á	l	í	s	í	n	g	á	i	b	o	ó	b	v	ú	a	</S>
c'	0.0113638	0.0105204	0.0154828	0.0213359	0.0487813	0.0461443	0.0363364	0.110799	0.128209	0.126807	0.059766	0.052463	0.0177798	0.0143725	0.0111468	0.00888519	0.0089582	0.0072053	0.0103834	0.0154802	0.0266001	0.0219811	0.0225354	0.0173967	0.0126605	0.0215208	0.022415	0.0230362	0.0239444	0.0258009	0.0198893
était	0.109825	0.0793394	0.0431779	0.0201102	0.00822818	0.00805441	0.0102789	0.0132185	0.0163756	0.0239811	0.045204	0.0597047	0.0833175	0.0429316	0.0444271	0.0354107	0.0413732	0.0638987	0.0323129	0.0537712	0.0249266	0.0342611	0.0195037	0.0119499	0.0241425	0.00649199	0.0113484	0.00611912	0.00704434	0.0108895	0.00838266
lui	0.0256421	0.0208553	0.0294504	0.061075	0.0658911	0.10609	0.0787831	0.125971	0.087386	0.14768	0.0327668	0.0414509	0.0193533	0.0362764	0.0218103	0.0138375	0.0138821	0.00928104	0.00573579	0.00625365	0.0046713	0.00209463	0.00309033	0.00283789	0.00724594	0.0032623	0.00144431	0.00220565	0.00457782	0.00222625	0.0168722
qui	0.033016	0.0305862	0.0458144	0.0502791	0.0696119	0.0488792	0.0419154	0.0552033	0.0531921	0.0550909	0.0458567	0.0416547	0.0293917	0.0402998	0.0252294	0.0284187	0.0237225	0.0184882	0.0142475	0.0170378	0.0107022	0.00800657	0.0114595	0.0100086	0.0109998	0.0174783	0.013776	0.0211187	0.0223126	0.0236801	0.0825221
m'	0.0315733	0.0455285	0.040875	0.0253386	0.0237617	0.0137968	0.0147296	0.01807	0.0151553	0.022246	0.039878	0.0264572	0.066806	0.0619535	0.0661949	0.0792831	0.048573	0.0413475	0.0269628	0.0263322	0.0194071	0.0181686	0.0132784	0.0104863	0.00717487	0.0117151	0.0177138	0.0319996	0.0425424	0.0480975	0.0445534
a	0.0505421	0.0452008	0.03847	0.0302477	0.0232996	0.0171836	0.0224022	0.0256957	0.0187979	0.0201484	0.0451938	0.0307897	0.0556294	0.0557742	0.0567582	0.0749143	0.0609123	0.0464182	0.0234782	0.025069	0.0183999	0.0195809	0.0108576	0.00985397	0.00768801	0.00954153	0.0131581	0.0238399	0.0299922	0.0330338	0.0571288
fait	0.0584698	0.058128	0.0545987	0.036965	0.046228	0.0233534	0.0179329	0.0219356	0.0265331	0.0322002	0.0434465	0.0293516	0.0320953	0.0438739	0.0377568	0.0494994	0.0586221	0.0570407	0.0346161	0.0266986	0.0183154	0.0202183	0.0132446	0.00900381	0.0122407	0.00897282	0.0147604	0.0186705	0.0217616	0.0224567	0.0510094
soigné	0.0825222	0.0577592	0.0329058	0.0166299	0.0125926	0.0106214	0.00871278	0.0101764	0.0167858	0.0174389	0.0288444	0.0426447	0.0330747	0.034304	0.0284771	0.0302715	0.0351523	0.0412583	0.0318652	0.0352979	0.0381492	0.036088	0.033855	0.0322276	0.0330465	0.0290392	0.0433832	0.0371583	0.0274378	0.0339786	0.0483014
les	0.14663	0.0780306	0.0506165	0.0304216	0.0114775	0.00597815	0.00733906	0.010739	0.00978161	0.0169201	0.0240823	0.0224751	0.0396013	0.0274453	0.0357063	0.0331553	0.030825	0.0451132	0.0261685	0.0378802	0.0353166	0.0333689	0.0208233	0.015948	0.0242189	0.024421	0.019589	0.0273574	0.0258139	0.0325254	0.0502309
maux	0.105525	0.0347211	0.0260777	0.0158994	0.0143191	0.00701932	0.0048171	0.00763758	0.00846034	0.0152913	0.0167554	0.0238665	0.0354144	0.0285925	0.0415807	0.0375132	0.0406418	0.0474786	0.0420046	0.0403722	0.042196	0.0391469	0.0231946	0.0234085	0.0239307	0.0334186	0.0269766	0.0433535	0.0430588	0.0449442	0.0623834
de	0.122753	0.0524558	0.0420271	0.0175006	0.021622	0.011224	0.00828028	0.0181349	0.0124317	0.029219	0.048537	0.0616222	0.0460883	0.0232223	0.0334594	0.0390165	0.0297043	0.0230324	0.033783	0.026205	0.0147658	0.0332954	0.022013	0.0121564	0.0343967	0.0183724	0.0249434	0.0255142	0.0284527	0.0362809	0.049491
tête	0.0912408	0.0540267	0.0493854	0.0201765	0.0181259	0.00632616	0.00529269	0.00625786	0.00524263	0.00765047	0.00884804	0.013931	0.0239585	0.0286057	0.0286041	0.0454882	0.060231	0.0424035	0.0427556	0.0328481	0.0227238	0.0333059	0.0314687	0.0147937	0.0258113	0.0222389	0.0373329	0.0328949	0.0438229	0.0556747	0.0885336
</S>	0.0836847	0.042986	0.043373	0.0315899	0.0360428	0.0197866	0.0196424	0.0194449	0.0186601	0.017736	0.0180113	0.0162058	0.0240317	0.021466	0.0197196	0.022006	0.0210376	0.0237937	0.0302581	0.0305933	0.0340179	0.0419519	0.0333916	0.0295432	0.0331086	0.0350261	0.0367455	0.0416383	0.0409001	0.0415506	0.0720567
