 	w	á	á	m	o	r	o	a	y	ε	í	o	b	a	n	d	á	n	ω	m	w	á	n	a	o	y	ú	r	u	p	á	b	h	a	b	h	á	é	d	i	m	ó	n	g	ó	</S>
c'	0.221362	0.299316	0.146044	0.126077	0.0213655	0.00995902	0.0127683	0.00930852	0.00907339	0.00803594	0.00801638	0.00817623	0.00840396	0.00640495	0.00590456	0.0046514	0.00309235	0.00417767	0.00485813	0.00357104	0.00143089	0.00154527	0.00278512	0.00134156	0.000934254	0.00223658	0.00119904	0.00155634	0.00211221	0.00150137	0.00165986	0.00156113	0.00182218	0.00316913	0.00401185	0.00557199	0.00411306	0.00320347	0.00420755	0.00482145	0.00324437	0.00429845	0.00584103	0.00487055	0.0054364	0.0049578
est	0.156649	0.0936136	0.0447185	0.0249356	0.0241849	0.0235823	0.0145201	0.0209815	0.0344488	0.0313332	0.0367278	0.0415232	0.0257474	0.0183629	0.0196933	0.0219798	0.023634	0.0367022	0.0221163	0.0299732	0.00637822	0.0053603	0.00368578	0.00751708	0.00334364	0.00389654	0.00703839	0.00460115	0.0102854	0.00803549	0.0160434	0.0117101	0.00851808	0.0125478	0.013239	0.0147879	0.0202427	0.0291501	0.0168108	0.0129085	0.00995127	0.00815668	0.00550862	0.00414393	0.00305847	0.00765331
une	0.00678599	0.00722124	0.00440769	0.0164265	0.0344032	0.0536718	0.0354178	0.0404633	0.0507871	0.0474708	0.0293933	0.0176182	0.0216864	0.0239168	0.0730346	0.0732989	0.0579834	0.0556625	0.0271152	0.0135913	0.0103091	0.00755023	0.00704038	0.00906186	0.00851341	0.0101114	0.0118	0.0124256	0.0414074	0.0172254	0.0207245	0.0238613	0.0124849	0.00846688	0.00391608	0.00320613	0.00274445	0.0041836	0.00204918	0.00302756	0.00381848	0.00404294	0.0102195	0.0179166	0.0158536	0.0376837
chance	0.0213772	0.0179863	0.014003	0.0299516	0.0363006	0.0535929	0.0559795	0.0593811	0.0487292	0.0598444	0.0430423	0.0349368	0.0457821	0.0148325	0.0379914	0.0355273	0.0214459	0.0494564	0.0623666	0.0360655	0.0183935	0.0145423	0.010088	0.0140484	0.00756573	0.010247	0.0127406	0.00887417	0.0128826	0.00848779	0.00883789	0.00513824	0.00400709	0.00401314	0.0048372	0.00482685	0.00342081	0.00849846	0.00852139	0.00697585	0.00516314	0.00676851	0.00645731	0.00470622	0.00591477	0.0154507
si	0.0230217	0.0139213	0.0277107	0.0565002	0.0428965	0.0285719	0.0408005	0.0277479	0.0381911	0.0415126	0.0376362	0.046645	0.0452183	0.0651074	0.0492834	0.0447814	0.0381065	0.060716	0.0494057	0.0465968	0.0146356	0.00598844	0.0045498	0.0120601	0.00441235	0.0113769	0.00875141	0.00599523	0.0167801	0.0108553	0.00650236	0.00498997	0.00281638	0.00224976	0.00179916	0.00174157	0.00171325	0.002368	0.00363923	0.00323371	0.00370849	0.00332271	0.0058281	0.00661947	0.00538156	0.02431
quelqu'	0.00384337	0.00683163	0.00279744	0.00287916	0.00322452	0.00300615	0.00700557	0.0094096	0.0127758	0.0106861	0.0139543	0.0097547	0.00694691	0.00716588	0.0149462	0.0199107	0.0184717	0.0168832	0.0213451	0.0208039	0.0133341	0.00811108	0.0089732	0.0106824	0.013734	0.0222369	0.0283656	0.027637	0.0468152	0.0412835	0.0447789	0.0492183	0.044497	0.0467816	0.0442302	0.0515362	0.038887	0.030889	0.0343952	0.0246655	0.0225452	0.026738	0.0260217	0.0214567	0.0207702	0.0387744
un	0.00440256	0.0050782	0.0032003	0.00486924	0.00762469	0.0109365	0.0152609	0.0181664	0.0141084	0.0196019	0.0151113	0.0158394	0.0124707	0.0148094	0.0194859	0.0233441	0.0207995	0.0335541	0.0309927	0.0432605	0.0436314	0.0220138	0.0176051	0.0433096	0.0212077	0.0218796	0.0414272	0.0225536	0.0367569	0.0291436	0.0360516	0.0222721	0.0179239	0.0215492	0.0173197	0.0225097	0.0215384	0.0265969	0.0234499	0.0130519	0.0180179	0.0164689	0.0199662	0.0202678	0.0199253	0.0506453
vient	0.00590078	0.00441765	0.00467476	0.00884318	0.00858876	0.00997391	0.0139532	0.0165551	0.0186224	0.0197376	0.0225079	0.0246689	0.0178731	0.0229623	0.0266841	0.0290407	0.0280087	0.0390737	0.0329992	0.0273391	0.0201338	0.0279732	0.017063	0.0519621	0.0185311	0.0317569	0.0288941	0.018119	0.0445616	0.0387453	0.0358053	0.0239121	0.0143236	0.0110605	0.00851374	0.00725263	0.00992647	0.0138073	0.0127795	0.00640566	0.0192568	0.0147908	0.0293665	0.0372616	0.0274001	0.0479724
épouser	0.00457412	0.00336952	0.00694016	0.0117216	0.0118892	0.0126178	0.00634376	0.0071612	0.00774116	0.00972212	0.00860466	0.0101938	0.00566089	0.00743891	0.0143914	0.0159374	0.0122249	0.0237095	0.0221168	0.0194384	0.0224765	0.011309	0.016671	0.019269	0.021488	0.0357974	0.0470505	0.0341984	0.0575083	0.0459282	0.0446371	0.0381895	0.0395899	0.0333236	0.031043	0.0353333	0.0342167	0.0303253	0.0368265	0.0167863	0.0160308	0.0186893	0.0183832	0.0181096	0.0184725	0.0365498
votre	0.00734435	0.00922901	0.00857843	0.00913389	0.00844495	0.0184709	0.0053939	0.0087002	0.00718481	0.00971538	0.00903522	0.0145524	0.0113414	0.0133468	0.0127697	0.0140931	0.0176236	0.0258187	0.0213271	0.0328709	0.0436862	0.0180075	0.015959	0.036607	0.0198294	0.0230773	0.0529403	0.0159712	0.044546	0.0386075	0.0513911	0.024929	0.021428	0.021674	0.0154327	0.0183809	0.0314054	0.0235524	0.0317362	0.0187228	0.0283397	0.0286193	0.0269961	0.0243154	0.02252	0.0363508
