 	b	á	a	á	l	ε	n	g	i	o	l	o	n	d	ó	m	ó	ó	d	z	e	s	á	n	g	o	n	d	a	y	á	n	g	á	</S>
ils	0.0962191	0.119724	0.0719859	0.140545	0.0991025	0.0476545	0.0553588	0.0450787	0.0259065	0.0180689	0.0186655	0.0212954	0.0167594	0.0143919	0.00943652	0.00840705	0.00628603	0.0071921	0.00571838	0.00732732	0.00623977	0.00733369	0.00987091	0.0100248	0.0117233	0.00733822	0.00757774	0.0115206	0.0110722	0.0168961	0.0114696	0.0118205	0.0180859	0.0153348	0.00856802
ont	0.0388084	0.047064	0.0421059	0.0279119	0.0315049	0.0628621	0.0498499	0.0537805	0.0622633	0.0615887	0.0705853	0.0936277	0.0607121	0.0529342	0.0572017	0.0224304	0.0232131	0.0263776	0.0108306	0.0171074	0.0121224	0.015665	0.00827172	0.00688367	0.00666249	0.00643189	0.00341319	0.00387053	0.00432656	0.00404389	0.00400502	0.0019554	0.00220419	0.00591501	0.00146944
coupé	0.0216088	0.0125066	0.011093	0.0145165	0.0259342	0.0298985	0.0285608	0.0372481	0.0646566	0.0612719	0.0461002	0.0428253	0.0637599	0.0503435	0.0577169	0.0568399	0.0371941	0.0236682	0.0143786	0.0157066	0.0136392	0.0140368	0.018978	0.0203965	0.0120209	0.0195185	0.0152804	0.0376937	0.0324068	0.024186	0.0176196	0.0141721	0.0168381	0.0172395	0.0101455
l'	0.0166983	0.0220193	0.0236133	0.0275452	0.0262933	0.0234692	0.0141533	0.036631	0.0224793	0.0258916	0.0308599	0.0372841	0.0425578	0.0365421	0.0298272	0.0392524	0.028296	0.0245801	0.0253975	0.0154844	0.015473	0.0138246	0.012649	0.0124984	0.0151634	0.0182151	0.040638	0.0516084	0.0440015	0.0469968	0.0305908	0.0346237	0.0440815	0.0342289	0.0365314
arbre	0.0109307	0.00757768	0.0077104	0.00705656	0.0080501	0.00920735	0.0145292	0.0178977	0.0207736	0.0246044	0.0262381	0.0241289	0.0203265	0.0233979	0.0272874	0.0319681	0.034098	0.036055	0.033469	0.0299764	0.0330294	0.0293058	0.028237	0.03714	0.042783	0.0434992	0.0437448	0.0475925	0.0426921	0.0455792	0.0362724	0.0341074	0.0354083	0.0452952	0.0400307
olondo	0.00505728	0.00609036	0.00468842	0.00374257	0.00403746	0.00560294	0.00748706	0.00942881	0.00916466	0.008964	0.0102719	0.0138746	0.0153086	0.0114948	0.012103	0.0173279	0.02624	0.0316177	0.0598555	0.0543477	0.0652837	0.0698498	0.06228	0.0548251	0.0602427	0.0590761	0.067122	0.0498589	0.0316902	0.0354366	0.0262211	0.0284461	0.0213301	0.0218895	0.0297428
qui	0.0151074	0.0121249	0.0108098	0.00856729	0.0115542	0.0149493	0.0154733	0.0231314	0.0233749	0.0261852	0.0319896	0.0300727	0.0315232	0.0308315	0.023289	0.0270939	0.0234666	0.0202932	0.0280234	0.0223311	0.0275111	0.0364689	0.032939	0.0298694	0.0231394	0.0336441	0.0429295	0.0427962	0.0359668	0.0542885	0.0319742	0.0395944	0.0382789	0.0411417	0.0592659
était	0.0259799	0.021639	0.0215116	0.0197897	0.0214977	0.0201076	0.0198927	0.0240434	0.0288614	0.0286354	0.0230643	0.0141623	0.0111363	0.0155692	0.0224394	0.0234484	0.0200366	0.0158956	0.0192569	0.0169287	0.0255661	0.0222109	0.0227412	0.0189922	0.02375	0.0249957	0.0317518	0.0333793	0.0391818	0.0466838	0.0309846	0.0658341	0.0504569	0.0680782	0.0814975
dans	0.0297236	0.0210116	0.0209472	0.0206238	0.0212207	0.0164127	0.0147527	0.0162462	0.0113126	0.009761	0.00874198	0.00609317	0.00652617	0.0100045	0.0200677	0.0203242	0.0264177	0.0184438	0.0312045	0.0326896	0.035396	0.0382944	0.0504166	0.0344092	0.0367537	0.0319788	0.0301407	0.0200382	0.0386435	0.0269295	0.0309098	0.0599823	0.0444032	0.0707585	0.0884202
mon	0.0282839	0.014322	0.0170645	0.0146892	0.017116	0.017974	0.0138207	0.0156326	0.0158813	0.0122757	0.009658	0.00632574	0.00629605	0.00753774	0.00951779	0.0105053	0.010824	0.0141106	0.0169448	0.0234881	0.0309431	0.0313567	0.0353846	0.0284228	0.0389922	0.0372323	0.048779	0.0306119	0.0508	0.0512022	0.0562097	0.0596965	0.0670951	0.0674086	0.0835977
champ	0.0263801	0.0197801	0.0203205	0.0196406	0.0182185	0.0129124	0.0137166	0.0148525	0.0148365	0.015135	0.0132992	0.0110511	0.0100489	0.0104896	0.0135859	0.0158431	0.0241625	0.0235492	0.0372695	0.0378007	0.0459385	0.0431892	0.0503011	0.0434926	0.0450431	0.0394603	0.0252884	0.017857	0.0443766	0.0200963	0.0291396	0.0404993	0.0299529	0.0705887	0.081884
</S>	0.0413935	0.0178689	0.0202132	0.0178708	0.0166522	0.0215642	0.0260421	0.0158624	0.0225107	0.0232711	0.0258434	0.0234501	0.0153885	0.00685027	0.00784357	0.0138376	0.0131064	0.0179256	0.0283172	0.0258568	0.0438803	0.0446343	0.0370985	0.0195164	0.0223298	0.0271036	0.019806	0.0141609	0.0286891	0.0279427	0.0300519	0.0543841	0.0512992	0.0572394	0.120195
