 	i	b	a	a	d	í	b	ó	l	í	i	b	h	ε	n	g	έ	n	d	ε	l	i	</S>
cet	0.00788637	0.00937591	0.00480814	0.00630546	0.0487075	0.0141102	0.039986	0.0846038	0.100169	0.0937334	0.0898636	0.101048	0.0689906	0.0519283	0.0594823	0.0505907	0.031362	0.0356384	0.0344095	0.022264	0.0278937	0.0103249	0.00651829
homme	0.196338	0.257931	0.216134	0.171401	0.0600758	0.0317127	0.00918546	0.00464818	0.00756488	0.00847904	0.00661648	0.00920221	0.00344414	0.00378839	0.00346191	0.00115985	0.00155014	0.00187438	0.0014046	0.00106284	0.00106768	0.000692367	0.00120462
est	0.12001	0.0575278	0.0584404	0.0651617	0.0444706	0.0708267	0.033587	0.0555103	0.0452569	0.0394194	0.0388339	0.0600746	0.038979	0.0419859	0.0437023	0.034764	0.0320041	0.0269894	0.0284228	0.0180593	0.0193276	0.0167433	0.00990327
en	0.0322336	0.0727964	0.0661434	0.0570536	0.034035	0.0425403	0.0405948	0.0290515	0.0346156	0.0359542	0.0300684	0.0256539	0.0298573	0.0408404	0.0461212	0.0582465	0.0721724	0.0798173	0.0677327	0.0265047	0.0272705	0.0246642	0.026032
train	0.072634	0.0325768	0.0276751	0.0217085	0.0271789	0.0200291	0.030366	0.0338376	0.04204	0.0346868	0.0408909	0.0378411	0.0436022	0.0480848	0.0495459	0.0528234	0.0558172	0.0536282	0.0461787	0.0596128	0.0578102	0.0579986	0.0534332
de	0.031021	0.0541127	0.0469036	0.0383094	0.0224073	0.0259157	0.0133665	0.0198134	0.0144269	0.0129818	0.0273622	0.0197204	0.0204823	0.0166324	0.0184239	0.0156253	0.0191776	0.0268477	0.0446124	0.0257342	0.0858228	0.0787963	0.321504
se	0.0654655	0.0546817	0.0521051	0.0538794	0.0533322	0.0483663	0.0336434	0.0505618	0.053167	0.0538225	0.0467456	0.0420538	0.0571342	0.0612149	0.0464814	0.0294309	0.0364626	0.0407758	0.0314575	0.0214956	0.0223412	0.0147139	0.0306676
raser	0.0489722	0.0561818	0.0440342	0.0367821	0.0240198	0.014042	0.0164971	0.0134252	0.0180717	0.0181271	0.0183402	0.0192987	0.0265148	0.0371229	0.0294857	0.0353237	0.0306344	0.0397829	0.0335324	0.0879566	0.0974501	0.10225	0.152154
la	0.210796	0.198058	0.131305	0.0644919	0.0310043	0.0113846	0.00747019	0.00725791	0.00902577	0.0128177	0.0144241	0.0178221	0.0223026	0.0278174	0.0157726	0.0103734	0.0118757	0.0121013	0.00955731	0.0347907	0.0291522	0.0399425	0.0704576
barbe	0.238943	0.168138	0.0905626	0.0457957	0.0239806	0.0136533	0.00693135	0.00497862	0.00641811	0.0122386	0.00963773	0.02028	0.0202162	0.0260202	0.0143933	0.0113853	0.00818065	0.0075113	0.00559035	0.0376815	0.0383028	0.0348493	0.154312
</S>	0.143701	0.123685	0.0657135	0.0341455	0.0143456	0.0132352	0.00683198	0.00451473	0.00407008	0.00227826	0.00240497	0.00206873	0.00309621	0.00483029	0.00527938	0.0100029	0.0138271	0.0204238	0.0182806	0.0529277	0.0905046	0.0888403	0.274992
