 	n	g	á	í	m	o	d	z	w	á	o	y	u	b	h	á	m	w	e	n	έ	t	s	i	n	a	á	m	i	n	g	a	a	n	d	á	m	ó	w	a	e	b	é	e	y	á	n	d	ω	ω	</S>
je	0.201634	0.294062	0.207141	0.0739338	0.0221799	0.0143511	0.00736704	0.00484661	0.00829018	0.0110936	0.00957621	0.00470324	0.00444038	0.0020901	0.0068343	0.00717953	0.00579396	0.00312068	0.00539499	0.00505683	0.00503823	0.00394387	0.00292229	0.00356561	0.00433495	0.00269397	0.00196156	0.00317341	0.00363835	0.00360616	0.00264988	0.00295375	0.00374683	0.00315664	0.00339123	0.00334904	0.00452227	0.0030512	0.00347607	0.00332705	0.00211344	0.0023212	0.00262581	0.00156024	0.00209323	0.00230819	0.00260032	0.00376237	0.00373703	0.00455434	0.0047321
m'	0.0664541	0.0340119	0.0149938	0.01923	0.0213496	0.0188306	0.0204064	0.0290588	0.0222124	0.0418848	0.0626935	0.0456763	0.0227916	0.034805	0.031687	0.0260258	0.0198297	0.0184094	0.0158887	0.0318876	0.0111011	0.0109095	0.0124817	0.0125464	0.0201972	0.0172693	0.00743576	0.0141735	0.0261154	0.0250515	0.0225474	0.0176887	0.0106994	0.0115707	0.0152779	0.0143232	0.0105703	0.0132071	0.0137501	0.0165181	0.00876753	0.00430439	0.00400112	0.00978061	0.005991	0.00572102	0.00863823	0.0140711	0.0136728	0.00797254	0.0155186
en	0.0550204	0.0501308	0.0263653	0.021678	0.0253463	0.0211169	0.0141125	0.00932926	0.0135839	0.00758359	0.00513412	0.0156698	0.00821282	0.00687947	0.018373	0.0184789	0.0273263	0.0295896	0.0358357	0.0187257	0.04964	0.0322981	0.0471601	0.039862	0.0260543	0.0218356	0.0167913	0.0159467	0.0275396	0.0231577	0.0207461	0.0194902	0.0103156	0.0139045	0.0100978	0.0158553	0.0148946	0.0163755	0.0143262	0.00978792	0.0204655	0.00668272	0.00470615	0.00826219	0.00602383	0.00716464	0.00926294	0.01288	0.0147505	0.0189099	0.01632
vais	0.0535394	0.0309334	0.0388221	0.0359099	0.0281209	0.0251247	0.0172508	0.0155391	0.0269818	0.0117678	0.0130655	0.016532	0.0157969	0.0261202	0.0202445	0.0203431	0.0207617	0.042821	0.0241474	0.0316148	0.019597	0.0141077	0.0173521	0.029623	0.0210051	0.0355082	0.0236184	0.0185537	0.0146847	0.0182957	0.0131332	0.0137831	0.00912104	0.0100141	0.0125411	0.0132467	0.00847744	0.00913529	0.00957444	0.0035992	0.00624502	0.00473349	0.00683421	0.0217967	0.0106638	0.00699703	0.00593033	0.0183593	0.0255384	0.0254826	0.0370109
chercher	0.00477893	0.00213922	0.00565129	0.00863632	0.00850332	0.011207	0.0178965	0.0177233	0.0142377	0.00533533	0.00694497	0.0108115	0.00996984	0.013524	0.0100879	0.0153946	0.0140992	0.00986939	0.022077	0.0113846	0.0273338	0.0636084	0.0750373	0.0924213	0.0617979	0.0482677	0.0344647	0.0236327	0.0274404	0.0268187	0.0177319	0.0155728	0.00639095	0.00645024	0.0135218	0.0154232	0.014618	0.0191404	0.0188767	0.00943306	0.0111744	0.0128013	0.0200368	0.0198351	0.00952547	0.0068819	0.00584942	0.0110398	0.0113667	0.0178695	0.035366
le	0.00967184	0.00568861	0.00514726	0.00426886	0.00496764	0.010269	0.0116596	0.00939662	0.016929	0.00599983	0.0108055	0.0145991	0.00824216	0.00687255	0.00615132	0.00855164	0.00746478	0.0080185	0.0111678	0.00850648	0.0280751	0.0415943	0.0447494	0.046328	0.0407706	0.0478222	0.0341191	0.0246049	0.0418662	0.0446616	0.0283001	0.020565	0.0105259	0.00911393	0.0174522	0.0200505	0.0183027	0.0201098	0.0217792	0.0111827	0.0151738	0.0202278	0.0369526	0.0335048	0.0180897	0.0105404	0.0085269	0.017635	0.0160621	0.0253057	0.0516297
notable	0.00524351	0.00508147	0.0082045	0.00812789	0.00778286	0.00938218	0.00968176	0.0121504	0.0171366	0.00989819	0.0230137	0.0191753	0.0121964	0.0152365	0.0112713	0.0124854	0.00879329	0.0148893	0.0149563	0.0131273	0.0275571	0.030983	0.0290167	0.0292399	0.0282448	0.0322893	0.0152793	0.0132158	0.019486	0.0184211	0.014889	0.0151713	0.0106634	0.0100969	0.0202787	0.022233	0.0163627	0.0206651	0.0159006	0.00812313	0.00833467	0.0115966	0.0304499	0.0389423	0.0253267	0.012894	0.0115244	0.0354523	0.0313422	0.0585241	0.0996615
car	0.0085764	0.00573403	0.00843552	0.00793375	0.00754355	0.00806366	0.00844999	0.00991611	0.00834885	0.00611949	0.00749112	0.00847835	0.00701978	0.00996554	0.0088298	0.0115642	0.0118277	0.0115188	0.015238	0.0150206	0.019659	0.0200642	0.0342551	0.0363817	0.0295425	0.0569308	0.0471846	0.0242631	0.0395983	0.0366138	0.0264923	0.0195353	0.00872841	0.0110042	0.0156986	0.0240252	0.0216246	0.0194925	0.0183708	0.0100877	0.0073477	0.00724422	0.0113011	0.0300211	0.0166986	0.0165127	0.019683	0.0346328	0.0408897	0.0511658	0.0588753
on	0.0285585	0.020214	0.0199156	0.0110619	0.0102697	0.0138986	0.0172478	0.0239518	0.0137167	0.00931485	0.0137888	0.0128389	0.00942438	0.00915801	0.0108141	0.0102563	0.0112088	0.00788644	0.0131968	0.0124122	0.0170974	0.0202601	0.0309256	0.0297206	0.0285345	0.0468738	0.030886	0.015362	0.0262466	0.0264302	0.0211889	0.0133509	0.00812042	0.00931705	0.0105046	0.0127937	0.0159554	0.0136815	0.0134136	0.0114908	0.012906	0.0161614	0.0189757	0.0220488	0.0196662	0.0206113	0.0218754	0.0342405	0.0363818	0.0480416	0.0678034
a	0.031266	0.0238768	0.0136329	0.0110042	0.0110541	0.0136392	0.0124675	0.0098582	0.00774254	0.00604877	0.0062896	0.00675588	0.00716564	0.0119568	0.014008	0.0124772	0.0157535	0.0178314	0.0185347	0.0168207	0.0212323	0.0157142	0.0232122	0.0234851	0.0209862	0.0382144	0.031778	0.0260746	0.0325848	0.0385588	0.0250085	0.0164116	0.0129703	0.01274	0.0155223	0.0169282	0.0142569	0.0119857	0.016132	0.0132705	0.0162299	0.0129955	0.0176704	0.029357	0.0240501	0.0286144	0.0296083	0.0347085	0.035643	0.0368152	0.0390573
