 	w	á	á	n	ω	o	s	a	n	í	í	l	a	n	g	á	n	g	á	l	í	i	w	ó	s	á	á	n	ω	b	v	ú	a	</S>
si	0.125381	0.112913	0.102184	0.0775089	0.0489924	0.0360909	0.039423	0.0385068	0.0180148	0.0173797	0.0124531	0.0124771	0.0119295	0.0127707	0.0124678	0.0127853	0.0164967	0.0163448	0.0240886	0.0295045	0.0191288	0.0204418	0.0136834	0.0228349	0.0219467	0.021424	0.0165534	0.0200816	0.0125692	0.00969408	0.0126119	0.0118827	0.0117625	0.00767259
tu	0.21088	0.107632	0.134556	0.0624589	0.0570918	0.0582156	0.0692064	0.0667474	0.0272743	0.0426273	0.018635	0.0161618	0.0162376	0.00549308	0.00726372	0.00717301	0.00870701	0.00750393	0.00496449	0.00719738	0.0050135	0.00683243	0.00559549	0.00608566	0.00587272	0.00677697	0.00556187	0.00283965	0.00142734	0.00327564	0.00234559	0.00240443	0.00435845	0.00558406
blagues	0.00830329	0.00935843	0.00856725	0.0171164	0.0102991	0.0173147	0.0123552	0.0627522	0.0804641	0.0516153	0.0440075	0.0210824	0.0328997	0.0377612	0.0314069	0.0381441	0.0496173	0.0432871	0.0447195	0.0513347	0.0289689	0.0388261	0.0359014	0.0316376	0.0136854	0.0229579	0.0189685	0.0168135	0.0177637	0.0239447	0.0195474	0.0220062	0.0214124	0.01516
avec	0.024688	0.0250976	0.0228009	0.0262559	0.0313171	0.0291222	0.0261327	0.0424449	0.0542599	0.0471996	0.0314896	0.0257456	0.0348826	0.0348555	0.0377394	0.0315139	0.0511197	0.0563211	0.0250558	0.04076	0.0205251	0.0273335	0.0269549	0.0239855	0.0183701	0.0172471	0.0179845	0.0146676	0.0160435	0.0244515	0.0163507	0.015106	0.0207764	0.0414018
moi	0.00718953	0.00688866	0.00306725	0.0121004	0.0100697	0.0121346	0.00579501	0.0116302	0.0609982	0.0438133	0.076243	0.0292422	0.057878	0.0627292	0.0202531	0.0210163	0.0233041	0.025118	0.0223355	0.0325558	0.0251998	0.0248387	0.0364638	0.0411338	0.0329535	0.0347749	0.0176727	0.0306288	0.0253481	0.0357882	0.0266546	0.029763	0.0378693	0.0565484
je	0.0263957	0.0261482	0.0117592	0.0111185	0.00873456	0.00854328	0.00870571	0.0117523	0.0178997	0.0245303	0.0227748	0.0263239	0.0202771	0.0158706	0.0180882	0.0255173	0.0337538	0.0577189	0.0322773	0.05131	0.035212	0.0279768	0.0314193	0.0193835	0.0270735	0.0242604	0.0204971	0.0257855	0.0299348	0.0347609	0.0491185	0.0428677	0.0556527	0.116558
vais	0.00538343	0.00582691	0.00428364	0.00903769	0.00753068	0.00768113	0.00730468	0.0104987	0.0237129	0.028333	0.0253508	0.0238977	0.0172064	0.0238555	0.0220994	0.0308195	0.0371608	0.062897	0.0462748	0.0564084	0.0508708	0.0441679	0.0391557	0.0289393	0.0406735	0.0174381	0.0132556	0.0248413	0.026714	0.0241396	0.0563364	0.04463	0.0515692	0.0817052
te	0.00986815	0.00992915	0.00642078	0.00668643	0.00944827	0.0108502	0.0167032	0.0288798	0.0303178	0.031441	0.0340597	0.0444961	0.0100856	0.0147184	0.0171432	0.0221233	0.0257869	0.039209	0.0276706	0.0413237	0.0262494	0.0239844	0.0264039	0.0162536	0.0340158	0.0209902	0.0170486	0.0267263	0.029396	0.0414601	0.0669715	0.066924	0.0715578	0.0948571
faire	0.00808142	0.00869693	0.00745825	0.00835562	0.0103444	0.0143124	0.014164	0.0389374	0.0281125	0.0338281	0.0305333	0.0444173	0.0170603	0.0273496	0.0278432	0.0269029	0.0305088	0.0476433	0.0298291	0.0463743	0.0302024	0.0244738	0.0317147	0.0215751	0.0191483	0.0166544	0.0151485	0.0275069	0.0262889	0.0293459	0.0552855	0.0476998	0.0408621	0.113341
du	0.0121368	0.0130261	0.0113863	0.0151234	0.0185461	0.0264958	0.0209074	0.0595043	0.0372592	0.0317618	0.0176372	0.0176408	0.017218	0.0233999	0.023546	0.0270238	0.0279997	0.0319812	0.0317051	0.0318311	0.0312792	0.0316579	0.033861	0.0308323	0.0186805	0.0209839	0.0208509	0.028687	0.0282912	0.0343067	0.0361842	0.0447908	0.0468358	0.0966286
mal	0.0122925	0.0120472	0.0201959	0.0246632	0.0304584	0.0355192	0.0301455	0.0274075	0.013811	0.014114	0.0149321	0.0105389	0.00930701	0.0126771	0.0171879	0.0237729	0.0212841	0.0217259	0.023863	0.0207782	0.0195918	0.0203644	0.0277551	0.0266369	0.0502793	0.025064	0.0259555	0.0375264	0.0450943	0.0514453	0.0569729	0.0641413	0.0693745	0.0830768
</S>	0.0114181	0.00951108	0.0131188	0.0144828	0.0215163	0.0286128	0.0248188	0.042967	0.0357526	0.0313957	0.0243708	0.0153214	0.0149579	0.0179389	0.0172921	0.0151242	0.0149065	0.013646	0.0137945	0.014629	0.0108907	0.0121721	0.0195864	0.0194038	0.0243922	0.0221689	0.0195051	0.0312752	0.034451	0.0514713	0.0437763	0.0742936	0.0876134	0.153425
