 	e	k	á	n	g	í	l	í	y	á	a	t	ω	r	ω	y	é	y	é	e	s	í	á	a	w	ú	r	a	</S>
cette	0.00596152	0.00916066	0.0119884	0.00800587	0.0103008	0.00595693	0.0059619	0.0179686	0.0475502	0.0587928	0.0704483	0.077156	0.0654781	0.0634588	0.038342	0.0360745	0.0244234	0.039153	0.0347404	0.0242957	0.0296251	0.0321142	0.0347217	0.0478124	0.0456026	0.0367975	0.0515632	0.035431	0.0311144
manière	0.0985694	0.137877	0.0418662	0.0204558	0.0150012	0.0138714	0.0263087	0.0268072	0.0455234	0.107616	0.0838774	0.100977	0.0625884	0.0360033	0.0279818	0.0223002	0.0148527	0.0161355	0.0197583	0.0153041	0.0166047	0.0132112	0.0126314	0.0074802	0.00334078	0.00223064	0.00547864	0.00304125	0.00230566
de	0.20363	0.082516	0.0487649	0.0610868	0.0719848	0.0536976	0.031714	0.0213663	0.0229217	0.022757	0.0314112	0.0333306	0.0222043	0.0295946	0.0180357	0.0205666	0.0250729	0.0212657	0.0236638	0.0190403	0.0158584	0.0158565	0.017778	0.00858061	0.00997486	0.0133274	0.016233	0.014017	0.0237493
griller	0.0933556	0.0688192	0.0718874	0.0690312	0.0324425	0.0343576	0.0241951	0.0291857	0.0422303	0.0228858	0.0445504	0.0362141	0.0345885	0.0249676	0.0322311	0.0252273	0.0476394	0.0208956	0.0264937	0.0334442	0.026359	0.0147577	0.0156067	0.01108	0.010754	0.0154383	0.0126142	0.0152334	0.0635145
les	0.0842615	0.122024	0.0843969	0.073482	0.0590902	0.0475598	0.0373112	0.035404	0.0254885	0.0160805	0.0132517	0.00847555	0.00674548	0.0186801	0.0216545	0.0284468	0.038192	0.0363907	0.0378717	0.0220301	0.0172682	0.0174292	0.0145062	0.00744264	0.0115197	0.0176226	0.0130357	0.0224358	0.0619031
banane	0.0328469	0.0484066	0.0562717	0.053534	0.0623257	0.0660641	0.0659504	0.0731754	0.0753504	0.0464055	0.0241259	0.0112222	0.00661465	0.00744191	0.0151179	0.0172141	0.0284163	0.0333454	0.0364244	0.0233265	0.0234881	0.0223614	0.0173839	0.0122981	0.016575	0.0197147	0.019352	0.0391159	0.0461309
demande	0.0400745	0.0448766	0.0319955	0.032066	0.0626092	0.0570908	0.0621596	0.0470461	0.0366753	0.0185419	0.0204169	0.0134808	0.00949098	0.0131908	0.0149551	0.0136863	0.029865	0.0287216	0.0470023	0.0435621	0.0212859	0.0184523	0.0132819	0.0171075	0.0132826	0.0169723	0.0316801	0.0864801	0.11395
beaucoup	0.070263	0.0755233	0.0536222	0.0474854	0.0709327	0.0671084	0.0756244	0.0458404	0.0376725	0.0257216	0.0305261	0.0201033	0.0101223	0.0152062	0.0109878	0.0141528	0.0208437	0.0251876	0.0287011	0.0281587	0.0161477	0.00904582	0.00953592	0.00741423	0.0072088	0.01315	0.0217204	0.0447533	0.0972401
d'	0.0460976	0.041696	0.0375762	0.0266997	0.026686	0.0268569	0.0236401	0.0247529	0.0242607	0.0190744	0.0119185	0.00698121	0.0073725	0.0110793	0.0191302	0.0312391	0.0423534	0.0456319	0.0431567	0.0455887	0.0469355	0.0357733	0.0372714	0.0354493	0.0440707	0.0458386	0.043176	0.0504968	0.0991965
huile	0.0708775	0.050137	0.0372708	0.0289057	0.0277428	0.026306	0.0172615	0.0116272	0.0102453	0.010177	0.00977349	0.00823204	0.00758178	0.00882723	0.0122702	0.014323	0.0205281	0.0314966	0.0380442	0.0592623	0.0659476	0.0379483	0.0341332	0.0354844	0.0410375	0.049954	0.0457144	0.0536489	0.135242
</S>	0.0629479	0.0419577	0.0520863	0.0483032	0.0336427	0.0433316	0.0408848	0.033989	0.0247318	0.0207874	0.01386	0.0122929	0.0156328	0.0135501	0.0223581	0.0177993	0.028066	0.0269215	0.0381746	0.0419267	0.0234178	0.0241483	0.0191236	0.0280113	0.0194808	0.0220745	0.037627	0.0479865	0.144886
