 	t	á	á	y	a	n	g	á	a	d	í	o	b	h	é	r	a	o	d	z	w	á	o	s	i	á	k	á	a	t	s	i	n	a	w	a	a	d	í	l	a	p	é	é	</S>
mon	0.0263997	0.0596412	0.0704751	0.0472154	0.0202702	0.0193315	0.0182886	0.0232904	0.0179376	0.0109668	0.0198382	0.0246781	0.0195382	0.0325786	0.0408921	0.0654872	0.0480335	0.059775	0.0492877	0.0332246	0.0178895	0.0124686	0.0110929	0.00542622	0.00502159	0.00455219	0.00534074	0.00810696	0.00414874	0.00626679	0.00793541	0.00918413	0.00640401	0.00738825	0.00672941	0.00752114	0.00797994	0.0087005	0.010825	0.011429	0.0226631	0.0249272	0.0324548	0.0291236	0.0192704
père	0.158964	0.119878	0.0935706	0.0892022	0.0863013	0.0366022	0.0379747	0.0368008	0.0855475	0.0529156	0.0434624	0.0458482	0.0295938	0.0112465	0.0067017	0.00679342	0.00241026	0.00130826	0.00133486	0.000818361	0.000989726	0.00101219	0.000735912	0.000786645	0.000776208	0.000959717	0.000408978	0.0011716	0.000401785	0.000995265	0.00425897	0.00304128	0.00379979	0.00364126	0.00446956	0.00279228	0.0023016	0.00181214	0.00461114	0.00325608	0.0022473	0.00297142	0.00214305	0.00145404	0.00168811
ne	0.0808132	0.0333735	0.0331039	0.0366122	0.0318758	0.0284756	0.0471621	0.0320144	0.0554149	0.0478752	0.04309	0.0516014	0.0295163	0.0284582	0.0202508	0.0155788	0.0145485	0.0137127	0.00904374	0.00972566	0.015088	0.0043817	0.00411675	0.0062305	0.00714951	0.0120311	0.00869712	0.0100909	0.00816374	0.00970732	0.0144508	0.0173812	0.0314592	0.023821	0.0110091	0.0269829	0.0249993	0.0233823	0.0198124	0.00963772	0.0102003	0.00992501	0.00764928	0.0136649	0.00772085
peut	0.0513901	0.0432773	0.0439427	0.0557829	0.0585978	0.0571062	0.0402839	0.0162625	0.0119999	0.0191394	0.0110776	0.0156669	0.0133921	0.0210392	0.023793	0.0265281	0.0263829	0.0238236	0.0217648	0.0116108	0.0104931	0.0140279	0.0155008	0.0190896	0.0254353	0.0296754	0.0192426	0.0250799	0.030077	0.0288049	0.0234071	0.0246092	0.0186876	0.0157501	0.00258131	0.0103414	0.00511132	0.00549922	0.00696041	0.00995453	0.00621517	0.0108851	0.0153815	0.0165649	0.0177627
pas	0.0242185	0.0175296	0.0138762	0.0127853	0.0153771	0.0169751	0.020088	0.0137162	0.0136524	0.0176932	0.0165436	0.0154914	0.0202872	0.0269222	0.0276248	0.0266368	0.025749	0.0241015	0.0257985	0.0144348	0.0136247	0.0143333	0.0228154	0.0152985	0.0327692	0.034779	0.0214782	0.0326072	0.0403453	0.0532252	0.06608	0.0406096	0.0294952	0.0200399	0.0103879	0.0182859	0.0131316	0.00765152	0.00938139	0.0136446	0.0116036	0.0204276	0.0180968	0.0188046	0.0315824
faire	0.0165894	0.0107837	0.00723754	0.0081421	0.0100622	0.0137102	0.0133975	0.0138941	0.0197918	0.0188506	0.0221077	0.0189161	0.0246397	0.0195678	0.0211564	0.0163774	0.016203	0.0214938	0.0319794	0.034848	0.0353533	0.0329267	0.033544	0.0461814	0.0356435	0.0354601	0.0433939	0.0689613	0.0595571	0.0451756	0.0304024	0.0212246	0.0151821	0.00955054	0.00569174	0.00570814	0.00425089	0.0038212	0.00599299	0.00999951	0.00789494	0.0136758	0.0127355	0.0177653	0.040159
de	0.0288789	0.021163	0.0118622	0.0138075	0.0175798	0.0290155	0.0227589	0.0211127	0.0323427	0.0318704	0.0440108	0.0315792	0.0389702	0.0206766	0.0220845	0.0120783	0.0152496	0.0185984	0.0278696	0.0342011	0.0241298	0.0257139	0.0237376	0.0284632	0.026202	0.0205709	0.0234116	0.0506232	0.0282903	0.02397	0.0128567	0.0152459	0.0119628	0.0107995	0.00659877	0.00510437	0.00459814	0.00497859	0.00615704	0.0118043	0.0107261	0.0222168	0.0182263	0.0312964	0.0566056
longues	0.0190418	0.0118102	0.00904982	0.0100598	0.0121261	0.0187	0.0133173	0.0116156	0.0345355	0.035713	0.0392062	0.0343003	0.0478952	0.0319431	0.0301493	0.0183585	0.0255091	0.0268367	0.0359288	0.0414478	0.0275612	0.0305748	0.0252176	0.0269366	0.0208556	0.0198504	0.0227666	0.0397093	0.0186856	0.0150642	0.0106301	0.0149998	0.0113856	0.0131834	0.00675088	0.00340709	0.00308908	0.00400454	0.0041419	0.00711868	0.00731013	0.0347101	0.0242883	0.0285676	0.071647
distances	0.0119276	0.0114743	0.00872904	0.0101282	0.0118501	0.0163538	0.00914026	0.00746982	0.015511	0.0192806	0.0225131	0.0191857	0.0253622	0.0187559	0.021835	0.0130049	0.0182111	0.0248068	0.0304195	0.0337385	0.0301517	0.0257171	0.024317	0.0379177	0.0303493	0.0307332	0.0321164	0.0378146	0.020294	0.0239351	0.0213606	0.0371211	0.0196002	0.0204723	0.0094227	0.00928081	0.00791556	0.00751562	0.00859453	0.0113223	0.00951052	0.0501142	0.036362	0.0285532	0.0798108
parce	0.0139444	0.00846382	0.00793875	0.00910645	0.0119396	0.0186116	0.0135716	0.00804717	0.0110148	0.0146331	0.0145121	0.0131036	0.0159062	0.0134315	0.012564	0.0118331	0.0131083	0.0169808	0.026767	0.0384032	0.0289023	0.0237233	0.0424394	0.0518418	0.0346596	0.0372337	0.0353493	0.0428727	0.0332723	0.0223351	0.0127378	0.0230423	0.00858212	0.00722828	0.00584591	0.00887449	0.00693989	0.00679621	0.00779961	0.0115457	0.00959876	0.0412354	0.0452427	0.0486973	0.109323
