 	a	k	a	n	í	b	á	p	o	o	á	m	i	t	έ	n	έ	m	ó	ω	l	έ	b	h	έ	</S>
les	0.159228	0.072159	0.0644977	0.0205585	0.0107666	0.0220463	0.0397142	0.041241	0.0482907	0.0450961	0.0290169	0.0375143	0.0602393	0.0490336	0.034812	0.0360146	0.0240578	0.0261573	0.0284606	0.021848	0.037726	0.0277467	0.0263596	0.0136441	0.0111668	0.0126036
anciens	0.0258784	0.0350547	0.0360756	0.0605835	0.0987231	0.0973748	0.118342	0.0594864	0.0513851	0.0494806	0.0597716	0.0616752	0.0531109	0.0392522	0.0293687	0.0180051	0.0144571	0.0163856	0.0147428	0.00996077	0.0149743	0.0107946	0.00992813	0.00846329	0.00382966	0.00289594
du	0.022211	0.0462358	0.0421052	0.0425083	0.0488835	0.0508103	0.0627627	0.0728796	0.0663691	0.0639496	0.0820155	0.0654292	0.0326149	0.0232064	0.0258087	0.0231504	0.0229585	0.023612	0.0230064	0.0212614	0.0225436	0.0217228	0.0162194	0.0234145	0.0325658	0.0217556
villages	0.0350101	0.0698856	0.0588884	0.0723368	0.0601767	0.0510414	0.0437997	0.0524669	0.0960211	0.162372	0.0634626	0.0401201	0.0115433	0.0111758	0.00862959	0.00532369	0.0046097	0.00490294	0.0066912	0.0132874	0.0180989	0.0169309	0.0191824	0.0185667	0.0140198	0.0414568
se	0.0211153	0.0226819	0.0178479	0.0209953	0.0297106	0.0471311	0.0457676	0.0475051	0.0585841	0.0698696	0.0442256	0.0388569	0.0234757	0.0294177	0.0317987	0.0369316	0.0373076	0.0288045	0.0160774	0.0252519	0.0182713	0.0224241	0.0302106	0.0454448	0.0643898	0.125903
sont	0.0204897	0.0149678	0.0151681	0.015943	0.027416	0.0340132	0.0278571	0.0402108	0.0338776	0.0338945	0.0354982	0.0683099	0.0491002	0.043887	0.042346	0.0552942	0.0544832	0.0491953	0.0288758	0.0358629	0.0285178	0.0283459	0.0322137	0.0389044	0.0470562	0.0982716
réunis	0.0224962	0.0193791	0.0201653	0.0215559	0.0357605	0.0431376	0.0420958	0.057342	0.0457152	0.0449525	0.0446828	0.0761792	0.0657818	0.0567321	0.0466344	0.0616516	0.0613598	0.0501594	0.0219522	0.0278905	0.0114134	0.0088951	0.0115459	0.0274422	0.0202967	0.0547829
pour	0.0307637	0.0294071	0.0325866	0.0392022	0.0611481	0.0673849	0.0661936	0.0711694	0.0482588	0.0486431	0.0404788	0.0623776	0.0498428	0.049699	0.0457409	0.0289007	0.0244071	0.0213747	0.0114065	0.0213646	0.0140307	0.0109276	0.0171423	0.037519	0.0170684	0.0529617
la	0.0239621	0.0234308	0.023358	0.0234258	0.0236051	0.0236775	0.0237103	0.0198645	0.0140114	0.0146056	0.0133593	0.0182538	0.0190025	0.0190242	0.0239649	0.0249946	0.0317612	0.039787	0.0540266	0.0644186	0.0666421	0.0751956	0.0760153	0.082682	0.087681	0.0895403
palabre	0.0331546	0.0298897	0.0289735	0.0309393	0.0268679	0.0171709	0.0123904	0.010229	0.0110695	0.012616	0.0118969	0.015725	0.0208687	0.0360321	0.0342918	0.0406201	0.0533735	0.0444098	0.0477343	0.0455511	0.0422195	0.0289792	0.0495972	0.0682237	0.0832506	0.163926
</S>	0.0307116	0.0249569	0.0243346	0.0241048	0.0238409	0.0229541	0.0225315	0.0193223	0.0195864	0.0269234	0.0190078	0.0219992	0.0208758	0.0266002	0.033532	0.0268082	0.0317796	0.023299	0.021841	0.0448781	0.0409481	0.0494396	0.0592428	0.0693993	0.118421	0.152661
