 	m	w	á	n	a	y	e	é	d	z	e	l	á	a	l	e	a	á	m	i	k	w	ω	ω	</S>
l'	0.00727517	0.00735975	0.0127016	0.00941241	0.0135658	0.00605644	0.00449955	0.00529268	0.0132843	0.0480648	0.0698771	0.0729275	0.0772264	0.0670624	0.0708001	0.0642827	0.0691332	0.0603821	0.0455891	0.0526924	0.0557602	0.0490377	0.0345054	0.0359555	0.0472557
enfant	0.027034	0.0272365	0.0643979	0.118994	0.198487	0.314897	0.116519	0.0626187	0.0138803	0.00840686	0.00487985	0.00488318	0.00392058	0.00291267	0.00215865	0.00155804	0.00194763	0.0043146	0.00589808	0.00558696	0.00539564	0.00245711	0.00115648	0.00020686	0.000252698
qui	0.0312598	0.025538	0.0142562	0.012215	0.0101704	0.0157649	0.0308605	0.0558833	0.165243	0.0674648	0.0317306	0.026189	0.0329543	0.0378806	0.0474925	0.0573107	0.065122	0.0686535	0.0719426	0.0492541	0.0250228	0.0211732	0.0094461	0.0119801	0.0151917
était	0.0203484	0.0189606	0.0144402	0.0162665	0.0374918	0.0474517	0.0574637	0.0366406	0.051908	0.0284534	0.0318193	0.0356599	0.0344705	0.0288353	0.0222637	0.0266028	0.0348293	0.0308594	0.0424851	0.0750759	0.0695631	0.0621901	0.0751478	0.0663462	0.0344267
en	0.0828164	0.033479	0.0317918	0.0260193	0.0327297	0.038868	0.0252275	0.0368029	0.044843	0.024535	0.0252874	0.0186983	0.0243043	0.0194839	0.0164117	0.0218119	0.0354242	0.0518214	0.0590075	0.0639713	0.0679022	0.0580118	0.0642959	0.0412468	0.0552085
train	0.0356101	0.0316437	0.0478783	0.0394963	0.045536	0.0364452	0.0360021	0.0382213	0.0411371	0.0354355	0.0470039	0.0323328	0.0506972	0.0524212	0.0361577	0.0565961	0.0433492	0.0312925	0.0398205	0.0231213	0.027769	0.0193665	0.0408891	0.0361376	0.07564
de	0.0434418	0.0379975	0.0476447	0.0361251	0.0560929	0.0376388	0.037998	0.044861	0.0365198	0.0315195	0.0268047	0.025541	0.029644	0.0270998	0.0162658	0.0191443	0.027805	0.0420495	0.044291	0.0399812	0.0458816	0.0148269	0.0505707	0.0706665	0.109589
pleurer	0.0757443	0.0524951	0.0330975	0.0398619	0.0426452	0.0431036	0.0670605	0.0635231	0.0489355	0.0348734	0.0391891	0.0232169	0.0317608	0.0261688	0.020632	0.0267128	0.0197458	0.0146112	0.0166777	0.0156643	0.0352542	0.0189444	0.0345704	0.0552511	0.12026
s'	0.254447	0.083824	0.0403189	0.0462057	0.048079	0.0607664	0.0559305	0.0453095	0.0653867	0.0216713	0.0156107	0.00801859	0.00966799	0.00661434	0.00473221	0.00701108	0.00891008	0.0134994	0.0149812	0.020571	0.0233711	0.0149151	0.0205365	0.0453406	0.0642807
est	0.0960384	0.0555762	0.0363928	0.0389615	0.0351262	0.0281319	0.0261159	0.0183637	0.022372	0.0114178	0.0129373	0.008039	0.0106028	0.00719131	0.00904984	0.0115608	0.019098	0.0209977	0.0376816	0.0365987	0.0474543	0.0549143	0.0717558	0.126635	0.156987
calmé	0.069082	0.0777404	0.0510916	0.0694057	0.0636575	0.0411659	0.0625271	0.0343892	0.0269181	0.0177182	0.0218196	0.0155563	0.0209608	0.0165188	0.0183708	0.0201422	0.0216394	0.0251168	0.0310492	0.0252338	0.0284378	0.0397181	0.0335295	0.0577842	0.110427
</S>	0.125148	0.0700282	0.0653517	0.104623	0.0956347	0.0846239	0.133023	0.0423112	0.0143564	0.00904497	0.00997595	0.00657083	0.00686159	0.00430681	0.00522536	0.00660486	0.00857644	0.00819021	0.00891618	0.0138856	0.017127	0.0193308	0.0238325	0.0366131	0.0798367
