 	e	d	i	m	w	á	n	a	y	a	b	o	s	ó	m	o	r	o	y	e	é	y	έ	</S>
c'	0.00826552	0.00756465	0.00906266	0.0171844	0.11468	0.113853	0.0953502	0.0645018	0.0455555	0.0462515	0.0608528	0.0430476	0.0435614	0.0492925	0.0388867	0.0313849	0.0274276	0.0328806	0.0359033	0.0365795	0.0295418	0.0182982	0.0147938	0.0152796
est	0.166351	0.143609	0.0787534	0.11395	0.0249293	0.0201652	0.0280834	0.0258452	0.0395253	0.0324752	0.0251333	0.0290704	0.0246695	0.0366147	0.0268641	0.0274858	0.0319338	0.03012	0.0181056	0.0162271	0.0131846	0.0109896	0.0122751	0.0236396
l'	0.0148907	0.0228465	0.0277682	0.0119136	0.0241162	0.0241847	0.0173575	0.0979171	0.0643651	0.0216159	0.0114399	0.0198749	0.0166085	0.0145292	0.0564637	0.1054	0.0965117	0.0832108	0.0433587	0.0548316	0.0481255	0.0421068	0.0333327	0.0472304
aîné	0.0196157	0.027751	0.0203356	0.0163585	0.0465261	0.0414057	0.0527862	0.0815916	0.0595634	0.113931	0.0589206	0.0412128	0.0833858	0.151281	0.0810577	0.0446534	0.0188188	0.012245	0.00440493	0.00433133	0.00405507	0.00371378	0.00518411	0.00687048
des	0.0401866	0.0290513	0.0213245	0.0239586	0.0335603	0.0262676	0.026998	0.0314706	0.0624228	0.061257	0.0405779	0.0147801	0.0262944	0.0609429	0.0159194	0.0217027	0.0252717	0.0325134	0.0500809	0.0549518	0.0397769	0.0543237	0.100563	0.105804
enfants	0.0409574	0.0670553	0.0660989	0.0384858	0.0267448	0.020303	0.0289066	0.03561	0.0371471	0.0655566	0.0634024	0.0498232	0.0785459	0.0398407	0.0430236	0.0340713	0.045474	0.0433061	0.032518	0.0213865	0.0174368	0.0146524	0.0183105	0.0713431
qui	0.0418833	0.0632972	0.0553355	0.036109	0.0182411	0.0112134	0.0141319	0.0250519	0.0276518	0.0268697	0.034705	0.0287234	0.0570856	0.0661688	0.0556257	0.0397609	0.0402041	0.0313222	0.0286106	0.0309687	0.0250936	0.0392436	0.0743188	0.128384
est	0.155023	0.127199	0.0716645	0.0523381	0.0111412	0.00977055	0.0113155	0.0121129	0.0131971	0.012718	0.0136761	0.00874089	0.0111425	0.0275005	0.0252925	0.0292977	0.0494239	0.036528	0.0322535	0.032841	0.0334383	0.0412097	0.0621247	0.120051
venu	0.151506	0.0698532	0.03003	0.0186069	0.00948339	0.00969289	0.0111435	0.00782946	0.00954967	0.0101398	0.0115767	0.00993256	0.0129843	0.0156119	0.0191119	0.0164117	0.0275815	0.0316825	0.0454032	0.0476556	0.0463947	0.0463505	0.107555	0.233913
</S>	0.127465	0.0499946	0.0285239	0.0164491	0.012998	0.0126271	0.013015	0.0140074	0.00940406	0.0146106	0.0243993	0.0141374	0.0249669	0.0284906	0.0460456	0.0390823	0.0515258	0.0464658	0.0589994	0.0576064	0.0550294	0.0624502	0.0755448	0.116161
