 	l	a	k	ó	l	i	b	á	a	k	a	n	g	á	m	b	v	á	n	d	é	m	ó	k	o	l	i	</S>
pendant	0.0204496	0.0294534	0.0323419	0.0223853	0.035913	0.0493437	0.0440163	0.0466177	0.0446527	0.0538745	0.065698	0.0594111	0.0474304	0.0569928	0.0504999	0.051319	0.0310781	0.02233	0.0220198	0.0202426	0.0207347	0.0177244	0.0221378	0.0230133	0.0272306	0.0327816	0.0265251	0.0237824
la	0.0357105	0.0298095	0.0366313	0.0253812	0.027868	0.0370739	0.0726462	0.0708745	0.0658574	0.073442	0.110391	0.12621	0.0473261	0.0612412	0.0483559	0.0245028	0.0152082	0.0170551	0.0134411	0.0146022	0.00576747	0.00589624	0.00661221	0.00473479	0.00258319	0.00237284	0.00519841	0.0132067
nuit	0.0575529	0.0513397	0.0537773	0.0608528	0.0638545	0.0746856	0.069783	0.0697328	0.0450022	0.0301772	0.0260956	0.020514	0.0400166	0.0180762	0.0147868	0.0105176	0.0249317	0.020072	0.022392	0.024809	0.0197237	0.0275344	0.0337545	0.031091	0.0286682	0.0166687	0.0232967	0.0202934
on	0.0364939	0.0330275	0.0335766	0.0338388	0.0429243	0.0624557	0.0831527	0.0671519	0.0490701	0.0231258	0.0184241	0.0180073	0.0327523	0.0258722	0.0373064	0.0291448	0.0326397	0.0264741	0.0238298	0.0281214	0.0263339	0.0213181	0.0239605	0.0261204	0.024511	0.0300259	0.0342246	0.0761163
attache	0.0364036	0.0296779	0.02838	0.0316349	0.0290166	0.0312478	0.0318645	0.0288174	0.0295679	0.0228651	0.0192858	0.0175597	0.020619	0.0202358	0.0253665	0.0270709	0.0314799	0.0355853	0.0364551	0.0302839	0.0334295	0.0424739	0.036809	0.0406843	0.0472427	0.0502171	0.0724843	0.113241
le	0.0348523	0.0240954	0.0256957	0.0278982	0.021978	0.0264125	0.0275615	0.0431607	0.0404081	0.0323108	0.0242926	0.01754	0.0207761	0.0289784	0.0373993	0.0333248	0.0300283	0.0354121	0.0407047	0.0478829	0.0519307	0.0349692	0.0350886	0.0385433	0.0420382	0.0483279	0.0487298	0.0796598
chien	0.0169852	0.0163374	0.0152131	0.0167124	0.0176912	0.0225897	0.0295023	0.0356664	0.0352183	0.0308677	0.0284093	0.0264272	0.0196296	0.0191255	0.0200165	0.0204086	0.0241025	0.0282377	0.0397583	0.053192	0.0606321	0.0592568	0.0603518	0.0564435	0.057619	0.0620276	0.0575375	0.0700411
avec	0.0217398	0.0213932	0.0215359	0.0256102	0.0228788	0.0286131	0.0344633	0.0373258	0.0380261	0.0272873	0.0182714	0.0146373	0.019895	0.0198616	0.0226086	0.0249443	0.0282191	0.0315746	0.0364196	0.0431173	0.0427727	0.0475815	0.0543531	0.0590173	0.0553485	0.0499842	0.0639929	0.0885275
le	0.0485521	0.0345248	0.0374399	0.0424455	0.0315687	0.0297328	0.0345748	0.0426921	0.0322623	0.0188337	0.0111868	0.0113074	0.00946719	0.0228571	0.0280698	0.030315	0.0332798	0.0344135	0.0366586	0.0361896	0.0388206	0.0387182	0.0322555	0.0379003	0.0360351	0.040475	0.0584853	0.110938
koli	0.0367883	0.0255128	0.0172899	0.0144399	0.010657	0.0101404	0.00999914	0.0106201	0.0101697	0.00696344	0.00815877	0.00664458	0.00388071	0.00808798	0.00995614	0.0128374	0.0235473	0.0387435	0.0513511	0.0610364	0.0479703	0.0683675	0.0526658	0.0638744	0.0657192	0.0675015	0.101335	0.155741
</S>	0.0517823	0.0482365	0.0450732	0.0389208	0.0294424	0.0286543	0.0263984	0.0232484	0.0188691	0.0141899	0.0108283	0.00964137	0.0108324	0.0145896	0.013106	0.0119529	0.0190995	0.0235146	0.0284159	0.0368718	0.0266452	0.040708	0.045441	0.0490849	0.0631977	0.0750694	0.0847545	0.111432
