 	n	g	á	í	m	i	k	o	b	h	á	l	e	b	h	ó	n	d	á	s	ó	l	ω	n	g	ώ	p	é	</S>
j'	0.233652	0.321068	0.146897	0.0241019	0.00634257	0.00940181	0.0162979	0.018046	0.013225	0.0149722	0.0134128	0.0125128	0.0124468	0.0117838	0.0113621	0.0131591	0.00981088	0.0102038	0.0148202	0.00733796	0.00517762	0.00452733	0.00403139	0.00890384	0.0115225	0.00967334	0.0114443	0.0116237	0.0122406
ai	0.128394	0.0499046	0.0360735	0.0268152	0.0286061	0.020704	0.0681143	0.125186	0.092439	0.104572	0.0642944	0.0344299	0.0262401	0.0195157	0.0135616	0.0126098	0.0281804	0.0200301	0.0197133	0.0209594	0.0106972	0.00849555	0.00769842	0.00449622	0.00545889	0.00502382	0.00397406	0.00444071	0.0093723
occupé	0.0186713	0.0188997	0.0282978	0.0486204	0.0609887	0.0612905	0.0232482	0.0212215	0.0429482	0.0343429	0.0271401	0.0355125	0.0433382	0.0617099	0.0715137	0.0778363	0.0469118	0.0322709	0.0262708	0.0239852	0.023017	0.0274911	0.022125	0.0211306	0.0241849	0.0170307	0.0234744	0.018476	0.0180517
une	0.0439083	0.039139	0.027893	0.0604175	0.0425449	0.0524501	0.0529233	0.0309401	0.0477348	0.0311849	0.0159926	0.0211489	0.0160655	0.02573	0.0223949	0.0337138	0.0340144	0.0439017	0.0336698	0.038034	0.0416814	0.0319343	0.0363103	0.0253314	0.0255081	0.0203724	0.0259756	0.0355075	0.0435772
place	0.0195253	0.0148422	0.0149716	0.0399875	0.0523667	0.0669103	0.0503646	0.0262472	0.0363689	0.024875	0.0194495	0.0250408	0.0252107	0.0265254	0.0288294	0.031193	0.0330971	0.0348272	0.0444703	0.0405053	0.0426554	0.0387161	0.0460259	0.0407591	0.0348837	0.036035	0.0339969	0.0351003	0.0362196
dans	0.00560215	0.00529331	0.00874715	0.0106322	0.013994	0.0135961	0.0117642	0.00901049	0.0114478	0.0122007	0.0131652	0.0148279	0.0198573	0.02105	0.026399	0.0421627	0.0546626	0.0456432	0.0419272	0.0594753	0.0630842	0.049295	0.0672352	0.0638688	0.062817	0.0608924	0.0609847	0.0621566	0.0682077
la	0.02677	0.0125849	0.0105982	0.0103857	0.015326	0.0119401	0.00984474	0.00958757	0.012388	0.011394	0.00967542	0.00777188	0.00876554	0.00907268	0.0110734	0.0197125	0.0331087	0.0219701	0.0196487	0.0403755	0.0625278	0.050841	0.0795763	0.0663418	0.0677129	0.0662809	0.076721	0.0898539	0.128151
plaine	0.00768816	0.00785977	0.011781	0.00954665	0.00649578	0.0105386	0.0105025	0.00952532	0.00677393	0.0062851	0.00678425	0.00978139	0.0118815	0.0106732	0.0110444	0.0177006	0.0284024	0.0272772	0.0319757	0.0366444	0.0498037	0.0421914	0.0883443	0.0611787	0.0688874	0.105207	0.0838063	0.107986	0.113433
là-bas	0.0390641	0.0188644	0.0279482	0.0321749	0.0206014	0.0188005	0.0115113	0.00909697	0.0092448	0.0076505	0.00738641	0.00816476	0.00881642	0.00921709	0.0126663	0.0203652	0.0245796	0.0172844	0.0160007	0.0239284	0.0306265	0.0250318	0.0457156	0.0606613	0.0725553	0.0832701	0.0847023	0.0965545	0.157516
pour	0.159408	0.0593156	0.05198	0.0503268	0.0230664	0.0213008	0.0134904	0.0117102	0.0121219	0.00754615	0.00690192	0.0069179	0.0149294	0.01433	0.0231968	0.0294828	0.0254636	0.0228594	0.0253763	0.025456	0.0239508	0.0289956	0.0242112	0.0269247	0.0341308	0.0422051	0.050886	0.0687965	0.0947191
faire	0.159992	0.0975462	0.0376416	0.0758138	0.0430915	0.031835	0.0224072	0.0125608	0.0132839	0.00759122	0.00565878	0.00561386	0.00839641	0.00814072	0.0124083	0.0201779	0.0228382	0.0195435	0.0288491	0.0213217	0.0210456	0.0310189	0.0291133	0.0333376	0.0398893	0.0407316	0.0448148	0.0506765	0.0546605
un	0.1178	0.0736644	0.0620502	0.131337	0.0590314	0.0602475	0.0352661	0.0160763	0.0151547	0.0077947	0.00476802	0.00619932	0.00994032	0.00897807	0.0142505	0.0193592	0.0216961	0.0191014	0.0242607	0.0191793	0.0206409	0.0194296	0.020269	0.0227312	0.0261297	0.0330267	0.0346173	0.0448863	0.0521134
champ	0.0400583	0.0294314	0.0463162	0.0710009	0.0289763	0.0487194	0.0224887	0.0171399	0.00760037	0.00556233	0.00487251	0.00965028	0.0142103	0.0120645	0.013922	0.0142474	0.0144272	0.0166521	0.0201291	0.0189861	0.0302261	0.0243334	0.0397921	0.0445864	0.0578284	0.0794476	0.0609062	0.0941958	0.112229
</S>	0.0680751	0.0484341	0.0344624	0.0602575	0.0559803	0.0547175	0.0446016	0.0290057	0.0150755	0.0158325	0.0102421	0.0140584	0.0180729	0.0154129	0.018858	0.0171738	0.0182773	0.0241626	0.027055	0.0526537	0.0707832	0.0513211	0.0518955	0.0234672	0.0244662	0.0273427	0.0279784	0.0371072	0.0432297
