 	e	y	e	a	y	e	n	á	y	é	é	t	i	í	w	a	n	g	á	é	d	z	e	o	k	á	n	d	á	</S>
l'	0.00802493	0.0111329	0.0106149	0.0111628	0.0188633	0.0205377	0.0348226	0.0397131	0.053496	0.0466322	0.0487023	0.0473461	0.053557	0.05351	0.0683695	0.0426953	0.0325276	0.0255134	0.025034	0.0236122	0.0318406	0.0361382	0.018988	0.0204107	0.0333562	0.0357467	0.0387353	0.0463244	0.036193	0.0263991
autre	0.0547663	0.22318	0.21863	0.132439	0.0594654	0.01538	0.00718229	0.00852883	0.0104478	0.00839958	0.00915956	0.0270029	0.0398252	0.0399874	0.0164401	0.014351	0.0105275	0.0178931	0.0112509	0.0171926	0.00799028	0.0132479	0.00460562	0.0123594	0.00914182	0.00310343	0.00411892	0.00138553	0.00150261	0.000495255
chose	0.0656016	0.0448266	0.0386383	0.0322907	0.0358302	0.0398382	0.0363472	0.0267372	0.0184322	0.0270886	0.0497699	0.0554427	0.0308828	0.0358404	0.017948	0.025459	0.016495	0.0153925	0.00836489	0.0158498	0.0549031	0.117342	0.0377163	0.0502101	0.0411281	0.00974495	0.0189828	0.00812704	0.0161859	0.00858372
qu'	0.0254029	0.0263912	0.0292947	0.0319707	0.0395159	0.0499917	0.0416685	0.0261713	0.0176299	0.0157905	0.0187586	0.0195936	0.0411482	0.040443	0.0177218	0.0410829	0.0217906	0.0302268	0.0232498	0.0654582	0.0468919	0.0543787	0.0404542	0.0521321	0.020025	0.0180231	0.0241637	0.0197229	0.0393849	0.0615228
il	0.0229965	0.0387729	0.0359255	0.0363127	0.0406402	0.0604668	0.0619786	0.0507907	0.0329007	0.0246325	0.0264829	0.0198809	0.0163582	0.0121711	0.0100591	0.0217672	0.0281902	0.0521013	0.0439881	0.0483066	0.0433877	0.0287921	0.0256864	0.0207741	0.0192393	0.01815	0.0222942	0.0258584	0.0420145	0.0690804
m'	0.0222966	0.0302652	0.0313674	0.0343533	0.0349216	0.0387696	0.0398716	0.0373964	0.0370591	0.0345982	0.0480266	0.0367139	0.035123	0.0314596	0.00998739	0.0194723	0.0138919	0.0159379	0.0142955	0.0272937	0.028446	0.020253	0.0297986	0.0174695	0.021163	0.024168	0.0346153	0.0455769	0.0621479	0.123261
a	0.0552339	0.0551783	0.0416589	0.044407	0.02895	0.0291768	0.0321473	0.0343916	0.0352138	0.0334508	0.0440124	0.0379738	0.0172353	0.0213085	0.00726392	0.0132406	0.00953457	0.00710835	0.00319618	0.00725996	0.00630916	0.0140399	0.018875	0.0187206	0.0259386	0.0267467	0.0402343	0.0504698	0.0735441	0.16718
promise	0.0940237	0.0691593	0.0523729	0.0392971	0.023612	0.0257859	0.0494081	0.0540748	0.0566454	0.059379	0.0777537	0.062953	0.0286062	0.0221354	0.0041271	0.00495043	0.00296257	0.00374116	0.00236884	0.00362206	0.00369172	0.00869072	0.00914523	0.0119304	0.0224816	0.011087	0.030338	0.0324563	0.0428826	0.0903178
c'	0.155193	0.0883096	0.0762032	0.0455196	0.0274079	0.0328054	0.0359026	0.0312075	0.0299946	0.023772	0.03365	0.0313127	0.028761	0.0386666	0.0133876	0.011334	0.0102205	0.0160798	0.00854215	0.0133602	0.00763911	0.0109389	0.0167951	0.0109143	0.0185052	0.0165223	0.0225757	0.0268065	0.0438633	0.07381
était	0.058866	0.0670197	0.0633181	0.054965	0.0476532	0.0652727	0.0656833	0.0462446	0.0264845	0.0178091	0.0152051	0.0124457	0.0157748	0.0158285	0.0075954	0.00997274	0.0147066	0.0275769	0.0219601	0.0399439	0.018415	0.0148507	0.0243862	0.0132041	0.0118084	0.0193644	0.025136	0.0271755	0.0571232	0.0942107
une	0.217349	0.0910495	0.059723	0.0538788	0.0537875	0.0522197	0.021201	0.0197181	0.0107212	0.00777435	0.00801381	0.011875	0.00825414	0.00561885	0.00625995	0.00901681	0.0107736	0.0182825	0.0155117	0.0175902	0.0177744	0.0173488	0.0243955	0.0191611	0.0164091	0.0262186	0.0309822	0.0213972	0.0502031	0.077491
chemise	0.11814	0.056521	0.0253658	0.0128792	0.0104183	0.0097091	0.011457	0.0133889	0.0111109	0.00994632	0.0116118	0.011532	0.00549935	0.00783007	0.00383977	0.00753351	0.0106722	0.0149388	0.00915052	0.0117908	0.00682431	0.00999794	0.010655	0.0171848	0.0264625	0.0153642	0.0776369	0.0413792	0.158241	0.262919
</S>	0.10623	0.0899781	0.0678675	0.0494534	0.040934	0.0184416	0.00556053	0.00520316	0.00682778	0.0100469	0.0142767	0.0111181	0.00513275	0.00939339	0.0016676	0.00324688	0.00379064	0.00598247	0.00410441	0.00483052	0.00446644	0.0176007	0.0193863	0.0299047	0.029457	0.0330606	0.0663103	0.0295857	0.108329	0.197813
