 	e	k	í	í	l	í	y	é	é	k	í	í	b	á	a	n	g	á	m	ú	a	m	á	s	á	n	g	í	y	é	e	p	έ	n	g	á	p	á	s	i	i	</S>
la	0.00468452	0.00615534	0.00836352	0.00940171	0.0113201	0.00676237	0.00802578	0.0108396	0.0111519	0.0317462	0.0444558	0.0560457	0.0891303	0.0752927	0.0279116	0.0357284	0.0289778	0.0192456	0.0205524	0.0197916	0.012258	0.0137694	0.0204565	0.0225415	0.0212155	0.0169544	0.0206716	0.0282274	0.0249081	0.0236189	0.0289149	0.019225	0.0222906	0.0221339	0.0187775	0.0263448	0.0241426	0.0249998	0.0190892	0.0211227	0.0228696	0.0198852
manière	0.0170998	0.0194985	0.030655	0.0330656	0.0412477	0.0209533	0.0335287	0.117321	0.0899656	0.155844	0.0480522	0.0479254	0.0279595	0.0212747	0.0121111	0.0185465	0.0428757	0.0430013	0.0434942	0.0268258	0.016294	0.011487	0.006597	0.00516665	0.00338098	0.00813006	0.00587806	0.0024782	0.00343585	0.00569265	0.0036707	0.00413724	0.00400662	0.00514471	0.00192152	0.00462643	0.00434962	0.00296482	0.00345213	0.00347606	0.0014603	0.00100331
dont	0.105472	0.0387882	0.0195045	0.0159037	0.00945202	0.00792288	0.00697925	0.0137004	0.0290658	0.0378008	0.0286475	0.0278189	0.0203916	0.0190182	0.025598	0.022299	0.0319078	0.0498844	0.044737	0.0353743	0.0328	0.0217469	0.0242148	0.0300322	0.0298599	0.0341333	0.0378024	0.0306742	0.0199161	0.0218322	0.0217771	0.0256002	0.0127372	0.0150776	0.0107733	0.00742582	0.00635819	0.00436463	0.00467822	0.00623397	0.00446534	0.00723017
ils	0.0382971	0.0411063	0.0332805	0.0292274	0.0198549	0.0208714	0.025214	0.0147685	0.0129599	0.0078055	0.00874834	0.0106568	0.0137984	0.0228026	0.0213011	0.0383216	0.0411496	0.0695639	0.0640072	0.0475378	0.0364584	0.0338846	0.0339603	0.0298238	0.0196846	0.024959	0.0256582	0.0315669	0.0124558	0.0116416	0.00928034	0.00953908	0.00890653	0.016066	0.0111915	0.0140474	0.00987283	0.00730739	0.00748663	0.00810728	0.00708105	0.049748
ont	0.0536893	0.0469252	0.0412431	0.0502639	0.0449408	0.034083	0.0349645	0.0323225	0.045342	0.0154242	0.0227278	0.0168831	0.0185371	0.0256253	0.0307719	0.0315487	0.0274372	0.0525425	0.0421998	0.0502867	0.0465899	0.0288809	0.0249163	0.0223117	0.0198078	0.021469	0.0159385	0.00950671	0.00751315	0.00702929	0.00681636	0.00606906	0.0047946	0.00577927	0.00465319	0.00448069	0.00445943	0.00349774	0.00507412	0.00718657	0.00523596	0.0202315
bourré	0.0219707	0.0314672	0.0373732	0.0509752	0.0505873	0.0446613	0.0423449	0.0553327	0.0672185	0.0316523	0.0186039	0.0118698	0.0129978	0.0125165	0.0138015	0.013902	0.0141499	0.0200883	0.0235863	0.028056	0.0308617	0.0222707	0.0206074	0.0315623	0.0193365	0.0449087	0.0303108	0.0174735	0.0137363	0.0126345	0.0119879	0.0128222	0.0112915	0.0146166	0.00900954	0.00811164	0.00737162	0.00605969	0.0104102	0.0110881	0.0114015	0.0389718
ma	0.0164166	0.0155438	0.00851561	0.00993803	0.00850451	0.00942609	0.00831158	0.00863176	0.0161457	0.0278112	0.0303849	0.0181902	0.0129606	0.0138903	0.0132108	0.013221	0.0109293	0.0189548	0.0287024	0.0390743	0.0359465	0.030722	0.0311127	0.0325707	0.0278345	0.0366559	0.0236596	0.0312314	0.0249985	0.0235175	0.0300091	0.0144671	0.024633	0.0206777	0.0203874	0.0211976	0.0306927	0.0294065	0.035911	0.0248613	0.0331006	0.0876433
hotte	0.0358578	0.0338871	0.0362535	0.0381433	0.0235382	0.0213591	0.0159229	0.021775	0.0207067	0.0230909	0.0177809	0.0133665	0.0091497	0.00743449	0.00618893	0.00553199	0.00417854	0.00304632	0.00664128	0.0134812	0.0113564	0.0146671	0.0180266	0.0206818	0.0103415	0.0201501	0.0127335	0.0156872	0.0179823	0.0196626	0.0226958	0.0163282	0.0315013	0.0210344	0.013984	0.025737	0.0354242	0.0304581	0.0471957	0.0440537	0.0593562	0.133608
de	0.0615965	0.0908195	0.0468526	0.0255161	0.0088556	0.0155549	0.0162728	0.05176	0.06126	0.0510889	0.0314233	0.0140387	0.00777948	0.0096778	0.0114543	0.00389804	0.00400892	0.00568902	0.00852293	0.00997874	0.0123908	0.0123051	0.0161685	0.020076	0.0150523	0.0218072	0.012996	0.0135184	0.0107393	0.0115482	0.00844603	0.0102367	0.0183986	0.0186871	0.00973414	0.0136245	0.0156906	0.0137725	0.0213731	0.0117962	0.0313268	0.144264
maïs	0.0960295	0.0717083	0.0223422	0.012789	0.00824286	0.00777766	0.00611344	0.00537598	0.00478788	0.00481241	0.00309532	0.0024598	0.00474341	0.00811027	0.00938622	0.00546209	0.00674172	0.00701168	0.0141487	0.0228331	0.022479	0.0243989	0.0256915	0.0241794	0.0154331	0.0210892	0.0162315	0.0197446	0.0214336	0.0187469	0.0131451	0.0167136	0.0250247	0.017654	0.0123663	0.0247592	0.0255463	0.0271095	0.0440933	0.0467739	0.0776469	0.135768
me	0.0868029	0.0577585	0.0295529	0.0154861	0.00821464	0.00883897	0.00941752	0.00986012	0.010431	0.00708446	0.00418384	0.00355951	0.00768683	0.0142308	0.0171538	0.0109066	0.0130631	0.0105416	0.023336	0.0282462	0.0262341	0.0278909	0.0318893	0.0288188	0.018449	0.0207581	0.0154245	0.017861	0.0213173	0.017207	0.0123842	0.0147919	0.0270729	0.018071	0.0121685	0.0214891	0.0250396	0.0218042	0.0340113	0.023357	0.0503318	0.137273
fait	0.111161	0.0454505	0.0247319	0.0163824	0.0101329	0.00774439	0.00532539	0.00407559	0.00264635	0.00238553	0.00289441	0.00315565	0.00386049	0.0061179	0.00668769	0.0064328	0.00897548	0.00813949	0.0203193	0.0218138	0.0224478	0.0247912	0.0329747	0.0315547	0.0193948	0.0310206	0.0223942	0.0284894	0.0326758	0.034913	0.0287597	0.0280329	0.0315686	0.0382743	0.0305129	0.0309988	0.0287245	0.0226599	0.0243119	0.0217336	0.0399648	0.0753691
souffrir	0.0757092	0.0333521	0.0218584	0.0172564	0.00744603	0.00477888	0.00311079	0.00285665	0.00343601	0.0031815	0.00301769	0.00207321	0.00280249	0.00438082	0.00472148	0.00543564	0.00682202	0.00599804	0.013504	0.0160168	0.0147025	0.0177677	0.0241425	0.0310718	0.0155053	0.0360198	0.0283265	0.0386616	0.0431359	0.0490371	0.0370587	0.036789	0.0357301	0.0443376	0.0367813	0.0376681	0.0363281	0.0266702	0.0300833	0.0320364	0.0427295	0.0676587
</S>	0.107862	0.0354841	0.0156328	0.013955	0.00929714	0.00463752	0.00462017	0.00459418	0.00574719	0.00707755	0.00738358	0.00440985	0.00603151	0.00794428	0.00848057	0.00797024	0.0106939	0.00661061	0.0176948	0.0204485	0.0189155	0.0199426	0.0311822	0.0165838	0.0089682	0.0231543	0.0161293	0.0223414	0.0336188	0.0495156	0.0379437	0.023223	0.0263697	0.0254018	0.0206611	0.0393263	0.0479215	0.0419687	0.0422019	0.0476483	0.0403234	0.0600833
