 	n	a	a	n	á	d	í	s	i	b	a	á	l	é	k	a	n	a	b	v	e	r	é	</S>
ouvre	0.011917	0.0154545	0.0142148	0.00940703	0.00599753	0.0128893	0.0125515	0.0247514	0.0257204	0.0408565	0.0541957	0.0784122	0.123984	0.125096	0.084279	0.101714	0.0546165	0.0800114	0.0394439	0.0303863	0.0229922	0.0132317	0.00945715	0.00842117
grandement	0.146543	0.108531	0.0983902	0.101008	0.073243	0.0425625	0.0447742	0.0244316	0.0342955	0.0228553	0.0201833	0.0176044	0.0365295	0.0288664	0.0343153	0.0267418	0.0226249	0.0276538	0.0308722	0.0235354	0.0108433	0.00871872	0.00679074	0.00808646
l'	0.0356052	0.0333892	0.0137043	0.0173757	0.0259098	0.0371914	0.0523979	0.0424815	0.0500474	0.0446621	0.0495413	0.0517522	0.0452819	0.0477564	0.0726357	0.0532478	0.0421264	0.0714966	0.0459738	0.0358678	0.0468682	0.0328519	0.0272681	0.0245675
oeil	0.135937	0.0481576	0.0593544	0.0804595	0.04309	0.0391266	0.0213695	0.0172804	0.0336053	0.0187158	0.0147921	0.0289609	0.0397534	0.0393376	0.0323266	0.0819465	0.0658424	0.0436776	0.0282371	0.0257756	0.01542	0.0216121	0.0327503	0.0324722
pour	0.0615393	0.047407	0.0401657	0.0333787	0.0374383	0.0258154	0.0168493	0.015261	0.0155655	0.0141999	0.0134086	0.0164721	0.0246072	0.0457509	0.0373713	0.0435566	0.10211	0.0484799	0.076854	0.0542001	0.0524904	0.0517406	0.066227	0.0591112
qu'	0.04306	0.0276618	0.0175202	0.0266001	0.0377337	0.0409115	0.0381124	0.024668	0.0303636	0.0232984	0.0233236	0.0226677	0.0499749	0.0477555	0.0403379	0.0307752	0.0348506	0.0360192	0.0390556	0.0498567	0.0587153	0.0604095	0.0740102	0.122318
on	0.0208593	0.0111772	0.00896535	0.0112453	0.0147429	0.0172024	0.0153638	0.0112354	0.0108562	0.0113865	0.0119494	0.020244	0.130667	0.121741	0.116771	0.0842041	0.0934901	0.0493078	0.0466104	0.0335751	0.034447	0.0331274	0.0397959	0.0510352
y	0.0697262	0.0190524	0.0146734	0.0177612	0.0150744	0.0107266	0.00533993	0.00233249	0.00263092	0.00438079	0.00469422	0.00775212	0.0399349	0.0801535	0.0910951	0.0888614	0.103585	0.0973337	0.106283	0.0447514	0.0293103	0.0371044	0.0450738	0.0623693
mette	0.071998	0.0210141	0.0173269	0.0205605	0.0147188	0.0103636	0.00535181	0.00195321	0.00205609	0.00363945	0.00302345	0.0049766	0.0213891	0.0838728	0.0906377	0.0796449	0.0966019	0.094823	0.125036	0.0610342	0.0408473	0.0400841	0.0400945	0.0489522
le	0.0837463	0.0442364	0.0270526	0.0385138	0.0263528	0.0155338	0.00676735	0.00288246	0.00260762	0.0037414	0.00420636	0.00409502	0.0267973	0.0605617	0.0599438	0.0430099	0.0565619	0.0348169	0.0457731	0.0571263	0.0521085	0.081807	0.0726315	0.149126
médi-	0.101848	0.0361162	0.0282908	0.0244197	0.0158816	0.0114657	0.00651622	0.00542777	0.00477013	0.00553046	0.00784746	0.00903772	0.0407528	0.152768	0.0760279	0.0608615	0.0903134	0.0442561	0.0509399	0.0371971	0.0152919	0.0260628	0.0399442	0.108433
cament	0.185852	0.0595305	0.0377886	0.0250007	0.0100819	0.00606635	0.00513773	0.00451525	0.00434329	0.00503026	0.00715994	0.00587147	0.0145405	0.0517832	0.0294025	0.0246427	0.0412384	0.0257998	0.028806	0.0406621	0.0491172	0.072017	0.124932	0.140681
</S>	0.134094	0.0457732	0.035651	0.0265953	0.0167424	0.0109431	0.00796217	0.00596687	0.0059409	0.00588981	0.00584223	0.00555133	0.0102168	0.0408976	0.0276631	0.0280206	0.0364637	0.0391058	0.0551584	0.054414	0.0504024	0.0715903	0.117402	0.161713
