 	o	m	e	e	s	i	n	g	á	i	k	á	t	í	l	a	a	t	a	n	g	a	w	í	s	i	á	d	z	e	o	b	i	a	y	a	n	ω	</S>
celui	0.00685777	0.0133722	0.015623	0.0153033	0.0205818	0.0233832	0.0318315	0.0414577	0.0339563	0.0423615	0.0347365	0.0428956	0.0356548	0.0265491	0.0320083	0.0350481	0.0263115	0.0318093	0.0242976	0.0231167	0.0222123	0.0259815	0.0335365	0.014765	0.0103348	0.0109259	0.0124295	0.00947621	0.0141677	0.0133722	0.028164	0.0340945	0.0313489	0.0396616	0.0354631	0.0255092	0.0232675	0.0237662	0.0343677
qui	0.0850958	0.0430283	0.0220983	0.0149123	0.0120016	0.0137539	0.0202149	0.0226629	0.0310732	0.0597206	0.0630472	0.0358701	0.0728947	0.0546022	0.0667113	0.0398193	0.0345604	0.0277896	0.019843	0.0238768	0.0135749	0.0231924	0.0137134	0.00970562	0.0063684	0.00450167	0.00491389	0.00542759	0.00749665	0.0136764	0.0224896	0.0195018	0.0141989	0.0116968	0.00909861	0.0148886	0.0137207	0.0132214	0.0150361
m'	0.0970379	0.078285	0.0615196	0.0308999	0.0389522	0.0295213	0.0283718	0.020257	0.0138711	0.0194288	0.0120941	0.0275224	0.028826	0.0184581	0.0187167	0.0157228	0.0119805	0.0125869	0.00899646	0.0100705	0.0101454	0.0186734	0.0217201	0.0230193	0.0188445	0.0148843	0.0130182	0.0117475	0.0148172	0.0209496	0.0306505	0.0466479	0.0300692	0.0223446	0.0194352	0.020178	0.0274315	0.0362178	0.0160871
a	0.0521307	0.0571707	0.0500812	0.0452207	0.0532889	0.04993	0.039791	0.025852	0.0190582	0.0186021	0.0163819	0.022952	0.0284314	0.022341	0.0223846	0.0155464	0.0168144	0.0209263	0.0192837	0.0309423	0.0231957	0.0219605	0.0263616	0.0266828	0.0246414	0.0225123	0.0266016	0.0249205	0.0231971	0.020097	0.0190331	0.0219989	0.00957512	0.0108859	0.00603818	0.00596302	0.00959586	0.0179642	0.0316459
fait	0.0251106	0.0514356	0.0542667	0.0633297	0.0691223	0.0436576	0.0415711	0.0259496	0.0188123	0.0170563	0.0190163	0.0244065	0.0218045	0.0183075	0.017582	0.0130134	0.0162454	0.0181766	0.0181665	0.0181779	0.0151374	0.0163829	0.0189177	0.0190019	0.00859347	0.00801132	0.0111576	0.0150784	0.0201048	0.0228299	0.0341745	0.0377272	0.0275422	0.0225631	0.0269688	0.0175496	0.02758	0.028898	0.0265729
goûter	0.0405352	0.0696146	0.0642555	0.0569291	0.0440234	0.0321549	0.029304	0.0231065	0.0242736	0.0262008	0.027792	0.0307256	0.0326863	0.0351112	0.0243702	0.0180596	0.0188856	0.0233975	0.0207053	0.0206354	0.0175687	0.0185255	0.0133589	0.0153898	0.00602589	0.006919	0.00739561	0.00920774	0.00809125	0.0108697	0.0119433	0.0178525	0.0170262	0.0149933	0.0212562	0.0207168	0.0284497	0.0358325	0.0558111
des	0.0380446	0.0350855	0.0292862	0.0293879	0.0267345	0.0426661	0.0365739	0.0252684	0.0251766	0.0278458	0.0227101	0.0345045	0.040702	0.0454512	0.0513702	0.0347318	0.0267764	0.0514496	0.0246025	0.035402	0.0149188	0.0177819	0.00986761	0.010922	0.00743728	0.00703387	0.0097421	0.00816783	0.00927162	0.00957752	0.0112347	0.0153964	0.0118578	0.0144086	0.012584	0.0129514	0.0159373	0.0364631	0.0806765
beignets	0.0371747	0.0340694	0.0253666	0.021323	0.0142439	0.0180914	0.0223605	0.0180059	0.0215672	0.0280884	0.0325152	0.0311509	0.0547941	0.0514017	0.0512129	0.0333774	0.0285057	0.0474539	0.0438866	0.0448041	0.0296396	0.0219482	0.017449	0.0112567	0.00597656	0.00757196	0.00959648	0.00566567	0.00771859	0.00690666	0.00945627	0.0141754	0.0130086	0.0171046	0.0091193	0.016414	0.0186664	0.030994	0.0879384
et	0.0613655	0.030514	0.0232142	0.0249423	0.0282305	0.0334918	0.0306589	0.0149007	0.014569	0.0139106	0.0137759	0.0119829	0.0146051	0.0206993	0.019563	0.0179215	0.0168552	0.0202998	0.0244098	0.0232096	0.0201586	0.0185477	0.0191013	0.0143369	0.00691532	0.00746836	0.00956395	0.00842984	0.0171662	0.0269314	0.0382408	0.0425649	0.0400327	0.0411826	0.041442	0.0410222	0.0447921	0.04979	0.0531936
du	0.0904862	0.0506455	0.035023	0.0388822	0.0289501	0.0182552	0.0124196	0.0105726	0.012927	0.00998922	0.0127647	0.0102989	0.0117365	0.015256	0.0108242	0.00942097	0.00867888	0.0138505	0.0241189	0.0310167	0.0354497	0.0321236	0.0392326	0.0205202	0.0198818	0.0104881	0.00805307	0.00441671	0.00553508	0.00948536	0.0279429	0.0373418	0.0308774	0.0405752	0.0389538	0.0393628	0.0387168	0.0493509	0.0555756
gimgembre	0.0870551	0.0439284	0.0257357	0.0144987	0.00999828	0.00709943	0.00577585	0.00565728	0.00703186	0.00695142	0.0076612	0.00603845	0.0102009	0.0116775	0.014088	0.0134626	0.0143688	0.0243309	0.0373629	0.0396857	0.0350623	0.0295921	0.0249943	0.0167679	0.0120135	0.00890455	0.00888114	0.00574435	0.00930799	0.0138035	0.0238313	0.0292093	0.0272267	0.0385346	0.0352634	0.0473461	0.0529168	0.0709981	0.116993
c'	0.0649086	0.081725	0.0624845	0.0534712	0.034311	0.011661	0.00683006	0.00409873	0.0042545	0.00455739	0.0053106	0.00643548	0.00952348	0.0104686	0.0197817	0.023826	0.02061	0.0266474	0.0300779	0.0246648	0.0235377	0.0255094	0.0139921	0.0108944	0.00566826	0.00348248	0.00293591	0.00291947	0.00397755	0.00772826	0.0165864	0.0263821	0.0284958	0.0242597	0.026783	0.0350244	0.0424507	0.0740222	0.119702
est	0.031246	0.0202307	0.0126851	0.011101	0.0171494	0.0313676	0.0393387	0.0302464	0.0449407	0.0321131	0.0265989	0.0128407	0.0155308	0.017812	0.00825364	0.00695483	0.00742781	0.0100538	0.022838	0.038027	0.0478715	0.0725708	0.0507609	0.0458818	0.0602807	0.0274025	0.0248513	0.0129883	0.0145792	0.0146585	0.0154781	0.0165276	0.0170256	0.0154037	0.0215408	0.0197067	0.0233821	0.0265796	0.035754
ton	0.234092	0.11513	0.059485	0.0444897	0.0264323	0.0102073	0.00842478	0.00748143	0.00980595	0.011204	0.0141075	0.0127581	0.0190182	0.0225033	0.0206024	0.0165002	0.0145246	0.0192097	0.0284192	0.0242312	0.0181852	0.0141429	0.00791821	0.00638682	0.00720834	0.00425805	0.00436019	0.00245457	0.00317533	0.0038473	0.0124939	0.0186309	0.0165854	0.0212485	0.014314	0.0176433	0.0197301	0.0341842	0.0546061
ami	0.136242	0.0530705	0.0259212	0.016083	0.0134368	0.00619049	0.00404333	0.00374874	0.00626888	0.00777962	0.00794743	0.00341227	0.00668155	0.0134171	0.0166279	0.0144612	0.0132559	0.0251799	0.0300644	0.0381294	0.0247232	0.0153644	0.011963	0.00945408	0.00719198	0.00467121	0.00437261	0.00255454	0.00289394	0.00453615	0.0120194	0.0195532	0.018171	0.0232337	0.0336421	0.0455268	0.0534641	0.0912044	0.173499
</S>	0.0828892	0.0373468	0.024656	0.0159204	0.0192929	0.00718677	0.00582671	0.00551953	0.00752102	0.007378	0.00697195	0.00288983	0.00520041	0.00988622	0.0203325	0.0141543	0.0134471	0.0285618	0.0213426	0.0308542	0.0234921	0.0140847	0.0102566	0.01091	0.00727517	0.00566656	0.00655944	0.00517897	0.00533947	0.00606096	0.00911848	0.0162273	0.0188599	0.0185777	0.0250206	0.0386148	0.0521266	0.114589	0.244864
