 	m	w	á	n	a	n	d	z	é	s	i	w	ó	á	k	ώ	n	d	i	o	s	u	s	á	o	k	á	n	d	á	d	í	a	b	v	ú	u	m	ú	a	ó	m	i	t	ú	n	g	a	</S>
ce	0.00388635	0.00493023	0.00450914	0.00381369	0.00266156	0.00298473	0.00306794	0.00568264	0.00437872	0.00499997	0.00755818	0.0132933	0.0131532	0.0212654	0.031526	0.0265528	0.0219352	0.0322016	0.0324274	0.0162236	0.022527	0.0331866	0.0385781	0.042155	0.045365	0.0497272	0.0373557	0.041835	0.0161356	0.0188844	0.0226151	0.0199795	0.0247341	0.0237489	0.0219023	0.016687	0.0133251	0.0127982	0.0137214	0.0129106	0.0147728	0.0166632	0.0203676	0.0200223	0.0271661	0.0227649	0.024486	0.0312354	0.0372986
petit	0.0302717	0.0284323	0.0432216	0.0968397	0.0782983	0.157102	0.114237	0.0492225	0.0526046	0.0540388	0.0317863	0.0172536	0.0247622	0.00815034	0.0152434	0.00475431	0.00422541	0.00255438	0.000668886	0.000347336	0.000854031	0.00118965	0.000822653	0.000724995	0.00270817	0.00249221	0.0012813	0.00164074	0.00131042	0.00238335	0.00148038	0.00171651	0.0013304	0.00198414	0.00481101	0.00247324	0.00330018	0.00532663	0.00607787	0.0147587	0.0174118	0.0351216	0.0265534	0.0256361	0.0150029	0.00296026	0.00156899	0.00181744	0.00124672
enfant	0.0410324	0.0339125	0.0296594	0.034005	0.0289322	0.0216993	0.0260598	0.0204781	0.015195	0.0168754	0.0237165	0.0200223	0.0243947	0.0159396	0.0154769	0.0142768	0.0152658	0.0243694	0.0295322	0.0238733	0.0222316	0.0345319	0.0182805	0.0187016	0.0110991	0.0164973	0.0196438	0.016979	0.0186706	0.0175598	0.019124	0.0170676	0.0170841	0.0172725	0.0166471	0.0195868	0.0183624	0.0166028	0.0163898	0.0170803	0.0189607	0.0196338	0.0155702	0.0175628	0.0162617	0.0197257	0.0139531	0.0200806	0.0141225
n'	0.0296135	0.0272602	0.0150084	0.00894573	0.0096187	0.0163761	0.017828	0.0122293	0.0122561	0.0119025	0.0164899	0.0168741	0.0115327	0.0138654	0.0168601	0.0258499	0.0120857	0.0153929	0.0147986	0.0161896	0.0186977	0.0163997	0.0201545	0.019372	0.0242009	0.0154619	0.0189979	0.0190859	0.0293163	0.0247249	0.0295699	0.023647	0.0221062	0.024147	0.0270008	0.0313084	0.039429	0.0316247	0.0296778	0.0288901	0.0234163	0.0253991	0.0240843	0.0162894	0.0145401	0.0143738	0.0179734	0.0188387	0.0302951
a	0.0459809	0.02685	0.0157069	0.011319	0.00906719	0.0104324	0.0123169	0.00903803	0.0109655	0.00865897	0.00839736	0.00961402	0.0131483	0.0127059	0.0169742	0.017282	0.0134379	0.0157198	0.0158152	0.0185685	0.0170207	0.0169389	0.0168016	0.0187518	0.0165319	0.0184439	0.023074	0.0206602	0.0416671	0.0284809	0.0371246	0.037256	0.03042	0.0264274	0.0283642	0.047227	0.0436397	0.0366315	0.0335504	0.0352005	0.0245188	0.0142273	0.00975971	0.0058112	0.00608761	0.00838514	0.0132571	0.016295	0.0254468
pas	0.0137983	0.0176002	0.0103969	0.010508	0.00911569	0.00841878	0.009815	0.00660917	0.00868936	0.0108805	0.0150133	0.0162597	0.0148474	0.0172952	0.0180176	0.0230985	0.0140359	0.0257586	0.028663	0.0162891	0.0209124	0.0216337	0.0163989	0.0122103	0.0100797	0.0125834	0.0215222	0.0203263	0.0290336	0.0168568	0.0270481	0.0226489	0.0210872	0.0279942	0.0380748	0.0283675	0.017862	0.0408119	0.0309492	0.0568637	0.052052	0.0385324	0.0297301	0.0219752	0.0182038	0.0101739	0.0127153	0.00897046	0.0192718
pu	0.0203053	0.0119996	0.00843251	0.00833233	0.00703842	0.00528035	0.00548013	0.00477855	0.00534987	0.00565094	0.00709392	0.00958474	0.00749814	0.00605893	0.00635325	0.0102764	0.00507482	0.00921471	0.00918106	0.00857176	0.0109833	0.00856552	0.0104084	0.013039	0.0161199	0.0213558	0.024429	0.0262022	0.0377478	0.0385825	0.0428814	0.0418044	0.0406606	0.032115	0.0372242	0.0369823	0.0392224	0.0368959	0.0399635	0.0337425	0.0327787	0.0375158	0.0334309	0.0319739	0.026101	0.0221639	0.0232507	0.0191924	0.0231112
bien	0.0249932	0.0129694	0.01046	0.00975303	0.0106246	0.00914471	0.00932659	0.00777763	0.00913804	0.0103031	0.0125712	0.0135203	0.0115236	0.0100809	0.0104731	0.0180261	0.00884347	0.0156034	0.0151867	0.0154833	0.019495	0.0150071	0.0191198	0.0229569	0.0303618	0.0322	0.0297557	0.03782	0.0397973	0.0322046	0.0300405	0.028333	0.0273989	0.0287274	0.0277532	0.0258875	0.0212167	0.0197084	0.0206313	0.0174427	0.0185188	0.0210081	0.0201478	0.0209293	0.0223817	0.0228265	0.0307645	0.0303828	0.0413804
nettoyer	0.029599	0.0137091	0.0111037	0.0106032	0.00956871	0.0100087	0.0106873	0.0110514	0.0114935	0.0126546	0.0115337	0.017235	0.0180374	0.0177263	0.021748	0.0246387	0.018824	0.0160217	0.0149569	0.0161731	0.0207493	0.016622	0.0204652	0.0248965	0.0318165	0.0309973	0.022972	0.0270552	0.0245965	0.0224458	0.0158833	0.0210397	0.019934	0.0136789	0.0148938	0.0132086	0.0146635	0.0102619	0.0117792	0.00725871	0.00729676	0.0108545	0.016334	0.0173872	0.0315895	0.0476963	0.0536691	0.0510012	0.0715796
son	0.115402	0.028527	0.0310041	0.024852	0.0175278	0.021155	0.0190022	0.0181934	0.0180395	0.0163103	0.0178508	0.0116149	0.0266898	0.0220641	0.0239193	0.0326901	0.0111033	0.0146793	0.0195877	0.0237365	0.0191732	0.00856774	0.0108352	0.0105023	0.0113373	0.00865853	0.0111688	0.013168	0.0250643	0.0244902	0.0210916	0.0184058	0.0186296	0.0197786	0.0155855	0.013956	0.0152905	0.0117501	0.011991	0.011449	0.0110603	0.0129726	0.0143119	0.0104517	0.0111408	0.0162185	0.0238126	0.0196275	0.0655617
habit	0.0513581	0.0306407	0.0226804	0.0151813	0.0131067	0.015425	0.0170867	0.0167636	0.015328	0.0116274	0.012832	0.0126544	0.0115435	0.0101788	0.0132123	0.0213609	0.0125057	0.01126	0.0113139	0.0109786	0.0152015	0.0108526	0.0148163	0.0154344	0.0192613	0.0185217	0.0139986	0.0135197	0.0143252	0.0156384	0.0138516	0.0192118	0.0159963	0.0129792	0.0128857	0.0141335	0.0120575	0.00822615	0.00904741	0.00512472	0.0054783	0.00939122	0.0116375	0.017131	0.0349993	0.0592299	0.0622301	0.0766788	0.111102
voilà	0.1263	0.0448316	0.0511656	0.036599	0.0208585	0.022665	0.0215444	0.0244149	0.0209248	0.0138	0.0155656	0.00409497	0.0341477	0.0223496	0.0282994	0.0395963	0.0188034	0.0165902	0.0261808	0.0267923	0.0209903	0.0116951	0.0121175	0.00972404	0.0122747	0.0137748	0.0159565	0.0145782	0.0213839	0.016465	0.0134619	0.0197049	0.0153751	0.0118119	0.00788333	0.0112459	0.0102763	0.00805406	0.00799989	0.00410236	0.00397966	0.00463021	0.00577395	0.0056878	0.0109763	0.0191152	0.0229828	0.0226615	0.0297929
pourquoi	0.0280162	0.0214034	0.0178093	0.0150322	0.0128086	0.0104179	0.00834367	0.00744389	0.00706891	0.00818191	0.00745622	0.00767261	0.00884219	0.0117243	0.0153244	0.0190605	0.00873349	0.0117385	0.0091475	0.0108711	0.0103653	0.00747567	0.00598912	0.00691504	0.00906055	0.0112328	0.0220508	0.0213419	0.0365259	0.0387381	0.0357544	0.0502996	0.0395782	0.0378428	0.030134	0.0303273	0.0261293	0.0235279	0.0279786	0.0138801	0.0140184	0.0244704	0.0298018	0.0289018	0.0411453	0.0360052	0.0326357	0.0303214	0.030456
il	0.102704	0.0529962	0.0454683	0.0393744	0.0328468	0.0233709	0.0182823	0.0130018	0.0118849	0.0106833	0.00829851	0.0143226	0.0117218	0.0108158	0.0127323	0.0152515	0.008745	0.0109113	0.0113402	0.0109333	0.00957601	0.00980758	0.00868687	0.00795756	0.0082085	0.0104069	0.0148439	0.0156432	0.0187144	0.0338648	0.0184148	0.0241671	0.0211199	0.016696	0.0129768	0.0108151	0.00861543	0.0105419	0.0114858	0.00736876	0.00804887	0.014504	0.0194841	0.0208025	0.0354856	0.0340054	0.0331928	0.0353709	0.0535099
est	0.131025	0.0500264	0.0211129	0.0198139	0.0162663	0.0135066	0.0116724	0.00895896	0.0116267	0.0107912	0.00766218	0.013568	0.013411	0.0166102	0.0157451	0.0254261	0.00772652	0.00798183	0.0114499	0.0122344	0.0151189	0.00947997	0.0118269	0.01337	0.0163024	0.0107782	0.0136939	0.0148426	0.022154	0.0263841	0.0263316	0.0269102	0.0232904	0.0200251	0.0179254	0.0206477	0.0193238	0.0164021	0.0167633	0.0123576	0.0117802	0.01519	0.0185235	0.0159381	0.0185363	0.0221684	0.0289269	0.0268026	0.0615905
