 	k	ó	l	o	á	t	s	í	m	i	k	ó	ó	m	ó	p	ε	l	έ	m	á	m	u	m	b	á	</S>
le	0.0155757	0.0278983	0.0257899	0.0249156	0.0340041	0.0517924	0.0414525	0.0564777	0.0332431	0.0566915	0.0838933	0.0448373	0.0481613	0.0819986	0.076789	0.0384253	0.0285977	0.00860117	0.0122654	0.0165911	0.0290263	0.0343972	0.0339512	0.0294575	0.0235586	0.024475	0.0171335
blaireau	0.0511598	0.0360225	0.0872651	0.0478767	0.0780416	0.0651282	0.0564533	0.043643	0.0219932	0.0479417	0.0261259	0.0253414	0.0686514	0.0698345	0.0688721	0.0665897	0.0247914	0.0123112	0.0183546	0.0197356	0.0117524	0.0207643	0.0161443	0.00725559	0.00399336	0.00212954	0.00182775
a	0.0117357	0.00796853	0.0106222	0.0129792	0.0267027	0.0520573	0.0718228	0.07805	0.0691896	0.0719523	0.0634723	0.0856596	0.042954	0.0389637	0.0243385	0.0315742	0.0164239	0.0213277	0.0353231	0.032674	0.068896	0.0344835	0.0250506	0.0271004	0.0204263	0.0126967	0.0055554
creusé	0.0275607	0.0422213	0.059129	0.0571663	0.0608627	0.0849122	0.0877763	0.0666277	0.055255	0.0556533	0.0375294	0.021155	0.0398369	0.021131	0.0149587	0.0117125	0.0144475	0.0320486	0.0267605	0.0169362	0.0147485	0.0152372	0.0133977	0.0139115	0.0154658	0.0308759	0.0626825
un	0.0301092	0.0263532	0.0348764	0.0439031	0.0454019	0.0540263	0.0685443	0.0517726	0.0408305	0.045076	0.0549804	0.0537693	0.0264979	0.020558	0.0108987	0.0105143	0.0177251	0.0410141	0.0380897	0.0278118	0.0245828	0.020376	0.0242152	0.0301609	0.0353169	0.0513685	0.0712269
terrier	0.0155208	0.00823844	0.00856423	0.00905521	0.011214	0.0118114	0.0118258	0.0174566	0.0391223	0.0413877	0.0329957	0.023008	0.0321758	0.0322912	0.0294583	0.0441866	0.0601364	0.0836309	0.0993287	0.0816833	0.0336548	0.0383518	0.0330127	0.0418524	0.0508354	0.0598225	0.0493788
près	0.0408924	0.0188636	0.0176372	0.0217201	0.0229634	0.024696	0.0220566	0.0269606	0.0295706	0.0306399	0.0237021	0.0150847	0.0231105	0.0147371	0.0106023	0.00996008	0.023748	0.058113	0.064826	0.0579651	0.0345804	0.050958	0.0424125	0.0439884	0.0686827	0.0932571	0.108272
d'	0.0647018	0.0410981	0.0389411	0.0407404	0.0400183	0.0418335	0.0410458	0.0400036	0.0200608	0.0166978	0.0119071	0.00897835	0.0184509	0.0135917	0.0139522	0.0121722	0.0158698	0.0483102	0.0436766	0.0294805	0.0224929	0.0280625	0.0302493	0.0330113	0.0456261	0.0903478	0.148679
une	0.107659	0.0536603	0.0474272	0.0465619	0.0377601	0.0244874	0.0136071	0.0119325	0.00743867	0.00789298	0.00886077	0.00738989	0.00912939	0.0126908	0.00932223	0.0076355	0.0173564	0.0263462	0.0275614	0.0310694	0.0232096	0.0354216	0.0464515	0.0526337	0.0852291	0.105614	0.135651
tombe	0.0424441	0.0360221	0.0415914	0.0437485	0.0389171	0.0135676	0.00720271	0.00545006	0.00577253	0.00574517	0.00574112	0.00598445	0.0125703	0.0150207	0.0167587	0.011081	0.0132543	0.0139526	0.013653	0.03084	0.0356329	0.0692803	0.056332	0.0399653	0.101496	0.126059	0.191917
</S>	0.0553878	0.0413026	0.03704	0.0314998	0.0239467	0.0184031	0.0138226	0.00847347	0.00678889	0.0061281	0.00383158	0.00349835	0.0101024	0.00795496	0.00780283	0.00697612	0.0123532	0.0341694	0.0353309	0.0448607	0.0463768	0.05386	0.0457414	0.0463756	0.065546	0.104555	0.227871
