 	e	k	á	m	b	í	l	i	y	é	é	k	á	m	b	í	w	a	o	l	ó	m	i	n	g	á	í	m	i	k	ώ	n	d	ώ	o	b	ó	n	d	a	</S>
la	0.0126387	0.0121351	0.0101569	0.0122791	0.0119373	0.0155682	0.016194	0.0293264	0.0351268	0.0422613	0.0473637	0.0571367	0.0385883	0.0542007	0.0380827	0.022982	0.0300768	0.0416814	0.0228523	0.019761	0.0177289	0.0191742	0.0148303	0.0118222	0.0125703	0.0142867	0.0116296	0.0119308	0.0131796	0.015966	0.0165674	0.0200962	0.0183101	0.0248953	0.0181594	0.0298319	0.0274525	0.0371183	0.0324477	0.0306204	0.0310324
manière	0.00877851	0.0115499	0.0335293	0.0306444	0.0177369	0.015089	0.0232411	0.0224034	0.0200965	0.0137731	0.0195837	0.0638594	0.0662436	0.0696964	0.0888956	0.0550803	0.0732333	0.0972569	0.02998	0.0180047	0.0166191	0.0114468	0.00856235	0.00823754	0.00405649	0.00695566	0.0117745	0.017508	0.019014	0.00766045	0.00636046	0.00513922	0.00992587	0.0130498	0.0101806	0.0216042	0.0132819	0.0114524	0.0123351	0.00462149	0.001538
dont	0.0934565	0.0248738	0.0238252	0.0114371	0.0178396	0.012054	0.025985	0.012373	0.007062	0.00542933	0.00731912	0.0199755	0.0144119	0.018467	0.0242906	0.052494	0.039964	0.0865635	0.0697618	0.0411914	0.0543549	0.0323613	0.0265694	0.0249902	0.023114	0.0186668	0.024506	0.02218	0.0295693	0.0216906	0.0227566	0.0149218	0.0184501	0.010287	0.0134057	0.00865048	0.00521452	0.00524506	0.00387416	0.00330356	0.00711401
elle	0.0338845	0.0341765	0.0310527	0.0133267	0.0140072	0.0150288	0.01141	0.00875106	0.00917295	0.00753906	0.00926285	0.0106933	0.00728618	0.0113623	0.0129204	0.0127817	0.0403662	0.101358	0.0410108	0.0345649	0.0377233	0.0964436	0.0775216	0.0458634	0.0582521	0.0253015	0.0471551	0.0164798	0.022352	0.015558	0.0160645	0.0121867	0.00825445	0.00667779	0.00391455	0.00417984	0.00456948	0.00557917	0.00453861	0.0047415	0.0266866
manque	0.0240962	0.0169005	0.022538	0.014592	0.0288299	0.0290196	0.0138019	0.00922698	0.00922831	0.00804011	0.00753302	0.00907841	0.00517524	0.00560955	0.00943004	0.0149876	0.0450192	0.0692754	0.0462476	0.0499327	0.0518394	0.0632167	0.0572528	0.0692162	0.0700746	0.0335353	0.0523687	0.0257127	0.0415513	0.0179197	0.0182731	0.0134492	0.00834344	0.00561997	0.00395498	0.00468325	0.00329652	0.00310168	0.00326224	0.00376021	0.011006
de	0.0345622	0.0297516	0.0477481	0.048795	0.0625552	0.0612907	0.0362647	0.0329243	0.0226036	0.0195505	0.0209779	0.0225121	0.0192836	0.0143979	0.0140029	0.0155043	0.0135324	0.0206502	0.0153643	0.0174439	0.0146066	0.0207694	0.0147005	0.0340549	0.037654	0.0357658	0.0487276	0.0248779	0.0242628	0.0195545	0.0209956	0.0164905	0.0144535	0.0124605	0.0144961	0.00885988	0.0116674	0.00824253	0.0111607	0.0132589	0.0232248
mari	0.045303	0.0313408	0.0222895	0.0176225	0.0197984	0.0220335	0.0248516	0.0267578	0.0297518	0.0181851	0.0183443	0.0163281	0.0107124	0.00949737	0.00841591	0.0111861	0.0196627	0.0216679	0.0142256	0.016996	0.0163954	0.0338217	0.0212796	0.0439631	0.03396	0.0280147	0.0317694	0.0327069	0.0277198	0.0226244	0.0217734	0.0176938	0.019325	0.0191103	0.0234341	0.0216877	0.0274656	0.025128	0.032295	0.0388473	0.0560147
m'	0.0341423	0.0292408	0.0307934	0.0305949	0.0385483	0.050218	0.0312241	0.0288979	0.0267332	0.0128303	0.0113997	0.00882665	0.00632393	0.00723777	0.00902524	0.00852246	0.0130027	0.0128667	0.00922195	0.0140245	0.0133391	0.0249835	0.0175383	0.0355786	0.0240056	0.0239441	0.0327937	0.0355459	0.0258299	0.020961	0.0163022	0.010903	0.0151656	0.0158799	0.0247577	0.0242771	0.0253986	0.0285613	0.040933	0.0520989	0.077528
est	0.0526439	0.057321	0.0732251	0.0555325	0.0429612	0.0227529	0.0223456	0.0244864	0.0241602	0.0124698	0.0156952	0.011154	0.00864036	0.00842904	0.00751993	0.00825434	0.00899515	0.00767497	0.00851247	0.00811507	0.00753892	0.0109369	0.00742053	0.0184717	0.0108211	0.0075919	0.0158175	0.00829327	0.00803622	0.00789147	0.0149206	0.0146428	0.0218684	0.0260862	0.0193132	0.0199396	0.0269109	0.0327811	0.0519999	0.0594695	0.128359
incompréhensible	0.0455096	0.0473501	0.0529911	0.0331794	0.0177666	0.00846389	0.0116604	0.0127067	0.0133611	0.00943968	0.0105582	0.00907914	0.0100047	0.00819475	0.00832002	0.0112237	0.0245727	0.0293107	0.0205609	0.0291155	0.0304906	0.0256745	0.0198069	0.0256326	0.0231368	0.0115373	0.0217548	0.0164363	0.0100269	0.00578297	0.00927974	0.0079241	0.0151475	0.0166411	0.0137438	0.0144457	0.0306921	0.0362886	0.0583971	0.0625509	0.131241
</S>	0.049618	0.0421691	0.0395469	0.0319303	0.0226731	0.013765	0.0112886	0.0126423	0.0119043	0.00707732	0.0086612	0.00546313	0.00508571	0.00507074	0.00559095	0.0064488	0.00967212	0.0135718	0.0175659	0.0115175	0.0153611	0.0209965	0.0185202	0.0339005	0.0304111	0.0166311	0.040674	0.0247354	0.0140294	0.00969436	0.0167562	0.013366	0.0183919	0.0235102	0.0181542	0.0173284	0.0316259	0.0410304	0.0444719	0.0749365	0.144212
