 	b	á	a	á	p	f	ú	m	b	u	s	u	a	k	w	é	é	l	é	p	á	b	h	a	</S>
ils	0.103753	0.136219	0.137785	0.129762	0.109052	0.0323949	0.0141975	0.0157435	0.0235667	0.0148459	0.0178277	0.0242885	0.017326	0.0178298	0.017524	0.0219706	0.0161465	0.0160283	0.0291397	0.0176369	0.0264768	0.0156309	0.0165707	0.0177155	0.0105689
ont	0.0426085	0.0375664	0.0254119	0.0181637	0.0147722	0.0336647	0.0606564	0.0628011	0.0425675	0.0398485	0.039304	0.0377587	0.0141367	0.0141629	0.0172016	0.0358736	0.0409982	0.0561738	0.0415069	0.0576074	0.0923023	0.0747481	0.0499589	0.0367511	0.013455
sorti	0.0516904	0.0360225	0.037193	0.0355061	0.0142163	0.0146155	0.0182627	0.021127	0.0265079	0.0229438	0.0327273	0.047835	0.0548035	0.0760694	0.0712388	0.0673706	0.050018	0.0313521	0.0455687	0.0459586	0.0493801	0.0464413	0.0373363	0.0346858	0.0311292
les	0.0322245	0.0286181	0.0288252	0.026253	0.0258349	0.0270473	0.0277082	0.0329842	0.0335666	0.0413633	0.0540902	0.0533017	0.064868	0.0698384	0.0571582	0.040834	0.0412055	0.037814	0.0333444	0.0341679	0.0305269	0.0399103	0.0452671	0.0442572	0.0489908
veuves	0.0145574	0.0150658	0.0140509	0.0129853	0.0206023	0.0302954	0.0436514	0.0459609	0.0470363	0.0328439	0.0389709	0.0327508	0.0368155	0.0490095	0.0450724	0.0569565	0.0504641	0.0432369	0.0398213	0.0369308	0.0458795	0.0397891	0.0550113	0.0696298	0.0826119
de	0.0167946	0.0152177	0.0121477	0.00868707	0.0124414	0.0189781	0.0365032	0.0444847	0.0419074	0.0350662	0.0488907	0.0551977	0.054106	0.0456369	0.0310666	0.0363129	0.036461	0.0497042	0.0488567	0.0406479	0.0495363	0.0506565	0.0614019	0.064364	0.0849326
leur	0.0423085	0.0441115	0.0325091	0.0212197	0.0150413	0.0191614	0.0252619	0.0323135	0.0387353	0.0250933	0.0250937	0.0272636	0.0464341	0.0503708	0.0465556	0.0500722	0.0411367	0.0411764	0.0471275	0.0283022	0.0465045	0.0430965	0.0549927	0.0655108	0.090607
deuil	0.0411544	0.0437003	0.0380305	0.0397024	0.0329168	0.0199447	0.0155033	0.0177784	0.0177395	0.0182785	0.0244968	0.0339724	0.0327491	0.0160308	0.0132607	0.0198003	0.0239663	0.0414345	0.0252742	0.0540199	0.0508432	0.0376019	0.083348	0.112298	0.146155
aujourd'	0.0256512	0.0205672	0.0219031	0.0201001	0.0423753	0.0286539	0.0424421	0.0557879	0.0549432	0.0476213	0.0524104	0.0358587	0.0419841	0.0229247	0.0198622	0.0137104	0.0136887	0.0331008	0.0168087	0.0402327	0.0232443	0.0254876	0.0597613	0.0650076	0.175873
hui	0.0564892	0.0282244	0.0350252	0.0399897	0.0701001	0.0224998	0.0230856	0.0235819	0.0253254	0.0174717	0.0202871	0.0204924	0.0200478	0.0128051	0.00924786	0.012122	0.016651	0.0396429	0.0265343	0.0601123	0.0480774	0.0478644	0.0729061	0.0999782	0.151438
</S>	0.0404545	0.0321277	0.0371346	0.0432081	0.0429966	0.0448205	0.0414845	0.0319496	0.0255604	0.0202415	0.0186027	0.0118307	0.0148351	0.0117865	0.0424835	0.0314164	0.0437025	0.0394188	0.0405681	0.0458919	0.0402604	0.0449887	0.0524856	0.074204	0.127547
