 	b	ώ	m	ώ	b	á	i	y	a	a	l	o	d	í	n	g	á	á	p	é	n	d	á	a	b	á	r	í	o	y	a	a	o	b	o	s	ó	b	i	k	á	n	g	a	</S>
il	0.0520105	0.0304889	0.0149575	0.0113937	0.0209066	0.0370105	0.0352098	0.0408373	0.0436803	0.0413925	0.036879	0.0384202	0.0281959	0.0494589	0.0408274	0.0363069	0.0183153	0.0201284	0.0247879	0.0200478	0.0183962	0.0272841	0.02009	0.0198361	0.00735513	0.00636488	0.00591924	0.00477788	0.00526915	0.00416347	0.00464015	0.00757626	0.00914804	0.0120356	0.011738	0.0157304	0.0148388	0.0150513	0.0216269	0.020901	0.0196835	0.0175413	0.029947	0.0228247	0.0160057
avait	0.0485216	0.0457837	0.035953	0.0414688	0.045129	0.0437341	0.0424225	0.0405996	0.0335569	0.0192981	0.0145218	0.0129457	0.0241205	0.0238534	0.0316463	0.0318438	0.0291074	0.034904	0.051321	0.0498714	0.031371	0.0401197	0.0180233	0.0170632	0.0146104	0.0124129	0.0121366	0.0130245	0.0119875	0.0171405	0.00837725	0.00784213	0.0067423	0.00553947	0.00701355	0.00747478	0.00550323	0.0121026	0.00807316	0.00787714	0.00889762	0.00418484	0.00746287	0.00846998	0.00594679
si	0.0146273	0.0304649	0.037847	0.019997	0.0159368	0.0249833	0.0303168	0.0323584	0.0421772	0.0285124	0.0380318	0.0321184	0.0467432	0.0393569	0.0805237	0.0745557	0.085244	0.0686463	0.0591465	0.0451583	0.0144631	0.0274662	0.0104253	0.00760795	0.00665533	0.00833002	0.00557446	0.00632337	0.00317916	0.00317605	0.00213012	0.00182905	0.00250678	0.00321312	0.00443163	0.00341923	0.00336224	0.00553963	0.00554401	0.00465507	0.00477407	0.00335625	0.00535587	0.00633763	0.00359849
peur	0.0100262	0.0117583	0.0127518	0.0152288	0.0161859	0.0153103	0.016215	0.0155309	0.016332	0.0169152	0.0190228	0.0161769	0.0183883	0.0179235	0.0216227	0.0281186	0.0327738	0.0310093	0.0227731	0.0263149	0.0279767	0.0284658	0.0378544	0.0230643	0.0361559	0.03756	0.0289647	0.0347775	0.0276678	0.0394029	0.0235686	0.0387726	0.0238712	0.0277629	0.0271791	0.0184938	0.021945	0.018422	0.0158712	0.00888824	0.0103138	0.0108578	0.0114415	0.0163968	0.0239473
d'	0.0254904	0.0220255	0.0286237	0.0302547	0.029097	0.0312514	0.0295657	0.0219957	0.0237277	0.0208594	0.0196231	0.010876	0.0192505	0.012851	0.0205792	0.0112506	0.0133816	0.0181159	0.014161	0.0122902	0.0132869	0.0223649	0.0246469	0.023266	0.0317719	0.0358484	0.0324415	0.0418614	0.031168	0.0169863	0.0187322	0.0160448	0.0147767	0.0173327	0.0149721	0.0137633	0.0227182	0.0249929	0.0211032	0.0260432	0.0116451	0.0198388	0.0242708	0.0310384	0.033815
être	0.0373389	0.039739	0.035448	0.0324026	0.0312575	0.0310497	0.0203201	0.0131043	0.0135195	0.013827	0.0149847	0.0123246	0.0122154	0.0117501	0.0136937	0.0137587	0.0163393	0.0152879	0.0135183	0.0134499	0.0155566	0.0185895	0.0200597	0.0193701	0.0225561	0.0157656	0.0119971	0.0102341	0.00619965	0.0079321	0.00615538	0.00390475	0.00599831	0.0118715	0.0105302	0.011109	0.0338358	0.0327647	0.0352332	0.058974	0.028024	0.0353506	0.0494169	0.0557894	0.0674526
en	0.0254116	0.0264845	0.0242735	0.0240955	0.0241048	0.0272486	0.0219373	0.0139654	0.0148292	0.0195614	0.0235346	0.021524	0.0196521	0.0206328	0.0245061	0.0187863	0.0272405	0.0250292	0.0165418	0.0193484	0.0206428	0.023671	0.0223658	0.0189771	0.0284289	0.0180503	0.014476	0.0159069	0.00697126	0.010265	0.00787776	0.00608777	0.00993457	0.0184682	0.0151239	0.0127155	0.0263561	0.0203955	0.0147463	0.0222977	0.016678	0.0317664	0.0425084	0.0430659	0.0935154
retard	0.0191698	0.0172992	0.0152937	0.0153358	0.0219458	0.0187774	0.0186447	0.0190755	0.0239424	0.0255075	0.0255638	0.0288327	0.0287459	0.0248936	0.0209553	0.0179186	0.0304762	0.021448	0.0226587	0.024361	0.0481294	0.0356441	0.0386701	0.024945	0.042685	0.0356151	0.0255387	0.0277777	0.016657	0.0157888	0.0151093	0.0102504	0.0111898	0.00649278	0.00729841	0.00491908	0.0127452	0.009926	0.00895854	0.0124186	0.00590718	0.0200643	0.0146943	0.0333371	0.0743924
qu'	0.0198232	0.0183495	0.0171047	0.0147327	0.0170322	0.0214593	0.0231115	0.0180396	0.0254895	0.0207006	0.0195434	0.0271195	0.0203951	0.0274445	0.0381621	0.0518917	0.0401761	0.0529701	0.0324058	0.0210082	0.0148282	0.00833755	0.0102012	0.00919062	0.014878	0.0185364	0.0201198	0.0191101	0.013665	0.0107136	0.00988749	0.0039417	0.00491143	0.00713174	0.00933462	0.0110295	0.0170077	0.0125712	0.0150742	0.0182766	0.0176155	0.0280307	0.0417799	0.0407499	0.096118
il	0.054403	0.0394834	0.0321163	0.0257492	0.0188631	0.0152453	0.00977031	0.00811379	0.00804924	0.00627843	0.00816363	0.00757839	0.00665717	0.00470017	0.00551067	0.00655009	0.00569397	0.00975392	0.00757544	0.00669251	0.00949479	0.00965105	0.013935	0.01418	0.0181864	0.0193692	0.0196846	0.0200785	0.0184878	0.0154753	0.0171408	0.0205507	0.0184698	0.0363776	0.0282562	0.028067	0.0400527	0.0386773	0.0409364	0.0388447	0.031963	0.0380172	0.0350499	0.0355577	0.106548
