 	m	b	ó	s	i	a	d	í	o	k	a	n	g	á	k	a	n	g	a	ó	p	e	w	a	k	á	a	l	á	a	d	z	á	a	</S>
où	0.0088073	0.0128003	0.00940605	0.0139874	0.0240008	0.0400499	0.0537992	0.0556614	0.0431543	0.040079	0.0457219	0.0305193	0.0499981	0.0449589	0.043432	0.0451697	0.0475334	0.0353391	0.0431766	0.0311379	0.0250994	0.019358	0.016041	0.0132851	0.0120848	0.0156982	0.0164898	0.0193747	0.0168349	0.0294261	0.0169562	0.0188741	0.028568	0.0174871	0.01569
la	0.0441519	0.0330367	0.0346115	0.0339284	0.0190997	0.0119445	0.010173	0.0108237	0.0135855	0.0233456	0.0323288	0.0356871	0.0537286	0.00964953	0.037562	0.0344131	0.0471304	0.0692485	0.0361498	0.0652911	0.0652384	0.0456335	0.0142809	0.0238948	0.0330465	0.0137148	0.0142817	0.0239726	0.0226863	0.0329893	0.00872557	0.011933	0.0164677	0.00751714	0.00972826
chèvre	0.0422482	0.0449981	0.0307772	0.0333034	0.0345324	0.0250258	0.0172371	0.0192378	0.0135823	0.0124854	0.0101947	0.0379851	0.0399177	0.041975	0.0332598	0.0239595	0.0257659	0.0262274	0.0240135	0.0319565	0.0390499	0.0410835	0.0172338	0.0262467	0.0416004	0.0275737	0.0413799	0.0521732	0.0294718	0.0450933	0.0185287	0.00624276	0.0266834	0.00867215	0.010284
est	0.0445957	0.0485463	0.0486024	0.0487482	0.0461892	0.0504599	0.0518951	0.0598079	0.0303612	0.0242883	0.023687	0.0246287	0.0316168	0.0174397	0.0172953	0.0108405	0.00967057	0.0121437	0.0191088	0.035428	0.0644624	0.0433744	0.0340457	0.0466414	0.0180497	0.0315388	0.0202703	0.00784286	0.0103073	0.00665394	0.00649582	0.0067681	0.00920153	0.0100782	0.0289162
attachée	0.0383517	0.0478502	0.0482626	0.0530806	0.0534667	0.0520402	0.054924	0.0524537	0.0470576	0.0499539	0.040054	0.0479129	0.0440671	0.0206926	0.0312773	0.0206609	0.0259831	0.0176421	0.024674	0.0365002	0.0258308	0.0367692	0.0131354	0.00942372	0.0038676	0.00596759	0.00490025	0.00626056	0.00396487	0.00433128	0.00310505	0.00357746	0.0096907	0.0148637	0.0474065
il	0.0709869	0.0396059	0.03493	0.0383991	0.0462322	0.0480484	0.0454986	0.0396367	0.0347244	0.0507041	0.0341307	0.0408502	0.0224406	0.0317773	0.0171071	0.0167993	0.0166011	0.0153107	0.0194561	0.0169943	0.0260749	0.0340877	0.0272655	0.0184931	0.0141846	0.00947982	0.0108358	0.0201392	0.0114425	0.0117212	0.014232	0.0108085	0.0308363	0.025095	0.0550701
faut	0.0856474	0.0639954	0.0526314	0.053638	0.0436588	0.0377629	0.0307166	0.0197229	0.0148126	0.0152829	0.0164322	0.0141133	0.01518	0.0139155	0.0151409	0.0142266	0.0209727	0.0221717	0.0286062	0.0293034	0.0259098	0.0343215	0.0316541	0.0174395	0.0150191	0.012584	0.0176914	0.0237485	0.0122605	0.0211763	0.0170268	0.016076	0.0463902	0.0403238	0.0604468
qu'	0.0656929	0.0387093	0.0309292	0.0322392	0.0302187	0.0272477	0.0199062	0.0132379	0.0118952	0.0131527	0.0104204	0.0106039	0.0140846	0.029015	0.02694	0.018515	0.0224368	0.0285585	0.0259979	0.0261943	0.0296083	0.0365613	0.0381911	0.0307294	0.0329539	0.0253637	0.027417	0.0406617	0.0265241	0.0364021	0.0255071	0.0232978	0.0429987	0.0422578	0.0455308
elle	0.0573808	0.0286959	0.0230398	0.0243939	0.0278261	0.0288511	0.0220197	0.0288472	0.037593	0.0523431	0.0283783	0.0270812	0.0345046	0.0708827	0.0494156	0.0424142	0.0313361	0.0299088	0.0188674	0.00940833	0.00719335	0.00790685	0.0122199	0.0111699	0.0138785	0.0170891	0.00977582	0.0274066	0.0137339	0.0206519	0.0163428	0.0161067	0.030408	0.0493626	0.0735663
broute	0.13801	0.0559455	0.0353902	0.0313136	0.0184656	0.0117242	0.00915314	0.0096916	0.00829999	0.00849468	0.00880886	0.00956411	0.00855238	0.0103107	0.0124243	0.0105625	0.015054	0.0149112	0.0220647	0.0262341	0.0259323	0.0248179	0.0264857	0.0258068	0.0216636	0.0255972	0.0241081	0.0210848	0.011208	0.0228217	0.020227	0.0192016	0.0789078	0.0738455	0.113316
</S>	0.0519879	0.0469671	0.0464059	0.0444585	0.0391931	0.0340678	0.023892	0.0138508	0.0116777	0.0105578	0.00970495	0.0125144	0.0104339	0.0115063	0.0105295	0.00763719	0.00852181	0.00832637	0.00967164	0.0110315	0.0135934	0.0187574	0.0253537	0.0273021	0.0296776	0.0315518	0.0173663	0.0411226	0.0411084	0.0352132	0.0407516	0.038125	0.0485147	0.067674	0.100952
