 	m	í	n	d	a	í	d	í	s	a	a	m	ó	m	é	s	á	k	o	b	h	á	m	í	a	ó	y	a	a	n	g	á	l	a	m	í	a	</S>
les	0.0095972	0.011606	0.00911364	0.0117176	0.00836317	0.00913722	0.0111336	0.0132753	0.0201668	0.0365661	0.0713204	0.0938668	0.0369129	0.0321202	0.0273967	0.018861	0.00901228	0.00971872	0.0130981	0.0119745	0.0108075	0.00930985	0.0110382	0.0113158	0.0236765	0.0219917	0.0276083	0.0260928	0.0239539	0.0266659	0.0324061	0.0411778	0.0454568	0.0494362	0.0489555	0.0568457	0.0415207	0.0267822
lampes	0.0390488	0.0847308	0.163256	0.167758	0.0875451	0.0294544	0.0562821	0.0656508	0.0479756	0.0445602	0.0619051	0.0317592	0.00592014	0.00901906	0.00610458	0.00499117	0.00249548	0.0029157	0.00447693	0.00372051	0.00404847	0.0016445	0.00324979	0.00280754	0.0145516	0.00766177	0.00777824	0.00591533	0.00922002	0.00212054	0.00427775	0.00269187	0.00349034	0.00217047	0.00349365	0.00364744	0.000739963	0.00092116
sont	0.0325296	0.0265166	0.0306132	0.0280344	0.0320879	0.0264682	0.0337442	0.038092	0.030418	0.0245884	0.0261618	0.0239271	0.0350608	0.0494346	0.0274727	0.0172627	0.0181739	0.0139895	0.0178667	0.0237552	0.0225986	0.0329259	0.0341339	0.0397714	0.0313656	0.0219554	0.0191554	0.0296191	0.0287291	0.0372841	0.0340857	0.0197764	0.0267821	0.0174216	0.0219128	0.0163903	0.0065094	0.0033855
sur	0.0254191	0.0350371	0.0464438	0.0345121	0.0543571	0.0270272	0.0723084	0.0527778	0.0469755	0.0628115	0.0480862	0.0529994	0.0299345	0.033306	0.0225748	0.0252961	0.0222949	0.0230391	0.0243884	0.0178439	0.0173326	0.0132354	0.00881481	0.00729067	0.00847107	0.00610525	0.00517934	0.00839613	0.00948278	0.00890406	0.0175943	0.016543	0.0188886	0.0106655	0.0161355	0.0125423	0.0222365	0.0347494
la	0.0257014	0.0130585	0.0159921	0.0137474	0.0203757	0.0112084	0.0140797	0.0168622	0.015792	0.0140121	0.0129745	0.0129272	0.0166884	0.0196777	0.0171662	0.0238012	0.0531835	0.0581442	0.04321	0.0492425	0.0653097	0.0633476	0.0525892	0.0469959	0.0268078	0.0169734	0.0132323	0.018072	0.0131369	0.0180584	0.0219486	0.0270572	0.0210954	0.0137755	0.0179849	0.0153141	0.0265187	0.0539376
table	0.0127878	0.0143349	0.0198078	0.0223442	0.0224071	0.0244826	0.0231732	0.0387976	0.0390242	0.0221524	0.0217189	0.0134276	0.00983444	0.0105274	0.00840097	0.0165803	0.0315913	0.0318748	0.0272896	0.0342912	0.0394823	0.0330725	0.0295082	0.0265321	0.0351792	0.031947	0.031871	0.0395502	0.0394512	0.0270312	0.0361069	0.0276257	0.0312978	0.0228351	0.024429	0.0228368	0.0181619	0.0382336
prends-les	0.0150927	0.0100443	0.00998824	0.0120744	0.0093095	0.0104559	0.00888161	0.0132894	0.0179849	0.0239512	0.0220198	0.0250892	0.0196124	0.0191883	0.0125425	0.0162793	0.0424166	0.04851	0.0462004	0.0508765	0.0758812	0.0695485	0.0837497	0.052721	0.0384446	0.0370327	0.0278828	0.0210486	0.0196154	0.00989735	0.017015	0.0122431	0.0105066	0.00801255	0.010863	0.0093093	0.0145914	0.0478298
et	0.0201715	0.0203668	0.0299955	0.0384074	0.0301597	0.0247103	0.0141699	0.0222195	0.0224078	0.0180699	0.0181122	0.0156274	0.0185341	0.0200759	0.0192015	0.0175784	0.0314411	0.0331896	0.0329242	0.0358765	0.0364959	0.0276893	0.0218287	0.0181366	0.0139177	0.0100609	0.010966	0.0134883	0.0195487	0.0110715	0.0187764	0.0179112	0.0215835	0.0156138	0.040113	0.0289875	0.0381108	0.152461
apporte-les	0.0223602	0.0220835	0.0225046	0.019333	0.0129126	0.0112558	0.00680436	0.0114561	0.010778	0.00838349	0.00648037	0.00596986	0.00554215	0.00593355	0.00733816	0.00837103	0.0143988	0.0165881	0.0145263	0.0198817	0.0294448	0.0229252	0.0312923	0.0285223	0.0298534	0.0428645	0.0314789	0.0366244	0.0446152	0.0212082	0.0343959	0.0280824	0.0513386	0.033079	0.0498444	0.0412525	0.0734727	0.116804
moi	0.0384283	0.0271363	0.0247708	0.0150705	0.0115644	0.00966536	0.00853944	0.00801841	0.00774707	0.00464849	0.00418813	0.00566378	0.00618766	0.00812099	0.0080555	0.00895478	0.0178714	0.0209133	0.0219337	0.0257269	0.0508076	0.0526912	0.0641484	0.0464271	0.0288699	0.0358772	0.0339886	0.0281575	0.0216317	0.0259728	0.0281751	0.0329959	0.0369082	0.0319157	0.0434474	0.0348585	0.0428634	0.0770585
</S>	0.0931505	0.0511036	0.0329745	0.0115887	0.00739696	0.00258362	0.00247871	0.00305825	0.00422674	0.00417835	0.00324512	0.00286537	0.00270824	0.00312258	0.00525589	0.012376	0.0206245	0.0212046	0.0171675	0.0201701	0.0251938	0.0206401	0.0213796	0.0143727	0.0129823	0.0207775	0.0208322	0.019829	0.0248634	0.0247074	0.0317894	0.0510495	0.0439221	0.0516301	0.054076	0.0406514	0.0715834	0.12824
