 	b	a	r	e	b	a	n	á	á	d	í	l	a	m	b	έ	r	í	í	m	í	s	á	l	a	l	á	b	i	a	</S>
certaines	0.103856	0.052427	0.0244069	0.00949807	0.0125302	0.0143396	0.0130036	0.00696238	0.0111715	0.0225311	0.0393469	0.031828	0.0558543	0.0548777	0.0722384	0.06171	0.0435841	0.0593687	0.0320094	0.025171	0.0184037	0.0205484	0.0213512	0.0286148	0.0248696	0.025889	0.0310242	0.0238526	0.0264183	0.0210334	0.0112802
personnes	0.0802788	0.075887	0.122009	0.113055	0.117598	0.129454	0.0788404	0.0337092	0.0289824	0.0245462	0.026724	0.0169231	0.0133588	0.00779194	0.00650146	0.00510217	0.00486656	0.00441045	0.00679928	0.0080745	0.00967402	0.0104863	0.0101027	0.0192428	0.0113878	0.0104838	0.00682408	0.00493476	0.00475403	0.00401832	0.00317999
ont	0.0220694	0.0328712	0.04054	0.0437438	0.0376975	0.0340333	0.0348328	0.0607042	0.0682302	0.0595625	0.0537625	0.0599244	0.0426414	0.0425151	0.0328555	0.0258752	0.0305522	0.0365375	0.0520319	0.0276964	0.0362355	0.0202805	0.01781	0.0144698	0.0122873	0.0102232	0.011316	0.0113904	0.00925015	0.00964389	0.0084162
du	0.0164381	0.0171846	0.0266346	0.0193255	0.0186781	0.0201893	0.0310225	0.0292092	0.0351922	0.0520298	0.0446775	0.0289805	0.0433376	0.0375885	0.0294326	0.0366382	0.0268528	0.0248403	0.0220258	0.0400812	0.038709	0.0394455	0.0338577	0.0327366	0.0274734	0.0379001	0.0296886	0.0350023	0.0373342	0.0446454	0.0428485
mépris	0.0273485	0.0203447	0.0267915	0.0183319	0.0213317	0.0296248	0.0271737	0.0300123	0.0256793	0.03727	0.041396	0.0482854	0.0329968	0.0385368	0.0311218	0.0325992	0.0362838	0.0512386	0.0409818	0.0341042	0.0437772	0.033227	0.0340536	0.0332948	0.0288641	0.0291783	0.0285761	0.0291669	0.0292911	0.029224	0.0298942
pour	0.0269061	0.0165319	0.0170474	0.0208384	0.0315743	0.0451442	0.0503542	0.0501285	0.0419391	0.0410039	0.0649901	0.0806378	0.0799022	0.0613088	0.0443386	0.0339312	0.0345204	0.0271779	0.0184558	0.0159815	0.0156831	0.0137355	0.0100948	0.0096687	0.00691752	0.0133286	0.00810883	0.0156222	0.0114185	0.0222352	0.070475
le	0.0159546	0.00908625	0.0124751	0.013197	0.0174001	0.0253911	0.0377895	0.0279975	0.0304441	0.0223667	0.0191258	0.0204802	0.0187428	0.0184584	0.0170309	0.0184045	0.0184169	0.0241428	0.028651	0.0254791	0.0355558	0.0257684	0.0320358	0.036755	0.0406417	0.0404974	0.0577254	0.0539198	0.0873566	0.0769707	0.0917389
travail	0.0337429	0.0317373	0.0382425	0.0430559	0.0368636	0.0334672	0.0271277	0.0177071	0.0118148	0.0107843	0.012896	0.0192691	0.0138188	0.0149612	0.0114905	0.0077063	0.0110014	0.0116579	0.0109047	0.0155306	0.0203949	0.0280922	0.0277245	0.0481158	0.036082	0.0590654	0.0439274	0.0542218	0.0524795	0.0725362	0.14358
des	0.065863	0.0523747	0.0506148	0.0493509	0.0408563	0.033973	0.0211629	0.0165717	0.01226	0.00796774	0.0129548	0.0208499	0.0203151	0.0174063	0.0139688	0.0123606	0.0133171	0.0197904	0.0103646	0.0148711	0.0154961	0.0201549	0.0218093	0.0284644	0.0418014	0.0482422	0.0461069	0.0531542	0.0547264	0.0588938	0.103957
autres	0.125806	0.0706553	0.0580174	0.0512575	0.0280486	0.0235457	0.0185802	0.0211037	0.0148157	0.0130592	0.0178045	0.0215918	0.01607	0.018086	0.0246997	0.0182089	0.0229873	0.0167694	0.0143223	0.0131539	0.0113103	0.0191827	0.0181779	0.0172966	0.0179489	0.0319014	0.014766	0.0272356	0.0298682	0.0638413	0.139888
</S>	0.049878	0.0351214	0.0342328	0.0352176	0.0333823	0.0341342	0.0325249	0.0333842	0.026121	0.0156756	0.0200518	0.01526	0.0128378	0.0100207	0.00905034	0.00683669	0.00625063	0.00781247	0.0101568	0.0271211	0.0369006	0.0314223	0.0252524	0.0319712	0.0344795	0.0497497	0.0418039	0.0599248	0.0479186	0.0718161	0.113691
