 	i	b	h	έ	ε	l	í	í	b	é	r	í	w	a	n	g	á	í	t	ú	m	b	u	s	u	n	g	á	i	b	o	ó	b	v	ú	a	</S>
la	0.0363638	0.014476	0.00963368	0.00785554	0.00872313	0.0158405	0.0371817	0.0428972	0.0499327	0.032109	0.0235125	0.0245282	0.0163126	0.0222279	0.0381913	0.0434119	0.0657658	0.0140016	0.0318102	0.0300672	0.0202638	0.0191977	0.0221553	0.0128517	0.0367605	0.0323753	0.0339438	0.0286929	0.0194046	0.0339149	0.0323689	0.0323143	0.0243177	0.0267463	0.0183887	0.0228996	0.0185616
giffle	0.0855198	0.107295	0.112807	0.0932662	0.0765867	0.0536146	0.0525632	0.035219	0.0618761	0.0210578	0.00457341	0.0010712	0.0089652	0.00209292	0.00547427	0.00440638	0.00425712	0.00173509	0.00151865	0.00163422	0.00109091	0.00153233	0.00196539	0.00361348	0.00698586	0.0050043	0.0209685	0.0135245	0.0176518	0.0209137	0.0556615	0.0585669	0.0224161	0.0142876	0.016354	0.00242716	0.00150171
qu'	0.0478719	0.0308173	0.00985382	0.00495362	0.00514856	0.00758191	0.0162466	0.0166729	0.0297885	0.0222754	0.0249034	0.0130449	0.0454073	0.0353682	0.0738366	0.081197	0.0464357	0.0356521	0.0588332	0.0403642	0.0258324	0.0240027	0.0148969	0.0300614	0.0181647	0.0266439	0.0136326	0.0170187	0.0296918	0.0404566	0.0219884	0.0280056	0.0146451	0.0146845	0.012976	0.00905909	0.0119864
il	0.0389203	0.0433534	0.069515	0.0530116	0.0303359	0.0254043	0.0232125	0.0373555	0.0344763	0.0288704	0.0295205	0.0297738	0.00937139	0.00783195	0.00691708	0.0043271	0.0116405	0.00901267	0.011193	0.0205477	0.0116927	0.0114145	0.0148936	0.0148522	0.0286331	0.0177569	0.0230928	0.017271	0.0217628	0.0132513	0.0111544	0.0236591	0.0204904	0.0513304	0.0508991	0.0500698	0.0931851
m'	0.0113935	0.00830422	0.00827466	0.00997944	0.0132767	0.0137643	0.0196183	0.0226113	0.0219931	0.0282998	0.0131959	0.0178065	0.0118656	0.0127301	0.0245309	0.0662261	0.0695149	0.0606051	0.0841457	0.0824466	0.0602137	0.0427053	0.0483577	0.0563399	0.0294874	0.0243316	0.0157268	0.0176491	0.00991745	0.00491557	0.00371913	0.00485662	0.00584144	0.0103516	0.0153798	0.0125155	0.0371086
a	0.0164028	0.013828	0.0155809	0.0230496	0.0191964	0.0243087	0.0185325	0.0209451	0.0181869	0.0211444	0.0136419	0.018389	0.00705023	0.0155946	0.0113126	0.0283458	0.0531065	0.0516938	0.0551534	0.0757105	0.0538204	0.0323978	0.045368	0.0622783	0.0348291	0.0335343	0.0198651	0.0212316	0.0113237	0.00677591	0.00582448	0.00759285	0.0130433	0.0196267	0.0287463	0.0267276	0.0558408
donnée	0.0206402	0.0162767	0.0168139	0.0218006	0.0147097	0.0106098	0.00897275	0.00830187	0.00833467	0.0178338	0.00686621	0.00801331	0.00389028	0.0064379	0.00588135	0.0150069	0.0264212	0.0338545	0.0327454	0.0465039	0.0490177	0.03473	0.0693876	0.0977134	0.0468557	0.0572316	0.0475057	0.0543217	0.0403168	0.0128241	0.0132107	0.0102433	0.0196289	0.0214951	0.0244158	0.0285202	0.042667
a	0.0847643	0.0675406	0.0629715	0.0538472	0.0248854	0.0219347	0.0172311	0.0142664	0.0134714	0.0142754	0.0196078	0.0177228	0.0106786	0.0164178	0.011368	0.0127303	0.0296943	0.0204556	0.0260703	0.0328227	0.0264939	0.0137723	0.0336824	0.0462973	0.0342718	0.0190424	0.0230709	0.0154613	0.0139747	0.00986158	0.0119218	0.0136426	0.0148766	0.0159022	0.0268047	0.0321991	0.0759685
provoqué	0.0400086	0.0425408	0.0402692	0.0404973	0.02576	0.0275318	0.0184932	0.0118213	0.0100812	0.0116331	0.0200967	0.0190993	0.0109654	0.0154604	0.00656436	0.00916454	0.0232485	0.019344	0.0241247	0.040518	0.0264287	0.0212307	0.0408925	0.0623862	0.0438063	0.0302457	0.0378564	0.0247284	0.0201119	0.0193412	0.02283	0.0240644	0.0243255	0.0210019	0.0261835	0.0353942	0.0619498
de	0.0229416	0.0264782	0.0255751	0.018671	0.0153223	0.0133856	0.00968279	0.00818556	0.00715916	0.00711802	0.00649956	0.00753382	0.00545437	0.0077406	0.00663317	0.0139017	0.0321824	0.0380345	0.0330917	0.0530441	0.0456754	0.0356636	0.0432997	0.07136	0.0417139	0.0457854	0.0383923	0.0327395	0.0309578	0.0210993	0.0270427	0.021432	0.0249269	0.0233272	0.037897	0.0385007	0.0615515
nouveau	0.0265643	0.0214233	0.0191375	0.0128232	0.00956673	0.00821604	0.00645774	0.00357938	0.00320243	0.00302142	0.00497507	0.00529185	0.0047289	0.00654825	0.00650188	0.016997	0.0361998	0.0512333	0.0451846	0.0715638	0.0586259	0.0379433	0.0471966	0.0687461	0.0363438	0.0386492	0.0326084	0.0376456	0.032385	0.0157253	0.028014	0.0184797	0.0235777	0.0245078	0.0428817	0.0350054	0.0584478
