 	i	t	ú	a	a	d	í	l	a	l	ώ	b	h	i	d	í	a	b	v	ú	u	a	b	i	a	á	m	i	k	a	n	g	á	w	a	e	s	w	é	l	é	</S>
itoua	0.0155758	0.0143037	0.0108826	0.0229131	0.0115839	0.0099508	0.0111919	0.0122942	0.0107778	0.0200175	0.0278849	0.0292215	0.0283385	0.0705405	0.0254603	0.0319685	0.0365067	0.033003	0.0249371	0.0121982	0.0300996	0.0102088	0.0219479	0.0282357	0.0307518	0.0197347	0.0205288	0.0178872	0.00990463	0.0120001	0.0288519	0.018166	0.0233581	0.0277346	0.0179784	0.0358306	0.0253591	0.042549	0.0365062	0.0321548	0.0314692	0.019192
est	0.0607947	0.085946	0.0824504	0.0679251	0.0685024	0.0413454	0.0565367	0.0781754	0.0545146	0.0437347	0.028532	0.0232302	0.0172221	0.0160905	0.0079082	0.0116628	0.0166659	0.0167943	0.0172501	0.0223399	0.0183685	0.0175544	0.0101678	0.00589746	0.00248596	0.00166072	0.00197122	0.00150721	0.00129902	0.0016714	0.00327187	0.0046761	0.00365178	0.00100092	0.0084192	0.00687281	0.00574213	0.0183614	0.0107061	0.0217256	0.0176969	0.0176704
taquin	0.0539959	0.0494334	0.0698951	0.0690543	0.0552653	0.0383915	0.0331501	0.024665	0.027491	0.0224909	0.0304038	0.0243955	0.0150691	0.0318493	0.0180811	0.0248556	0.0379955	0.0284209	0.0226698	0.0182725	0.0106565	0.0121189	0.00806636	0.00890474	0.0107183	0.0119128	0.0108861	0.0137031	0.0144086	0.0154046	0.0300067	0.0303965	0.0117284	0.0195093	0.00940763	0.0120641	0.0100642	0.0336655	0.00748636	0.00948907	0.00842896	0.00512797
c'	0.0287686	0.0383095	0.0488099	0.0353702	0.0248549	0.021327	0.0229417	0.0180545	0.0196161	0.018409	0.0296524	0.0225931	0.0218412	0.035755	0.0338855	0.0372055	0.0400673	0.0328927	0.0374982	0.0369516	0.0200957	0.0384242	0.01625	0.0127915	0.0147983	0.0200479	0.0151685	0.0232704	0.0224789	0.0359361	0.0153081	0.016786	0.0161208	0.00426112	0.0123174	0.0127947	0.00911643	0.0152554	0.0166049	0.0135877	0.0156413	0.0281409
est	0.01638	0.0179324	0.0175208	0.01679	0.0154094	0.0176674	0.0193292	0.0214161	0.0240722	0.0282642	0.0295084	0.0292412	0.0231663	0.0260742	0.0240734	0.0243189	0.030625	0.0267313	0.0195338	0.0309328	0.0243103	0.0393343	0.0204842	0.0247043	0.0314524	0.0560113	0.0429293	0.0311429	0.0312416	0.0286698	0.0117301	0.0130384	0.0113186	0.00268386	0.00864449	0.0049539	0.00450802	0.00342449	0.0171156	0.0269453	0.035288	0.0710819
pourquoi	0.0266605	0.027504	0.0359396	0.0272849	0.0308887	0.0403259	0.0368576	0.0419178	0.0313579	0.0228557	0.0165399	0.0191187	0.0112406	0.0187697	0.00911245	0.0269508	0.0250384	0.0363122	0.0326484	0.0314759	0.0184554	0.0320139	0.0345808	0.035069	0.0147753	0.0165239	0.0224412	0.0189202	0.0163755	0.0193123	0.0164118	0.0222554	0.0138045	0.00355257	0.0180837	0.00922951	0.0105973	0.0102916	0.018732	0.0183971	0.0324128	0.0489648
ses	0.029331	0.0260983	0.0316358	0.0357829	0.0351925	0.0360408	0.0329599	0.022577	0.0265387	0.0216479	0.0167799	0.0143273	0.0113264	0.0121647	0.0104185	0.0129084	0.0130881	0.0134938	0.0172633	0.0194853	0.0195741	0.0341517	0.0257478	0.0323549	0.0318551	0.0359729	0.034346	0.0377081	0.0119415	0.0183474	0.0127989	0.019716	0.0115068	0.00215921	0.00478961	0.007053	0.00844262	0.019792	0.0317855	0.0393281	0.0556794	0.0658888
amis	0.0629953	0.0436221	0.0572105	0.0466647	0.0407467	0.0308501	0.0214805	0.0155402	0.0179897	0.0149632	0.0152714	0.0168766	0.00985149	0.0154562	0.00931457	0.0233213	0.0230737	0.0275716	0.029652	0.0334376	0.0309168	0.0358062	0.0394937	0.0335807	0.0201073	0.015159	0.01126	0.00952271	0.00586471	0.00502656	0.00495196	0.00833599	0.00443924	0.0100808	0.00281336	0.00287131	0.00353113	0.0153794	0.0206024	0.0259616	0.0595328	0.0788726
refusent	0.071482	0.0546404	0.0581213	0.0475042	0.0406113	0.0306336	0.0282699	0.0276552	0.021138	0.0154637	0.0183249	0.0201186	0.0168975	0.0171568	0.016045	0.0170712	0.0157323	0.0118927	0.0141879	0.0169058	0.0146568	0.0221769	0.0148365	0.0146084	0.0187206	0.017627	0.0317967	0.0269009	0.00800701	0.0126313	0.0138845	0.0179794	0.00801475	0.00271713	0.00547959	0.00767005	0.00761237	0.017287	0.0267963	0.0352569	0.0501538	0.0653341
de	0.0541872	0.0429492	0.0665683	0.0298797	0.0159424	0.0159943	0.0127352	0.012078	0.0122307	0.00930302	0.00754956	0.00987276	0.00836646	0.00952754	0.00956043	0.00994891	0.0128664	0.00947349	0.0117054	0.0185999	0.0167233	0.0301382	0.0139476	0.0167217	0.0234919	0.0436045	0.0442543	0.0421432	0.0516182	0.0382292	0.0279346	0.025677	0.0245556	0.00264403	0.0199287	0.0140646	0.0148288	0.0113146	0.0286085	0.0385723	0.044893	0.0467671
