 	o	n	y	ε	b	h	í	y	a	n	g	á	a	d	í	l	i	b	h	í	s	i	l	á	a	b	a	n	d	á	m	w	á	s	í	o	s	ε	r	έ	i	b	ó	r	o	k	a	á	</S>
mon	0.00986173	0.0127797	0.0121911	0.021428	0.0300991	0.0267043	0.0282903	0.0573333	0.0555489	0.0543238	0.058605	0.0268909	0.0236548	0.0274233	0.0284365	0.0270813	0.0318257	0.0233359	0.0176645	0.0136394	0.0170593	0.00605733	0.00776685	0.0103886	0.00681402	0.00955967	0.0064807	0.00684814	0.00894643	0.0101569	0.00814791	0.00640069	0.00649552	0.00564658	0.00487075	0.00569613	0.00579004	0.00586855	0.0104641	0.0119604	0.011134	0.0160046	0.040313	0.0363641	0.0429446	0.0283284	0.0295988	0.0264787	0.020298
frère	0.0163789	0.0580386	0.081019	0.0826136	0.0689841	0.0822084	0.086881	0.0731599	0.0679506	0.0536553	0.0447741	0.0436229	0.0428671	0.0300008	0.0268557	0.0222878	0.0166382	0.0147621	0.0207951	0.0113969	0.0102542	0.00407027	0.00237518	0.00519986	0.00258934	0.00490636	0.00339794	0.00253051	0.00132136	0.000944311	0.000428	0.000434106	0.000266663	0.00016245	0.000214238	0.000110489	0.000269728	0.000153577	0.000781714	0.0051792	0.00415743	0.000677723	0.00105948	0.000268088	0.000394015	0.00221174	0.000362028	0.000211045	0.000178811
ainé	0.0337706	0.0263319	0.0225888	0.016927	0.0197988	0.0270544	0.0203784	0.0142208	0.0139155	0.00829994	0.00793664	0.00852767	0.0111434	0.0173899	0.0267866	0.0257529	0.0315003	0.0316672	0.0391553	0.0425682	0.0833947	0.0386127	0.0323011	0.0174553	0.0304734	0.0226333	0.0227221	0.0120238	0.0235561	0.00984695	0.013626	0.00947588	0.013192	0.0128437	0.0159061	0.0153808	0.0189879	0.0289738	0.0217389	0.0112062	0.00855911	0.00748064	0.0139756	0.0191694	0.0126387	0.0203553	0.00635898	0.00782273	0.00357459
est	0.0399096	0.0385455	0.0390236	0.0726096	0.0544288	0.0443508	0.0359593	0.0231786	0.0141627	0.0114992	0.0194491	0.0138864	0.00892985	0.011134	0.0201196	0.0145421	0.0201971	0.0154355	0.0137753	0.0130697	0.0144607	0.0163621	0.0154509	0.015047	0.0146203	0.0178015	0.0139763	0.0152015	0.0176874	0.0167209	0.0131198	0.0183081	0.0274914	0.0152052	0.0199516	0.0191643	0.0178372	0.0176867	0.0152234	0.0128582	0.017661	0.0187525	0.0139972	0.0103249	0.0114366	0.0115991	0.0125941	0.0186959	0.026558
cachotier	0.0155822	0.0169364	0.0215885	0.0171425	0.0209738	0.0240849	0.0456037	0.0582835	0.0622028	0.0734377	0.0483494	0.0781318	0.0651432	0.0375053	0.0581228	0.0130331	0.0362175	0.019553	0.0227258	0.0148833	0.0215343	0.0209714	0.022847	0.027399	0.0115488	0.0163358	0.00643187	0.0107654	0.00589688	0.00646406	0.00384197	0.00339218	0.00193127	0.00180341	0.00183482	0.00172902	0.00446972	0.003125	0.00565732	0.0132719	0.010363	0.00485563	0.00538644	0.00324203	0.0044917	0.00523172	0.00612738	0.00757311	0.011977
il	0.0275405	0.0221989	0.0246715	0.0235463	0.026321	0.0297164	0.03578	0.0312686	0.0276124	0.0200982	0.0283667	0.0102523	0.00941618	0.00859844	0.00981457	0.00846651	0.0122677	0.00690744	0.00840048	0.0122542	0.0152313	0.0122816	0.0110797	0.0187007	0.0133521	0.0149114	0.0147699	0.0155554	0.0198637	0.020132	0.0230485	0.0236962	0.0236109	0.0290936	0.0264737	0.0212297	0.0341432	0.034554	0.0350936	0.0170463	0.01169	0.0222414	0.014975	0.0123979	0.0138826	0.00954441	0.0191192	0.035755	0.0530285
se	0.0108974	0.0103869	0.0091948	0.00681132	0.00910792	0.0104855	0.0141469	0.013291	0.0128682	0.0171368	0.0114404	0.0248045	0.0148776	0.0179658	0.0236135	0.0138007	0.0106693	0.0113358	0.0154429	0.0131415	0.0207228	0.0364257	0.0271897	0.0314858	0.022913	0.0348857	0.0247665	0.036977	0.0363776	0.0418344	0.0365283	0.0435371	0.0151591	0.0191747	0.0196225	0.0163864	0.0345538	0.0265584	0.0315609	0.0322167	0.0240614	0.0227531	0.0153877	0.00610582	0.00865013	0.00671672	0.00951659	0.0179939	0.0285198
marie	0.0354156	0.0281998	0.0273154	0.0176547	0.0120721	0.00953042	0.00449822	0.00574324	0.00792294	0.0120441	0.0069333	0.0182364	0.0281034	0.0204216	0.0162654	0.0147525	0.0176085	0.0174648	0.0169491	0.016629	0.0215982	0.0196209	0.0193499	0.0211259	0.0218405	0.0237374	0.0321063	0.0213723	0.0457182	0.0310232	0.038687	0.0360967	0.0506353	0.0214033	0.0167834	0.0114244	0.025363	0.0134311	0.0209731	0.00870256	0.00862806	0.00779837	0.00838777	0.00773525	0.0104679	0.0204757	0.0237411	0.0327419	0.0452708
en	0.0360784	0.032707	0.0313868	0.0335336	0.0269245	0.0253916	0.0191461	0.0183419	0.0174221	0.0202295	0.0114891	0.0096555	0.0112871	0.00949406	0.00992283	0.004865	0.00559762	0.00534075	0.00551102	0.00648547	0.0137778	0.0170723	0.0165172	0.0140262	0.0183097	0.0213589	0.025529	0.0252086	0.0359467	0.0354832	0.0308684	0.0462445	0.031316	0.0296136	0.025655	0.029677	0.0298711	0.0272242	0.0176129	0.00953858	0.0143816	0.00667772	0.00460451	0.00230219	0.00417158	0.00503405	0.0109098	0.0221999	0.088058
secret	0.0209256	0.0163144	0.0163154	0.0146996	0.0114273	0.0111247	0.0083642	0.00824985	0.00964854	0.0125869	0.00735029	0.00749627	0.0107246	0.00769175	0.00868105	0.00418567	0.0050906	0.00604617	0.00680482	0.00616116	0.0118612	0.0131396	0.0118574	0.0119634	0.0144458	0.0140014	0.0186592	0.0186374	0.0371638	0.0275722	0.0357159	0.0424087	0.0701629	0.0433028	0.0443184	0.0502843	0.0664321	0.0512998	0.0501589	0.0115935	0.010676	0.00887114	0.0057519	0.00449479	0.00693367	0.0149073	0.0184737	0.0300539	0.0549701
sans	0.117061	0.0394824	0.0362503	0.0503794	0.0368525	0.0301595	0.026423	0.0203235	0.0135958	0.0071943	0.007543	0.00990256	0.00561748	0.00934974	0.00957036	0.0110982	0.0106304	0.0149465	0.0106944	0.00896782	0.0143609	0.0124024	0.0152595	0.0187331	0.0156993	0.0225036	0.019859	0.0168076	0.020695	0.0200359	0.0201373	0.0210639	0.0209563	0.0182405	0.0166957	0.0177036	0.0212386	0.0188071	0.0229782	0.0162034	0.0179312	0.0114652	0.00867277	0.00821716	0.00734686	0.0101507	0.0117344	0.0176963	0.0603625
