 	t	á	á	á	s	i	m	b	i	w	á	i	b	έ	r	ε	l	á	d	i	n	g	a	l	í	m	b	ώ	n	d	ώ	</S>
son	0.00684166	0.0231705	0.0585633	0.074546	0.071174	0.0344896	0.0243931	0.0210235	0.0146061	0.0179374	0.0173956	0.0225437	0.02981	0.0807298	0.0785313	0.0808408	0.0538266	0.0602282	0.0406047	0.0245516	0.0161313	0.0162798	0.0134399	0.0133738	0.0134957	0.011712	0.0110771	0.0138212	0.013182	0.0137609	0.0137715	0.0141471
père	0.178276	0.245469	0.153075	0.103663	0.0161055	0.0306945	0.0279412	0.0534441	0.0326672	0.0254717	0.0223241	0.0141256	0.01421	0.013702	0.00672017	0.00613326	0.00366997	0.00956266	0.00659322	0.00667596	0.0027991	0.0036678	0.00265924	0.00541366	0.00556739	0.00181261	0.00340513	0.00239378	0.000632936	0.000380495	0.00053926	0.000203559
lui	0.0210768	0.0311349	0.0463344	0.0485726	0.0357134	0.0464322	0.0445325	0.0510197	0.0661021	0.0675875	0.0609305	0.0464257	0.0833142	0.0245258	0.0472024	0.036925	0.0310861	0.0234473	0.0127791	0.0163741	0.00922946	0.00767959	0.0158444	0.0122743	0.0143057	0.0151298	0.0139842	0.0100753	0.0119321	0.0137681	0.0169061	0.0173544
a	0.0258708	0.0218046	0.0170869	0.019505	0.0153385	0.0153593	0.0198814	0.0130783	0.0255166	0.0323916	0.0280261	0.0347049	0.0341873	0.0258376	0.0573763	0.0799378	0.106618	0.0502068	0.0626653	0.0846492	0.0438957	0.0240434	0.0231724	0.0152453	0.0155997	0.0107034	0.0121078	0.0138863	0.0152848	0.0195349	0.0182173	0.0182667
défendu	0.0714557	0.0310321	0.0252862	0.0206687	0.0142429	0.0205445	0.0258012	0.0269955	0.0368251	0.0444722	0.0297974	0.0425745	0.0396013	0.0269161	0.035554	0.0290632	0.0352094	0.0211766	0.0265707	0.0294947	0.028438	0.0285806	0.0285509	0.0262269	0.0243867	0.0212692	0.0266065	0.0269461	0.0291404	0.0313336	0.0362979	0.0589412
de	0.0735888	0.0323348	0.0273461	0.0193238	0.0167892	0.0244724	0.0239781	0.0317007	0.029345	0.0346122	0.0258733	0.0340364	0.0272693	0.0174626	0.0146088	0.0151326	0.0200668	0.0103657	0.0196021	0.0430219	0.0263013	0.0326567	0.02748	0.026192	0.0294735	0.0337476	0.022816	0.0392652	0.035683	0.0447209	0.0596176	0.0811157
jouer	0.0580836	0.0262358	0.022756	0.018756	0.0146747	0.018102	0.0254205	0.0413269	0.036557	0.0238728	0.0167825	0.0286516	0.0217483	0.0164979	0.0291381	0.0321141	0.0288911	0.0381953	0.0488512	0.0395953	0.0427137	0.0502037	0.0277505	0.0253078	0.0306754	0.0198914	0.0193248	0.0301188	0.0205322	0.0252492	0.0417052	0.0802767
au	0.0268877	0.0187093	0.0147342	0.0125735	0.0101283	0.00907569	0.0151207	0.0161186	0.0180389	0.0141394	0.016914	0.034692	0.0237549	0.0358355	0.0427563	0.0454712	0.0336943	0.0317262	0.0263867	0.022998	0.0317617	0.0348746	0.0206731	0.0330543	0.0333673	0.0292876	0.0351264	0.0452463	0.0451809	0.0554137	0.0683836	0.097875
foot-ball	0.0342836	0.0243822	0.0207957	0.0212769	0.0182432	0.0153743	0.0168105	0.0121338	0.0184084	0.0148492	0.0153032	0.0245358	0.0169784	0.0216066	0.0342739	0.038093	0.0407051	0.0342335	0.0310676	0.0207734	0.0273094	0.0310767	0.0206403	0.0486221	0.0431862	0.0400598	0.0394294	0.0567549	0.0314564	0.0377563	0.0663433	0.083237
</S>	0.0403275	0.0266139	0.0226629	0.0211537	0.0149604	0.0150075	0.0197754	0.0118377	0.0185525	0.0201495	0.0151672	0.0183618	0.00927993	0.00959286	0.0230421	0.0234	0.0519271	0.022309	0.0345438	0.0371267	0.0494401	0.0448504	0.0270048	0.0341682	0.0222388	0.0278428	0.0332895	0.0383842	0.0381525	0.0528005	0.0743382	0.101698
