 	o	k	i	r	i	m	y	e	r	é	á	y	ε	ε	l	a	o	t	ú	ú	g	h	u	m	á	i	k	á	n	d	á	</S>
le	0.00979048	0.0120966	0.0116841	0.0120969	0.0115304	0.0150021	0.0152533	0.0154258	0.0143387	0.0153403	0.0195104	0.0283026	0.0562321	0.0588942	0.0525116	0.069775	0.0480573	0.0203489	0.0239039	0.0248552	0.0300945	0.0377891	0.0171055	0.0306262	0.0324351	0.0457264	0.0400936	0.0509662	0.052326	0.0513968	0.0467506	0.0297401
marchand	0.00936601	0.0152584	0.0212575	0.0537334	0.0328533	0.0520366	0.0842391	0.0713934	0.114702	0.103764	0.101205	0.105781	0.0545606	0.0436479	0.0314633	0.0225228	0.016804	0.0101236	0.00810685	0.0103199	0.00225933	0.00661307	0.00538251	0.00409325	0.00445952	0.00544476	0.00233552	0.00133579	0.00227964	0.00108019	0.000941302	0.000636555
est	0.017972	0.0130467	0.0126736	0.0166375	0.0205876	0.0269892	0.0329101	0.0466463	0.0523851	0.0584872	0.0535899	0.0365893	0.0299346	0.0454268	0.0232768	0.0302309	0.019903	0.0659556	0.0517712	0.040773	0.0144562	0.0186879	0.0235872	0.0246507	0.0214439	0.0489917	0.0404221	0.0164488	0.0329414	0.0146471	0.0167092	0.0312275
arrivé	0.0418836	0.045122	0.0435765	0.0407335	0.0373109	0.0418719	0.0472342	0.0523112	0.0406525	0.0330736	0.0336708	0.0296689	0.0275193	0.0321874	0.0195763	0.0244202	0.0210349	0.0266273	0.0267759	0.0369311	0.0225228	0.0228849	0.0206085	0.0206098	0.0228123	0.0256319	0.036537	0.0171939	0.0233241	0.0200245	0.0255348	0.0401333
au	0.0238265	0.0232009	0.0271938	0.0264449	0.0265024	0.0266706	0.0276129	0.0301919	0.0441638	0.0464341	0.0546484	0.0587195	0.0526809	0.0492335	0.0470906	0.0465634	0.0451134	0.032762	0.0322164	0.0396479	0.0210204	0.0192912	0.0155368	0.00956984	0.0110726	0.0185033	0.012082	0.00580329	0.0257379	0.00797537	0.0242649	0.0682245
village	0.0158295	0.0165763	0.0263439	0.0251947	0.0254917	0.02429	0.0244621	0.0275378	0.0333117	0.0309892	0.044443	0.0382161	0.0302281	0.0434358	0.0288822	0.0336287	0.0364658	0.0321525	0.0462843	0.0650335	0.021125	0.0298863	0.0489635	0.0285455	0.0236467	0.0496592	0.0228867	0.0112408	0.0326415	0.0111823	0.0305889	0.0408366
avec	0.0393671	0.0328256	0.0326378	0.0223415	0.0251159	0.0179	0.0168851	0.0124477	0.0158359	0.0166609	0.0162304	0.0164274	0.0194594	0.0207593	0.020374	0.0170261	0.0145154	0.0294544	0.0203032	0.0304267	0.0255257	0.0332939	0.0770799	0.0492466	0.0369383	0.0371847	0.0505783	0.0265941	0.0412319	0.0413076	0.0571975	0.0868278
un	0.112754	0.0746373	0.0575462	0.0321621	0.021652	0.0160938	0.0169728	0.0159749	0.0174229	0.0129402	0.012588	0.0141907	0.0102532	0.00831321	0.013754	0.0145944	0.0207304	0.0577441	0.0328181	0.0349566	0.018413	0.0113285	0.0170328	0.0160654	0.0113036	0.0210107	0.0513761	0.0120927	0.0463336	0.0254277	0.0612363	0.110281
ballot	0.0977628	0.0627093	0.0389237	0.0166579	0.0093506	0.0058725	0.00457218	0.00305931	0.00393993	0.00431436	0.00494727	0.00657213	0.00658816	0.00482628	0.00862804	0.00893763	0.0141913	0.0316075	0.0328574	0.0807923	0.0751033	0.0528123	0.0338508	0.029622	0.00904486	0.0227295	0.0573683	0.00989336	0.0282096	0.0159481	0.0446808	0.173626
d'	0.090766	0.0694417	0.0555134	0.0428969	0.0313696	0.0180906	0.00999544	0.00570823	0.00588109	0.00705822	0.00759274	0.00854708	0.00989046	0.00896278	0.0104561	0.0108204	0.0129452	0.0196701	0.0278638	0.053816	0.0370198	0.0408452	0.0231019	0.0346925	0.0265924	0.031638	0.0424586	0.0335568	0.0416957	0.0449119	0.051006	0.0851953
etoffe	0.133564	0.0882863	0.0516415	0.0292026	0.0213944	0.0141983	0.00795308	0.00824751	0.00517989	0.00593536	0.00622018	0.00781848	0.00876744	0.00782669	0.0137374	0.0333541	0.0406487	0.0534271	0.0604008	0.049654	0.0455811	0.0222624	0.0124318	0.0150012	0.012967	0.0123379	0.0247202	0.019481	0.0300657	0.0425242	0.0369375	0.0782321
</S>	0.0493253	0.0396121	0.0380339	0.0298247	0.0310372	0.0145851	0.00919945	0.0055772	0.00504682	0.00619129	0.0067873	0.0068807	0.0065269	0.00754747	0.00718032	0.00642809	0.00735227	0.0138218	0.0162843	0.0336693	0.0417294	0.0429318	0.041687	0.0525884	0.0509912	0.0467152	0.0538438	0.0497929	0.0588539	0.06114	0.0676008	0.0912141
