 	i	b	v	u	m	b	a	í	b	h	i	á	o	t	á	á	m	a	k	a	á	</S>
le	0.0142749	0.0107064	0.0115693	0.0103796	0.010115	0.016151	0.0148053	0.0525669	0.0709456	0.0958488	0.100243	0.0802964	0.0914202	0.0331007	0.0515283	0.056021	0.0573178	0.0401071	0.060934	0.0518525	0.0370275	0.0327889
masque	0.15863	0.142052	0.130819	0.15709	0.101697	0.0687466	0.0491304	0.0254412	0.0205957	0.00820494	0.0139036	0.00472462	0.0144546	0.0192475	0.0147695	0.0130477	0.0138413	0.00673372	0.0130659	0.00957726	0.00964091	0.00458632
ibvumba	0.0935907	0.090972	0.0435869	0.0375131	0.0340633	0.0422715	0.0883028	0.0681607	0.090232	0.0779422	0.0405023	0.0512395	0.0735126	0.0253202	0.0245865	0.0303487	0.0133563	0.0155931	0.00954541	0.0183221	0.0213255	0.00971242
est	0.0291699	0.0419756	0.0412708	0.0468295	0.0756718	0.0850988	0.0775263	0.0722399	0.0704142	0.0783462	0.0693757	0.0562332	0.0398394	0.0272277	0.0214002	0.0143001	0.0147025	0.017896	0.0102125	0.0150239	0.0391922	0.0560537
difficile	0.0208787	0.0339822	0.0376705	0.0361526	0.0515683	0.0309191	0.0323779	0.0271085	0.0248475	0.0201032	0.0226971	0.0315007	0.0714541	0.0905628	0.0499544	0.0463219	0.0543758	0.0418194	0.0499457	0.0577356	0.0801411	0.0878829
à	0.0353657	0.0388423	0.0398233	0.0398356	0.0437134	0.0381329	0.0373892	0.0245644	0.019152	0.01949	0.0251031	0.0302658	0.0404238	0.0512952	0.0311368	0.0391975	0.0637939	0.0587132	0.0533187	0.0678578	0.093009	0.109577
trouver	0.0396724	0.0275223	0.0257613	0.0255393	0.0314602	0.0276118	0.0326642	0.0310086	0.023534	0.0228894	0.021895	0.0239478	0.0365304	0.0409753	0.0526521	0.0854441	0.104562	0.0706412	0.0722261	0.0737159	0.0618368	0.0679104
de	0.0748031	0.0693931	0.0691776	0.070755	0.118994	0.0713493	0.0797084	0.0423448	0.0339374	0.0185255	0.0182088	0.0214252	0.0309382	0.0195378	0.0146564	0.0131628	0.0162383	0.0183528	0.0182523	0.0233265	0.0384037	0.118509
nos	0.170008	0.106387	0.069856	0.0585324	0.059059	0.0518746	0.0346587	0.021327	0.0140524	0.00780244	0.00509069	0.00409693	0.00560491	0.00689631	0.0118843	0.0108004	0.0228107	0.0225091	0.0278569	0.0289856	0.0798191	0.180088
jours	0.224944	0.104574	0.0496561	0.0357253	0.0360116	0.0274233	0.0276742	0.016527	0.0124744	0.00662387	0.00787363	0.0110592	0.0158701	0.0139848	0.0217215	0.00973077	0.0167795	0.011461	0.024074	0.0221023	0.0675811	0.236129
</S>	0.179864	0.100663	0.0525521	0.0347276	0.0251212	0.0195845	0.0199641	0.0140151	0.0100402	0.0049299	0.00621013	0.00893226	0.0129619	0.0165015	0.0258532	0.0167489	0.0275893	0.027494	0.0391361	0.0434899	0.106049	0.207572
