 	a	m	b	ω	r	i	á	l	a	a	l	i	m	ú	b	h	u	i	k	á	n	d	á	</S>
les	0.142607	0.102446	0.0716372	0.0672071	0.0415025	0.0989322	0.0666594	0.0526685	0.0264345	0.0170199	0.0227593	0.0238653	0.031383	0.0349319	0.0272453	0.0209562	0.0141631	0.00843299	0.0108669	0.0205662	0.0193104	0.0277091	0.0273161	0.02338
soldats	0.0525278	0.100743	0.0901903	0.124711	0.10996	0.127408	0.0578109	0.0558882	0.0656717	0.0479666	0.0360489	0.0288607	0.0186034	0.0134758	0.00656907	0.00720297	0.00618806	0.0062383	0.00905307	0.0103929	0.00958246	0.00608338	0.00461077	0.00421176
ont	0.0857871	0.0886732	0.0706087	0.0826927	0.0681821	0.0465638	0.0559254	0.0551899	0.0675364	0.0435358	0.0345547	0.0343089	0.0353132	0.0509387	0.0459479	0.0328701	0.0337842	0.0159907	0.0156128	0.00907045	0.00731959	0.00718935	0.00450717	0.0078972
dépouillé	0.0175119	0.0403598	0.0644363	0.0418351	0.0393163	0.0551334	0.0705573	0.0381593	0.0780787	0.064212	0.0480418	0.01834	0.0212491	0.0288995	0.0840396	0.0805933	0.0504636	0.0635884	0.0180444	0.0212735	0.0143942	0.0118809	0.0106919	0.0188999
le	0.0325977	0.0328433	0.0322103	0.0324885	0.0324613	0.0324394	0.0322623	0.0335839	0.0336024	0.0452535	0.0418007	0.036131	0.0240013	0.0258125	0.0265085	0.0331764	0.040743	0.0479351	0.0493283	0.0539848	0.0586193	0.0545148	0.0730828	0.094619
voleur	0.0294996	0.0253171	0.021547	0.0297057	0.0326641	0.02659	0.0307935	0.0283756	0.0338169	0.0389957	0.039427	0.0404465	0.0387414	0.0201622	0.0328286	0.050941	0.0574359	0.0562122	0.0625767	0.0597834	0.0607586	0.0527872	0.0632462	0.0673479
de	0.0364323	0.0370755	0.0322903	0.034569	0.0290734	0.0310952	0.0280699	0.0299789	0.0497426	0.0516469	0.0603828	0.0615378	0.0589348	0.0446316	0.0479082	0.0489515	0.0434262	0.0609736	0.0546599	0.0286569	0.0295581	0.0240586	0.0320198	0.0443262
ses	0.0243609	0.0219716	0.0215776	0.027627	0.0477542	0.0415669	0.0233372	0.0184967	0.0344565	0.02649	0.0266863	0.0195216	0.0196887	0.0175682	0.0184834	0.0264685	0.0514191	0.0600536	0.063304	0.0489852	0.0586167	0.0532003	0.103635	0.144731
habits	0.0312161	0.0321226	0.0321894	0.0386417	0.0320847	0.0283981	0.0191554	0.00606793	0.0122897	0.01439	0.0199239	0.0145465	0.0128609	0.00701219	0.0128129	0.0272762	0.0450056	0.0750588	0.0826782	0.0835034	0.0915434	0.0687778	0.102174	0.110271
</S>	0.0257182	0.0239528	0.0274961	0.0315105	0.0307122	0.0253978	0.0196132	0.0165916	0.0300032	0.0608263	0.0789151	0.0437913	0.0200532	0.0132877	0.0242213	0.0317566	0.0368573	0.0650299	0.0525723	0.0509464	0.056568	0.0535997	0.0765684	0.104011
