 	n	g	á	m	w	á	s	í	á	s	ó	m	b	i	e	t	ώ	y	á	n	g	w	έ	m	b	ε	</S>
mon	0.0136106	0.101277	0.0856921	0.0176818	0.0107659	0.00960081	0.0385777	0.020663	0.0560445	0.0856395	0.115227	0.0923609	0.0461169	0.0293644	0.0311528	0.0248732	0.0325485	0.0353642	0.0265567	0.0258272	0.0247631	0.015598	0.0162433	0.0110407	0.011714	0.00815922	0.0135368
épouse	0.148622	0.120103	0.154792	0.13871	0.122302	0.164634	0.0160805	0.01738	0.0144093	0.0113495	0.00712607	0.00529673	0.00713165	0.0162822	0.00398446	0.00368954	0.0118203	0.00666065	0.0101004	0.00591181	0.00538329	0.00147667	0.00400852	0.00119968	0.000525298	0.000537911	0.000483503
a	0.0121285	0.0328931	0.043953	0.0568564	0.100566	0.111287	0.0492836	0.0767471	0.0468743	0.0542546	0.0686105	0.0720943	0.0399524	0.0244407	0.0144505	0.014728	0.0170363	0.00884005	0.00727413	0.00522909	0.00588395	0.0133256	0.0118678	0.0261204	0.0157185	0.0328595	0.036725
acheté	0.0994989	0.0320189	0.0345363	0.049407	0.0370069	0.0172831	0.0276338	0.0310556	0.0273674	0.0309422	0.0338747	0.0540965	0.0435105	0.0239445	0.0286325	0.0298688	0.0294215	0.0500574	0.0314336	0.036648	0.033539	0.0256634	0.0489502	0.0351891	0.0360076	0.0322938	0.040119
un	0.11659	0.023269	0.0212774	0.0180025	0.0222485	0.0234531	0.0191162	0.0219727	0.0187139	0.0199527	0.0197495	0.0243144	0.0264079	0.0216449	0.0343471	0.0416137	0.0338485	0.0416112	0.025858	0.0330691	0.0221521	0.0282588	0.0410111	0.0484079	0.039894	0.0679625	0.145253
morceau	0.0499237	0.0144871	0.0112675	0.0135866	0.0107517	0.0189308	0.00910708	0.0102582	0.011386	0.0177315	0.0193166	0.0207541	0.0273155	0.0295663	0.059207	0.059115	0.0466226	0.0715836	0.0271356	0.0382447	0.0373752	0.027801	0.0445864	0.0658301	0.0536136	0.0720202	0.132482
de	0.05486	0.0490358	0.0505741	0.0200004	0.0200367	0.0197476	0.0339495	0.0196388	0.0336245	0.0306623	0.0347241	0.0164067	0.0186611	0.0159189	0.0527984	0.0439048	0.0397378	0.0452659	0.013679	0.0233117	0.0209674	0.0138984	0.0362671	0.0566415	0.0322735	0.0808639	0.12255
viande	0.0905269	0.0695975	0.0674537	0.0471552	0.0532507	0.0410145	0.0402411	0.0165169	0.0156533	0.0136894	0.0109292	0.00966186	0.0127399	0.0109011	0.0197254	0.0183141	0.0205794	0.0301716	0.0154555	0.0246726	0.0310923	0.0157517	0.0456886	0.0508231	0.0496625	0.0707514	0.10798
de	0.0934217	0.0817309	0.0774794	0.0639912	0.0618175	0.0474109	0.0280974	0.0192175	0.0187154	0.0119312	0.00894475	0.00425918	0.00562539	0.0041862	0.0153194	0.011466	0.00973209	0.0234407	0.0169652	0.0224569	0.0274088	0.0109153	0.0291264	0.0442722	0.0430111	0.0721182	0.146939
boeuf	0.0830139	0.0422684	0.0400062	0.0336156	0.0336843	0.0330339	0.016737	0.0160887	0.0124813	0.0128262	0.00922596	0.00625259	0.00883179	0.00690149	0.0140201	0.0147979	0.0142467	0.0360605	0.021739	0.040438	0.0423667	0.0305504	0.0582583	0.068767	0.0828851	0.0963508	0.124552
</S>	0.0933981	0.0619248	0.0557007	0.061063	0.0383289	0.0360118	0.0273945	0.0260281	0.0227996	0.0212011	0.0152517	0.00927948	0.0118983	0.00693341	0.0184289	0.0156706	0.0124055	0.0370336	0.0174431	0.0274067	0.0349449	0.0218283	0.0347837	0.0403532	0.0542037	0.059661	0.138623
