 	n	y	a	m	a	y	e	e	s	ó	m	b	í	n	g	á	á	m	i	s	á	á	o	b	ω	ω	</S>
la	0.0357508	0.0415999	0.0430165	0.0264629	0.039688	0.0348049	0.0363074	0.0311839	0.0461683	0.0450062	0.0329681	0.0530667	0.0369441	0.065546	0.0540202	0.0342986	0.0356566	0.0528176	0.0464826	0.0379939	0.0324271	0.0282879	0.0242255	0.0151646	0.0147495	0.0221138	0.0332482
viande	0.035349	0.0496247	0.0591578	0.122106	0.157192	0.215529	0.167213	0.0610798	0.0296898	0.0230463	0.00238047	0.00402884	0.00492611	0.00977607	0.0025227	0.00220189	0.00682869	0.00933271	0.00726375	0.00668461	0.0062836	0.00619683	0.00498179	0.00342142	0.00131775	0.00103863	0.000826823
que	0.0308814	0.0276194	0.0236726	0.0323824	0.0305754	0.0359371	0.040881	0.0468373	0.0341748	0.0261198	0.0323617	0.0502014	0.0959796	0.0675987	0.0417221	0.0304843	0.023524	0.0301758	0.0491954	0.052041	0.0560488	0.0391193	0.026248	0.0278306	0.0192696	0.0211978	0.007921
j'	0.0288106	0.0320105	0.0372382	0.0389239	0.0346593	0.017855	0.0124955	0.0167756	0.0130668	0.0118665	0.0225736	0.0406254	0.0438288	0.0564111	0.0524249	0.0658922	0.0321736	0.0237468	0.0243456	0.0410771	0.0349237	0.030114	0.0500462	0.057119	0.0384907	0.0651522	0.0773532
ai	0.0667595	0.0612493	0.0531637	0.0535798	0.0510639	0.0461738	0.0565724	0.0547967	0.0497358	0.0357944	0.0272956	0.0331011	0.030453	0.0268842	0.0164068	0.0176624	0.0282921	0.0170567	0.0156966	0.014575	0.017418	0.0178499	0.0250398	0.0244004	0.019504	0.0302348	0.10924
achetée	0.0484339	0.0411713	0.0386184	0.0397381	0.0422449	0.0429454	0.0445514	0.0462657	0.0397792	0.0278952	0.016876	0.0200116	0.0224548	0.0211932	0.0108839	0.0184608	0.0312253	0.0261726	0.0321841	0.0260326	0.0349205	0.041767	0.0465157	0.045531	0.0319703	0.0508474	0.11131
est	0.039886	0.0269413	0.0261674	0.0236263	0.025091	0.0241732	0.0310481	0.0376061	0.0502505	0.0461164	0.05165	0.0385203	0.0301663	0.0127339	0.0135696	0.0356786	0.0489462	0.0276184	0.0295624	0.0256599	0.0372057	0.0429655	0.0347961	0.0379279	0.0365509	0.0573195	0.108222
déjà	0.0451779	0.0441591	0.0459729	0.0477761	0.0464703	0.0315385	0.0212788	0.0160196	0.0146201	0.00990501	0.010218	0.0115219	0.0119783	0.0108896	0.00809378	0.0150207	0.016958	0.0156406	0.0187761	0.0267589	0.0395995	0.0353006	0.0465142	0.0518872	0.0584506	0.0857244	0.213749
pourrie	0.0623526	0.0503225	0.047352	0.0498383	0.0486357	0.0396532	0.0286853	0.0229285	0.0179358	0.0101407	0.00986169	0.0116621	0.0153513	0.0139996	0.0129974	0.0254159	0.0172035	0.0188556	0.0227071	0.0244969	0.0435771	0.0283992	0.0481313	0.0492521	0.0456477	0.0670524	0.167544
</S>	0.0940377	0.0401923	0.0249106	0.0199998	0.0186679	0.0224682	0.0244943	0.0253517	0.0267228	0.028424	0.0310949	0.0279502	0.0292759	0.0334149	0.0346762	0.0409979	0.0362379	0.0218421	0.0177397	0.019787	0.0267228	0.0338341	0.030305	0.0506572	0.0592247	0.0667899	0.11418
