 	b	a	r	e	b	ó	b	á	a	y	i	r	á	m	ú	b	h	u	</S>
les	0.261538	0.0666718	0.0411943	0.0263342	0.0325042	0.0232819	0.0375365	0.0563962	0.03718	0.0476731	0.0464461	0.0467215	0.0510047	0.0317725	0.0324881	0.0406135	0.0354326	0.0445092	0.0407012
gens	0.0497342	0.0717726	0.105058	0.165147	0.157934	0.125445	0.0586695	0.0784397	0.0436385	0.0286233	0.0361462	0.0222565	0.00921368	0.00636931	0.00628426	0.00935635	0.0116348	0.00852171	0.00575465
sont	0.0400867	0.0410255	0.0469845	0.062273	0.066414	0.0576367	0.0663006	0.110304	0.0565512	0.0367097	0.0385826	0.0449042	0.0730409	0.0744322	0.0633112	0.0472684	0.0264482	0.0296419	0.0180841
en	0.0200978	0.0388399	0.0463193	0.0611558	0.0867628	0.083793	0.0744786	0.0667432	0.0579167	0.0503011	0.0512835	0.0521098	0.0479906	0.0561734	0.0465232	0.0386176	0.0347648	0.0365365	0.0495923
train	0.0437351	0.0520499	0.0481058	0.0340635	0.0360728	0.0345261	0.0405707	0.049232	0.0633248	0.0678866	0.0807134	0.0994537	0.0869055	0.0625101	0.0422735	0.0339286	0.0342479	0.0345653	0.0558347
de	0.109767	0.0809315	0.0769065	0.0890029	0.0698929	0.0601503	0.0558387	0.0598906	0.0482046	0.032382	0.0375696	0.027844	0.0172328	0.0191137	0.0179649	0.0221767	0.0349122	0.0426889	0.09753
huer	0.0841889	0.047456	0.0345999	0.0282599	0.0261617	0.0227913	0.0339592	0.0511934	0.0400991	0.0307109	0.0370587	0.0336873	0.0471191	0.0686894	0.0594666	0.0633142	0.0662853	0.100045	0.124914
le	0.0651519	0.0552639	0.0537161	0.0400684	0.0283549	0.0469862	0.0531386	0.0250005	0.021363	0.0109438	0.0215503	0.0233199	0.023883	0.0348198	0.0454029	0.0568199	0.0707402	0.0864606	0.237016
voleur	0.061722	0.0507726	0.0499548	0.0409603	0.0390071	0.0385777	0.029114	0.0259329	0.0275284	0.0246116	0.0396447	0.0550246	0.0248429	0.0212482	0.0316924	0.0465247	0.0888576	0.109299	0.194684
</S>	0.0611843	0.0595613	0.0592046	0.0509868	0.0418829	0.0453434	0.0454367	0.0291457	0.0215237	0.0122872	0.0267395	0.0296338	0.0202273	0.0214975	0.0373171	0.0557196	0.0832947	0.0985523	0.200461
