 	n	g	ó	l	ó	m	i	á	y	é	s	á	á	n	g	á	i	p	a	s	a	a	l	é	l	ώ	ω	</S>
mon	0.0362825	0.0469011	0.0504518	0.0193678	0.0104749	0.0101024	0.00769551	0.00636206	0.0243497	0.0151861	0.0260924	0.019616	0.0186754	0.041793	0.0481669	0.0557153	0.0693903	0.0510427	0.0682559	0.100041	0.0567002	0.0639079	0.0368533	0.0458305	0.019304	0.0236198	0.0162726	0.0115486
oncle	0.294399	0.151773	0.108265	0.0416696	0.0179068	0.0741298	0.033773	0.032609	0.0543564	0.0186223	0.0152231	0.00624946	0.00400998	0.00348004	0.00260105	0.00591985	0.0176522	0.0234577	0.0166705	0.0185098	0.0263639	0.0125593	0.00704779	0.0043147	0.00501225	0.00189608	0.00109544	0.000432487
m'	0.0103291	0.00764947	0.0152367	0.0177585	0.0118753	0.025533	0.0353895	0.0449715	0.0626528	0.0873685	0.0774498	0.11181	0.0832074	0.0543121	0.111876	0.0576557	0.0377313	0.0336432	0.0275273	0.0267949	0.0150044	0.0112327	0.00698855	0.00680057	0.0062412	0.00600112	0.00443399	0.00252563
avait	0.0334647	0.0215532	0.0243368	0.0273891	0.0230019	0.0211539	0.0314904	0.0259097	0.0138732	0.0323698	0.0542729	0.0634537	0.0586619	0.0799796	0.131464	0.075376	0.028833	0.0177522	0.0268514	0.0263903	0.0152177	0.0170733	0.0181492	0.0186658	0.0262025	0.031268	0.0254994	0.0303463
appris	0.0331554	0.0144909	0.0139642	0.0202419	0.0200199	0.0570242	0.0593389	0.0528296	0.0404249	0.0531921	0.0447602	0.0541412	0.0443453	0.0377247	0.0623636	0.0492947	0.0295752	0.0245405	0.028863	0.0246276	0.0144438	0.0222569	0.0222609	0.0237514	0.0297904	0.0344078	0.0351561	0.0530147
à	0.0236919	0.0234881	0.0264593	0.0388421	0.0546603	0.0323883	0.0268508	0.0197443	0.019177	0.0266759	0.0293138	0.0291857	0.0288809	0.0239933	0.0381948	0.041582	0.0318198	0.0312673	0.0400582	0.0435823	0.0330153	0.0414214	0.0421429	0.0404345	0.045268	0.0403733	0.0522058	0.0752826
déchirer	0.0251567	0.022538	0.0277722	0.0376629	0.0509771	0.0319891	0.0260578	0.0197105	0.0196361	0.0213053	0.020451	0.0251833	0.0190421	0.0144107	0.0110176	0.0234124	0.021313	0.0203884	0.0240418	0.0187907	0.0197902	0.0318964	0.050287	0.051804	0.0659742	0.0636467	0.0903618	0.145383
la	0.0324601	0.0180546	0.0177808	0.0189409	0.0260339	0.0333156	0.0406976	0.0383455	0.0330036	0.0413839	0.0393675	0.0662	0.0331163	0.0355885	0.0386156	0.0281666	0.0183629	0.0135912	0.0188107	0.0145752	0.0116765	0.0221116	0.0359096	0.0443891	0.0589764	0.063864	0.0686658	0.087996
liane	0.0348757	0.0329946	0.033644	0.0326568	0.0387654	0.0168082	0.0168953	0.0116655	0.00774434	0.00908591	0.00788925	0.00771231	0.00591126	0.00373107	0.00386557	0.00981805	0.00900332	0.00732301	0.0111625	0.0133884	0.0142901	0.0260569	0.0412515	0.0619357	0.0937399	0.115995	0.149838	0.181953
elo	0.0892531	0.0592902	0.0388948	0.0299927	0.0377306	0.074602	0.0729214	0.0300701	0.0184845	0.0284641	0.0306368	0.0219328	0.0177852	0.0170647	0.0133075	0.0182361	0.00740578	0.00611178	0.00751475	0.00744867	0.00993505	0.011385	0.0154404	0.0240958	0.0368017	0.0507226	0.0690425	0.15543
</S>	0.0700158	0.0606048	0.030849	0.0258574	0.0275516	0.0462756	0.0646216	0.0427166	0.0352091	0.0370383	0.0327057	0.0222134	0.0174666	0.0174297	0.014328	0.0196878	0.0135118	0.0119805	0.00910328	0.0103224	0.0117156	0.0174629	0.0384328	0.0398735	0.0621055	0.0531083	0.0564438	0.111369
