 	e	k	ú	n	y	ú	l	u	y	é	é	k	ú	n	y	á	w	a	p	ώ	ω	é	d	í	k	a	n	d	í	k	a	á	</S>
la	0.0215013	0.0268437	0.0180139	0.0282183	0.0233738	0.0151555	0.0243878	0.0159301	0.0169736	0.0189329	0.0298399	0.0205781	0.061171	0.0619733	0.0583914	0.0242885	0.0319303	0.0171127	0.0152708	0.0121445	0.0107825	0.0112574	0.012073	0.0100779	0.0103883	0.0104339	0.0242122	0.0453711	0.0944499	0.070695	0.0791633	0.0342544	0.0448098
manière	0.00645673	0.00652533	0.00775897	0.00926903	0.00671723	0.00961382	0.00678295	0.00701566	0.00981442	0.0318219	0.0488315	0.116226	0.105054	0.137128	0.115981	0.0394079	0.052381	0.0218237	0.0142226	0.0119649	0.0126692	0.016169	0.0189317	0.0133958	0.0268312	0.0115408	0.0337054	0.0151427	0.0497828	0.0129498	0.0106019	0.0111183	0.00236539
dont	0.149462	0.040326	0.0142676	0.0136845	0.0211579	0.0383503	0.0434596	0.0291582	0.0211252	0.0365615	0.0312515	0.035145	0.0215864	0.0221251	0.0282373	0.0327073	0.0216669	0.0476501	0.0573146	0.048916	0.0345611	0.0317425	0.0187382	0.0187952	0.0153447	0.01569	0.0170621	0.0198435	0.0103809	0.005412	0.00939766	0.0219165	0.0269622
il	0.0389966	0.0442893	0.0410294	0.0348657	0.0431766	0.0321699	0.0357247	0.0442622	0.0220513	0.0192107	0.0134175	0.00928201	0.0187466	0.0158517	0.0168381	0.00538325	0.0190368	0.0536642	0.0705408	0.0619037	0.0677962	0.0656396	0.0249086	0.0383916	0.0195041	0.0156933	0.0141188	0.0111361	0.0142621	0.00739143	0.0113216	0.0167137	0.0526816
doute	0.0590885	0.029903	0.0288127	0.0246409	0.0340276	0.03388	0.0285182	0.029646	0.014837	0.0195532	0.0209385	0.0214879	0.0167525	0.014458	0.023101	0.0111857	0.0105734	0.0509852	0.0748441	0.0600076	0.0940495	0.0665524	0.0185371	0.0470334	0.0362097	0.0247862	0.0138557	0.0222642	0.00975544	0.00757734	0.00943528	0.0184567	0.0242461
de	0.0250289	0.0284984	0.0151546	0.0234059	0.0273398	0.0378908	0.0267389	0.0194458	0.0147175	0.0285666	0.032689	0.0288572	0.0251881	0.0164077	0.0289149	0.0261857	0.0146812	0.0443686	0.0640128	0.0703254	0.0462388	0.0445039	0.0368978	0.0220903	0.0210831	0.0144258	0.0250766	0.00970254	0.0188157	0.0102172	0.0241052	0.0426113	0.085814
tout	0.0317217	0.0446325	0.079154	0.0722624	0.0726224	0.0654606	0.0623543	0.0640422	0.0475475	0.0451146	0.0346148	0.0290869	0.0106806	0.0100605	0.0139592	0.00941808	0.00834544	0.0114752	0.0207893	0.0216086	0.0184243	0.0211683	0.0228398	0.0105437	0.014602	0.0124686	0.0143387	0.00554844	0.00867142	0.00965561	0.015288	0.0213267	0.0701734
est	0.045564	0.0835294	0.0906621	0.128651	0.0931452	0.0617372	0.0435016	0.03458	0.0347561	0.0371827	0.0245071	0.015303	0.0117276	0.0090966	0.00980823	0.0116227	0.00772622	0.00986185	0.0090781	0.0117015	0.00732583	0.00558199	0.00806574	0.00376288	0.00272842	0.00247429	0.0100594	0.00262805	0.0114328	0.00893773	0.0155273	0.0280362	0.119697
un	0.0475459	0.0535691	0.0848329	0.066927	0.0542816	0.0506435	0.0489424	0.0543146	0.0437309	0.0407371	0.0395355	0.0347426	0.0187473	0.0227528	0.0227728	0.021024	0.0157446	0.0221613	0.0123498	0.0234608	0.011402	0.0121475	0.00947559	0.00624782	0.00476632	0.00360945	0.00750186	0.00139499	0.0120235	0.00605731	0.0121457	0.0255187	0.108893
manque	0.0554365	0.0704836	0.091091	0.0613756	0.0329968	0.0255325	0.0238959	0.0342625	0.0328586	0.025536	0.0227192	0.0197577	0.0081764	0.00892701	0.00769687	0.0110775	0.0108468	0.0261395	0.0255725	0.0402331	0.0239143	0.0409332	0.00813846	0.00728472	0.00435983	0.00413028	0.00908025	0.00292015	0.0113867	0.00729546	0.0106478	0.0349245	0.200369
de	0.182008	0.0867574	0.0703588	0.0477629	0.0548693	0.0523303	0.0341283	0.0323655	0.0163015	0.0125055	0.00945442	0.00947196	0.00643974	0.00670814	0.0060434	0.00950847	0.00954821	0.0137296	0.0137894	0.020718	0.017691	0.0294943	0.0087423	0.0080012	0.00459954	0.00366473	0.0139045	0.00401729	0.0244092	0.0192204	0.0164621	0.0448065	0.110188
respect	0.169953	0.0705918	0.080578	0.041282	0.0416713	0.0421517	0.0265959	0.0257934	0.0180842	0.0158607	0.00992741	0.00952269	0.00567313	0.00589291	0.00497873	0.00505625	0.00702433	0.0107445	0.0182012	0.0309466	0.0268371	0.0370817	0.0174878	0.0178385	0.0130432	0.00697335	0.0197857	0.00675287	0.0251399	0.0212123	0.0219508	0.0380483	0.107319
</S>	0.150616	0.121259	0.102547	0.0759936	0.0523036	0.0404013	0.0230688	0.0237123	0.0186782	0.0139162	0.00780657	0.00650595	0.00342762	0.00248183	0.00266842	0.0025638	0.00257634	0.00552493	0.01182	0.0136804	0.0132089	0.010912	0.00981816	0.00795217	0.00509734	0.00855194	0.011843	0.00452754	0.0163214	0.0202127	0.0220067	0.0265592	0.161437
