 	w	a	a	d	í	l	a	ω	n	g	a	n	g	a	m	á	i	p	έ	ε	l	á	a	n	y	a	m	a	p	ó	s	á	ω	y	a	a	m	ó	b	ó	y	a	</S>
il	0.213954	0.136614	0.190867	0.136519	0.0650891	0.034485	0.0147529	0.028497	0.00954289	0.0112532	0.0187327	0.00679737	0.00787341	0.00177364	0.00260956	0.00137707	0.00132045	0.00121229	0.00350765	0.00290659	0.00491182	0.0030578	0.00274277	0.00484729	0.00271532	0.00215446	0.00341251	0.00325049	0.00378144	0.00542233	0.00550587	0.00531048	0.00583125	0.00542195	0.00573161	0.0061628	0.00632154	0.0058572	0.0062693	0.00580872	0.00653166	0.00567425	0.0035925
attire	0.0162592	0.0105474	0.0120094	0.0126293	0.0233617	0.0334859	0.0248536	0.0252718	0.0262463	0.0254401	0.0174329	0.0255652	0.0279906	0.0289532	0.0252199	0.0265081	0.0299609	0.0269192	0.0415925	0.0333236	0.0320353	0.0274882	0.0259549	0.0260763	0.0423178	0.0392828	0.0326102	0.0279915	0.0341069	0.0302165	0.0253952	0.0251275	0.0191639	0.020639	0.0170084	0.0156769	0.0131441	0.0119321	0.00872622	0.00587023	0.00619665	0.00639268	0.0130759
les	0.0193935	0.0156041	0.0282727	0.0304077	0.0318759	0.0138314	0.00445408	0.0100121	0.0073978	0.00454291	0.00327747	0.00399266	0.00677913	0.00605544	0.0141449	0.011595	0.0115239	0.0172162	0.012106	0.0167525	0.0191232	0.027729	0.0344288	0.0339306	0.0338628	0.0401959	0.0381501	0.0449621	0.0417223	0.0433686	0.0349795	0.0387533	0.0308066	0.0390566	0.0420578	0.0269552	0.0272922	0.0288245	0.0260846	0.0207966	0.0216488	0.0223625	0.013673
animaux	0.0140108	0.0217787	0.0154453	0.0142227	0.0148484	0.0176113	0.0214546	0.0180567	0.0214539	0.0185233	0.0352687	0.0244235	0.0286445	0.0240879	0.0206699	0.022723	0.022536	0.0227874	0.0230233	0.0209171	0.023638	0.0283637	0.030257	0.0303846	0.0384508	0.0304092	0.0211961	0.0277363	0.0221295	0.0182976	0.0195918	0.0209125	0.020499	0.0218473	0.0194416	0.0198749	0.0258576	0.0280367	0.0197034	0.0215146	0.0231342	0.0235715	0.0426652
au	0.0046109	0.00421545	0.00473177	0.00336604	0.00577955	0.00482136	0.00997649	0.010222	0.0109935	0.0108062	0.0111876	0.0125335	0.0103007	0.0152389	0.0126935	0.0215242	0.0225057	0.0201296	0.0324243	0.033421	0.0303385	0.0323596	0.0471231	0.0379552	0.0427874	0.0352523	0.0359067	0.0332719	0.0260308	0.0279416	0.0262448	0.0262686	0.0224703	0.0283489	0.0253206	0.0264948	0.0266803	0.03322	0.0277596	0.0293294	0.0265274	0.0330492	0.0578367
piège	0.00754707	0.00789692	0.00922145	0.0057353	0.00582365	0.0122166	0.0134838	0.0110832	0.00919134	0.00519172	0.00443602	0.00485758	0.00489867	0.00661055	0.0115878	0.0206724	0.0289655	0.0354361	0.0547375	0.0448582	0.0456416	0.0359857	0.0321591	0.0314439	0.0354909	0.0275559	0.0327721	0.0303082	0.0316033	0.0407707	0.0329239	0.0326921	0.030141	0.0298031	0.0272385	0.0276218	0.0275058	0.0219556	0.0158106	0.0177065	0.00989072	0.0272163	0.0513112
avec	0.011612	0.0108066	0.010669	0.0102011	0.0115598	0.0101822	0.0119286	0.011511	0.0142438	0.00976144	0.00780379	0.00723516	0.00672538	0.00633733	0.0105712	0.0134821	0.0165247	0.014484	0.0206535	0.0232145	0.0191877	0.0187138	0.0276452	0.022681	0.0256565	0.021484	0.0307474	0.0277882	0.0252145	0.032979	0.0327393	0.0326565	0.0311845	0.0384715	0.0312131	0.0342245	0.0284868	0.0361038	0.0375965	0.0476656	0.0487482	0.0471031	0.0622021
un	0.0145828	0.0134343	0.0132713	0.0158057	0.0235984	0.0277227	0.0260114	0.0296709	0.0293126	0.0207239	0.0166052	0.0140186	0.0136712	0.00895759	0.0162062	0.0163562	0.021958	0.0236684	0.0222829	0.0185232	0.0188549	0.0213771	0.0227238	0.0218833	0.0243695	0.0214632	0.0224516	0.0237691	0.0201193	0.0232793	0.0226586	0.0264987	0.0238291	0.0270706	0.0226986	0.0214832	0.0173771	0.0184141	0.0235007	0.0330311	0.0254455	0.0504838	0.0808364
remède	0.012707	0.0105336	0.00930056	0.0125053	0.014858	0.0130883	0.0105032	0.01539	0.0130872	0.00671288	0.00558195	0.00530214	0.0062529	0.0053826	0.00693642	0.00775796	0.0094786	0.00965523	0.0120777	0.0118599	0.012032	0.0154486	0.0189325	0.017478	0.0195277	0.0187142	0.0206233	0.0199698	0.0195995	0.022633	0.025931	0.0270335	0.0274392	0.0292777	0.0415419	0.044825	0.0439795	0.0511508	0.0570626	0.0632609	0.0606632	0.0674675	0.0764371
</S>	0.0154989	0.0130501	0.0122328	0.0127218	0.0151649	0.012825	0.0104312	0.0138584	0.0155414	0.0110225	0.00956768	0.00730541	0.0100768	0.00467646	0.00783806	0.00853925	0.0125747	0.0151767	0.0108319	0.0123257	0.0149055	0.0205877	0.0222781	0.0281552	0.0325269	0.0298192	0.0316249	0.0325498	0.0264187	0.0275639	0.0306262	0.0291406	0.027294	0.0277613	0.0271119	0.0211494	0.0171228	0.0238945	0.0312922	0.0460352	0.042207	0.0700533	0.108622
