 	b	á	a	á	d	z	e	p	ó	s	á	ω	d	z	w	á	ω	n	d	z	á	m	í	n	á	s	á	k	ώ	k	a	á	</S>
ils	0.108437	0.185983	0.190966	0.160888	0.0688644	0.0307019	0.0142326	0.0157529	0.0118418	0.0133784	0.0153951	0.0162233	0.015344	0.00960264	0.00559057	0.00625187	0.0064684	0.00450144	0.00424611	0.00474832	0.00413234	0.00596644	0.0033138	0.00612306	0.00546499	0.00888712	0.0121198	0.0158924	0.0135994	0.0118753	0.00819869	0.0101994	0.00480952
n'	0.0806038	0.0441336	0.0364638	0.0564819	0.0478387	0.0429563	0.0630194	0.0625549	0.0678269	0.0391092	0.0214857	0.0273013	0.0141987	0.0232144	0.0306047	0.0234864	0.0200007	0.0263059	0.0202291	0.0228133	0.0127911	0.0221869	0.020031	0.0204934	0.0209968	0.0164986	0.0189628	0.0204201	0.0277264	0.0159474	0.0167757	0.0140877	0.00245356
ont	0.062331	0.0216319	0.0335742	0.0444052	0.0326096	0.0298964	0.0262089	0.0284681	0.0281198	0.026551	0.0167573	0.0310484	0.0307465	0.0468167	0.0895689	0.0857501	0.0332444	0.0366416	0.0445947	0.0335789	0.0265638	0.0140088	0.0136145	0.00749309	0.0171476	0.012041	0.0259676	0.0266267	0.0210464	0.0210437	0.0113748	0.0116511	0.00887714
pas	0.0541865	0.0636779	0.0546507	0.0470754	0.0499866	0.0648919	0.0422955	0.028915	0.0249349	0.0306318	0.0183142	0.0147982	0.0142928	0.0225841	0.0559358	0.0514111	0.0377535	0.0416644	0.0368797	0.0232675	0.0311277	0.0217969	0.0352531	0.0286219	0.0187142	0.016179	0.00874856	0.00957383	0.00773196	0.00562204	0.00719482	0.0101493	0.0211393
voulu	0.0150865	0.00606792	0.00627702	0.00588719	0.00770673	0.0128144	0.0146023	0.0150663	0.022109	0.025935	0.0301198	0.0296821	0.0317264	0.0385476	0.0807496	0.059009	0.0591014	0.0764146	0.0730273	0.0456805	0.0527047	0.0322704	0.0283844	0.0217931	0.018251	0.0192733	0.0139853	0.021141	0.0186804	0.0280139	0.0170241	0.0358314	0.0370367
s'	0.00689024	0.00503201	0.00523075	0.00481639	0.00649684	0.0113197	0.0137864	0.0168029	0.0253365	0.0293258	0.0462416	0.0369826	0.0445257	0.0383759	0.0511346	0.0342055	0.0332542	0.0505428	0.0521942	0.0377603	0.0567733	0.0386644	0.0321679	0.0294089	0.0267879	0.0259052	0.0261232	0.024618	0.0318661	0.0380969	0.032403	0.040212	0.0467183
aventurer	0.0165333	0.0126199	0.0125808	0.0166616	0.0184276	0.019964	0.0224352	0.0303041	0.0359386	0.0330185	0.0353172	0.0198008	0.0200885	0.0180678	0.0323639	0.0228665	0.0217603	0.0315172	0.0362374	0.0309363	0.0423084	0.0457227	0.0297183	0.0283563	0.0353858	0.0349809	0.0375786	0.0295108	0.0407863	0.0406865	0.0416347	0.0437123	0.062179
en	0.0181621	0.0171097	0.0195743	0.0195148	0.0192061	0.0167492	0.013457	0.0172017	0.0251043	0.0217421	0.0291139	0.0280941	0.0286827	0.0291319	0.0299754	0.0264379	0.0216494	0.0283748	0.0330756	0.035313	0.0368761	0.0459183	0.0321973	0.046705	0.0344825	0.0538588	0.0213265	0.0311818	0.0315591	0.0314831	0.0369615	0.0462126	0.0735677
brousse	0.0244988	0.0222759	0.0282803	0.0383191	0.0268443	0.0216048	0.0176666	0.0144118	0.0127472	0.0157228	0.0178818	0.0136107	0.0149442	0.014495	0.0240975	0.0179684	0.0238225	0.034519	0.0290932	0.033437	0.0233793	0.0337099	0.0162108	0.0223179	0.0145442	0.0449863	0.024396	0.0336479	0.046428	0.053281	0.0380827	0.0618907	0.140884
</S>	0.0438258	0.0297968	0.0393779	0.0489007	0.037735	0.0324846	0.0244926	0.0160788	0.0140657	0.0137496	0.0131448	0.0109888	0.0122015	0.0122793	0.0211073	0.0161386	0.0260047	0.0339877	0.0462812	0.0448443	0.0308415	0.0239488	0.00856125	0.0142733	0.0090237	0.0273322	0.0164683	0.0236885	0.0298884	0.0330572	0.028632	0.0568126	0.159987
