 	w	a	m	í	s	i	á	b	h	i	t	ú	ú	g	h	ú	t	ú	ú	g	h	ú	e	k	í	i	d	z	a	a	i	w	é	l	é	</S>
ses	0.142033	0.121268	0.0890424	0.091079	0.102045	0.130251	0.0515611	0.0482412	0.0235678	0.0436911	0.0246928	0.0206126	0.0088498	0.00591357	0.0107393	0.00576724	0.00390048	0.00416231	0.0044645	0.0054044	0.0040146	0.00396176	0.00218186	0.00357589	0.00345982	0.00372048	0.00272758	0.00410748	0.00415667	0.00346217	0.00397081	0.00388056	0.00472592	0.0047168	0.00576374	0.00428782
yeux	0.0390516	0.0895365	0.0491672	0.110668	0.0762562	0.0825882	0.062979	0.0677019	0.0860681	0.082864	0.0633634	0.0516529	0.026867	0.0110525	0.00366931	0.0010708	0.00112412	0.00399241	0.00568346	0.00513137	0.00489014	0.00334186	0.00480056	0.00646578	0.00569472	0.00569722	0.00878237	0.00750525	0.0059511	0.00615935	0.00437955	0.00300971	0.00277814	0.00362432	0.00327331	0.00315801
se	0.0154306	0.0264941	0.0245261	0.0286648	0.0276475	0.0502681	0.0409586	0.0839384	0.040644	0.0535622	0.0401791	0.0645858	0.0528706	0.0706877	0.0426008	0.0278595	0.0225554	0.0227318	0.019122	0.00988429	0.0143169	0.0229228	0.0213274	0.0124585	0.0117165	0.00943112	0.0129368	0.0113843	0.0137231	0.0164962	0.0154782	0.0141186	0.0166632	0.0177794	0.0153191	0.00871657
sont	0.0213983	0.0530898	0.0194552	0.0145878	0.0170975	0.0356629	0.0206539	0.0470849	0.0294451	0.0137334	0.010418	0.00990417	0.0127684	0.017995	0.0266676	0.0382602	0.0507733	0.0496017	0.0494942	0.0400473	0.0467001	0.0429773	0.0390298	0.0241824	0.0236089	0.0217455	0.0205852	0.0186124	0.0170459	0.0191961	0.017602	0.0160635	0.0246191	0.0248593	0.0310366	0.0339975
enflés	0.00478541	0.00859111	0.0054077	0.00855143	0.0115635	0.0225652	0.0142817	0.0246398	0.0165541	0.029669	0.0110537	0.013989	0.0237604	0.0296534	0.0280157	0.0287906	0.0273492	0.028757	0.0317667	0.0281665	0.0342886	0.0301425	0.0315179	0.0391729	0.0409088	0.0527402	0.0465326	0.038568	0.0356576	0.0344299	0.0246543	0.0260229	0.0324939	0.0390331	0.0429008	0.0530248
à	0.0221948	0.038937	0.0403718	0.0301229	0.033876	0.0427662	0.0373644	0.0417497	0.0314689	0.0406969	0.0288934	0.0292317	0.0181488	0.0136644	0.013624	0.0142274	0.0159945	0.0151651	0.0170419	0.0165796	0.0220644	0.0280344	0.0426439	0.0350943	0.0398587	0.0432707	0.0300856	0.0305807	0.0297681	0.0303311	0.0283094	0.0194182	0.0167825	0.01732	0.0176595	0.026659
cause	0.0121159	0.0133807	0.0104416	0.0111321	0.0186354	0.0304418	0.0239865	0.0270564	0.0244631	0.00835506	0.0114474	0.00945518	0.0105852	0.0112313	0.0134868	0.0208994	0.0248629	0.0266171	0.0310986	0.0309903	0.0470845	0.0605249	0.0616102	0.0627783	0.0510616	0.0466286	0.0326915	0.0389229	0.0355487	0.0340923	0.0355239	0.0262408	0.024417	0.0248252	0.0237	0.0236668
de	0.0131331	0.0103481	0.0106472	0.0121444	0.0151772	0.0176626	0.0151158	0.0155972	0.0130982	0.0180697	0.0112556	0.0174455	0.0166499	0.0139766	0.0149758	0.015837	0.0165261	0.0166066	0.0176549	0.0162755	0.0245332	0.0284563	0.0461612	0.0449335	0.0535346	0.0741807	0.0440244	0.0592606	0.0495677	0.0457785	0.0473045	0.0400394	0.0334617	0.0340785	0.0384816	0.0380064
ses	0.0193481	0.0166871	0.0141724	0.0191757	0.0184278	0.0159432	0.00625379	0.0048024	0.0056184	0.00380107	0.00408435	0.00563252	0.00739848	0.0067367	0.00739862	0.0101924	0.0132084	0.0173479	0.0229646	0.0291819	0.0522236	0.0672822	0.0696202	0.0700358	0.0632914	0.0510997	0.0447622	0.0344727	0.03956	0.0457732	0.0463447	0.033218	0.0352163	0.0361407	0.0319042	0.0306794
pleurs	0.0137584	0.0131256	0.013966	0.0167886	0.013651	0.0126099	0.00992202	0.00627893	0.00755868	0.00433711	0.00354451	0.00461865	0.00642086	0.00831558	0.0117555	0.0144118	0.02188	0.0189042	0.0249389	0.0329116	0.0248026	0.0285423	0.0352021	0.0293433	0.0288242	0.0256838	0.0251653	0.0282895	0.0318679	0.0453832	0.043671	0.0465165	0.0792318	0.0783065	0.0925482	0.0969236
</S>	0.017015	0.0144727	0.0113079	0.0172652	0.0188261	0.0193787	0.0172723	0.0123911	0.0126397	0.0135433	0.00947819	0.0144017	0.0154429	0.0139736	0.0178815	0.0206351	0.0287932	0.0274549	0.0324966	0.0445395	0.0378196	0.0404756	0.0445593	0.0397808	0.0381571	0.0320931	0.037243	0.0306878	0.0323062	0.0379576	0.037459	0.0390459	0.0427868	0.0383597	0.0470893	0.04497
