 	l	e	b	o	n	g	i	í	s	á	a	s	á	n	d	z	á	l	é	</S>
il	0.0182381	0.0136375	0.0161407	0.01313	0.0196274	0.0488783	0.100196	0.103578	0.0818532	0.149217	0.153822	0.0917294	0.0349917	0.0244006	0.0222955	0.0212115	0.0218756	0.0260285	0.0209727	0.018177
y	0.0763942	0.0708811	0.061418	0.0798937	0.0964774	0.0865533	0.117583	0.0802507	0.026879	0.0178669	0.0466905	0.0481408	0.0386755	0.0402447	0.0353925	0.0240411	0.0164132	0.0183345	0.00983949	0.00803025
a	0.0537564	0.0499348	0.0476122	0.0349609	0.0356265	0.0226388	0.0273046	0.0317568	0.0237411	0.0242681	0.0269866	0.0253894	0.0332247	0.0763874	0.128689	0.171849	0.0973493	0.0437118	0.0231593	0.0216528
des	0.0188757	0.0288459	0.0250694	0.0391417	0.0504947	0.0470288	0.04607	0.0246423	0.0191792	0.0298041	0.0490708	0.0568123	0.0517504	0.0645415	0.0661303	0.0758857	0.0737084	0.104301	0.0634297	0.0652179
nappes	0.0737031	0.0531183	0.0369731	0.0404712	0.0336127	0.0350177	0.0239295	0.0240242	0.0383266	0.0387321	0.0459623	0.047378	0.0529451	0.081463	0.0714528	0.0554979	0.0638922	0.0447758	0.0497551	0.0889692
de	0.0513628	0.0572791	0.0396278	0.0420054	0.0467252	0.0511479	0.0411481	0.041	0.0361071	0.041464	0.0530319	0.0321717	0.044824	0.0517199	0.0511653	0.0562147	0.0697361	0.0463537	0.0493086	0.0976065
brume	0.0981805	0.0682003	0.0494579	0.0584254	0.0475708	0.0516022	0.0380581	0.0195862	0.0154891	0.0119526	0.0111929	0.00882605	0.0106744	0.0123657	0.0281007	0.0390105	0.05867	0.0823921	0.097905	0.19234
sur	0.0738716	0.0783173	0.0594094	0.0706441	0.0710221	0.0641233	0.030621	0.0101859	0.00839762	0.0103904	0.0127138	0.0113615	0.0123541	0.0115172	0.015681	0.0283249	0.0514176	0.0794826	0.0964475	0.203717
le	0.0910685	0.0676023	0.0592333	0.0509189	0.0345724	0.0310504	0.0266819	0.0141247	0.0106635	0.0123333	0.018647	0.0191677	0.0198431	0.0163682	0.0191849	0.0272932	0.048934	0.0877529	0.111693	0.232867
fleuve	0.0876066	0.0703718	0.0619182	0.0452582	0.0320799	0.0256392	0.0189044	0.0118827	0.00876408	0.00802044	0.0121358	0.0128695	0.0132836	0.0142885	0.0213896	0.0319002	0.0545458	0.0877622	0.139561	0.241818
</S>	0.111831	0.0550616	0.0498999	0.037811	0.033007	0.0378793	0.0272699	0.0106933	0.00563618	0.00435577	0.0103932	0.0111786	0.0109968	0.0119696	0.0242437	0.0508838	0.0807586	0.099357	0.112274	0.214499
