 	i	p	f	ú	b	h	u	l	u	í	d	i	m	ó	n	ω	ω	m	á	p	o	o	</S>
on	0.125981	0.119045	0.0200055	0.0221903	0.0411132	0.056699	0.0305279	0.0634433	0.0422155	0.0630798	0.0524825	0.0638829	0.0537201	0.02902	0.0306117	0.025074	0.0249065	0.0216033	0.0283781	0.0209859	0.0200927	0.017695	0.0272468
se	0.0588578	0.0830187	0.0722978	0.0545178	0.0707554	0.0618206	0.0492895	0.0318025	0.0442148	0.0340918	0.0336441	0.0295118	0.0358938	0.0354528	0.0615351	0.0717019	0.0509682	0.043863	0.0231198	0.0128498	0.0119977	0.012683	0.016112
lave	0.033282	0.0339985	0.0528199	0.0698472	0.035404	0.0503591	0.114644	0.0656562	0.065749	0.0498867	0.0425275	0.0313632	0.04	0.044725	0.0569976	0.0253804	0.0344089	0.0275581	0.034712	0.0313382	0.0201655	0.019188	0.0199893
là-bas	0.0268002	0.0264183	0.037956	0.0364073	0.0596488	0.0573921	0.0388159	0.0374401	0.0544747	0.0579024	0.0436773	0.0633011	0.0445397	0.0294178	0.0329621	0.0487611	0.0263729	0.0244036	0.0230227	0.0294996	0.0382316	0.0605354	0.102019
à	0.0184904	0.0213188	0.0260393	0.0276257	0.0330783	0.0330267	0.0331824	0.0295013	0.0295483	0.0234471	0.0300458	0.0403794	0.0396973	0.0346757	0.0496475	0.0718415	0.0542646	0.0500891	0.0463366	0.0582167	0.0799423	0.0585181	0.111087
l'	0.0426365	0.0405771	0.0510215	0.0471506	0.0455898	0.0461494	0.0476243	0.0415777	0.0400586	0.0294902	0.0317344	0.03611	0.0280781	0.0313762	0.0342322	0.0373239	0.0366443	0.0369091	0.037805	0.0477382	0.0537582	0.0439244	0.11249
entrée	0.0401055	0.0381889	0.0426174	0.0295921	0.0297238	0.0250085	0.0197589	0.0154517	0.0131037	0.0102446	0.0106605	0.0121289	0.0134793	0.0250894	0.0599886	0.0784061	0.0694039	0.0648095	0.0633257	0.0622117	0.0902033	0.0702965	0.116201
du	0.0127652	0.0167839	0.0207898	0.0251034	0.0240991	0.0239611	0.0234291	0.02113	0.024864	0.0271629	0.026262	0.0281379	0.0271298	0.0256966	0.0419971	0.0673781	0.0627126	0.0827037	0.067348	0.0803475	0.0708669	0.064532	0.134799
village	0.0628536	0.0424547	0.0414926	0.0298475	0.0287088	0.0229932	0.0118282	0.00764496	0.0060697	0.00572227	0.00678368	0.00931029	0.0134786	0.0296629	0.0458068	0.0671567	0.0610145	0.0589709	0.0630301	0.0767553	0.0973603	0.104949	0.106105
</S>	0.0316588	0.0263849	0.0248145	0.0227339	0.0225771	0.0205489	0.017963	0.0166179	0.0143042	0.0115444	0.0117329	0.0168482	0.0200832	0.0264934	0.0469802	0.084385	0.0714476	0.0732251	0.0635616	0.0763287	0.0725753	0.0959617	0.131229
