 	o	s	á	á	m	ó	ó	d	z	e	b	h	á	n	d	a	á	y	u	b	h	u	</S>
qui	0.00597665	0.0079026	0.00992726	0.0118844	0.00709026	0.0081496	0.00827615	0.00895611	0.00884031	0.0091149	0.0173284	0.0319247	0.0386459	0.0374434	0.0531092	0.0696656	0.129027	0.15375	0.139605	0.102535	0.0658442	0.0498362	0.0251662
est	0.133998	0.149507	0.0906681	0.128017	0.0584014	0.0263439	0.0136435	0.0217237	0.0158839	0.0186143	0.0269322	0.0221572	0.0338215	0.0319273	0.0428626	0.0449655	0.0298981	0.024535	0.0202361	0.0162476	0.0114249	0.0161514	0.0220403
ce	0.0502058	0.056128	0.0302408	0.0288538	0.0134057	0.0157978	0.0167082	0.0239262	0.0206594	0.0342677	0.0616664	0.0481977	0.0463802	0.0457366	0.0799233	0.0960548	0.0880881	0.0866508	0.0634281	0.0327924	0.0143881	0.0175004	0.0289997
qui	0.0655179	0.0511381	0.0391624	0.0361523	0.0299386	0.0269757	0.0295163	0.0336768	0.0421187	0.0416276	0.0482408	0.0340685	0.0362494	0.0569398	0.0926938	0.0855752	0.0706661	0.0530289	0.0304358	0.0230995	0.0157549	0.0229658	0.0344572
a	0.029057	0.0420939	0.0432054	0.0595467	0.0830121	0.0745596	0.0804478	0.0671943	0.0717905	0.0698789	0.0334688	0.0124222	0.0122542	0.0184509	0.0332441	0.0358169	0.0271616	0.0483913	0.0266551	0.022129	0.0115383	0.0262393	0.0714421
arraché	0.0697842	0.0796433	0.0531904	0.044204	0.0618462	0.0531128	0.0544746	0.0328602	0.0248323	0.0390798	0.0395007	0.044365	0.0408263	0.0446234	0.0478637	0.0467348	0.0282289	0.0216952	0.0185679	0.0170614	0.0241191	0.0326972	0.0806885
le	0.0301013	0.0335044	0.02842	0.0177297	0.0216624	0.0315707	0.038773	0.0284892	0.0368217	0.0346886	0.0408549	0.0397579	0.0424799	0.0346687	0.0320983	0.0320836	0.0385724	0.0410458	0.0468605	0.0497166	0.0721983	0.0811074	0.146795
safoutier	0.0935082	0.0928726	0.0784549	0.0490941	0.0306527	0.0233674	0.0345714	0.0201249	0.0205426	0.0157405	0.0130548	0.00655654	0.00748677	0.00651202	0.00873506	0.0104227	0.0119261	0.0331003	0.0215656	0.0285914	0.028016	0.0851861	0.279917
qui	0.079094	0.0463123	0.0302837	0.0262985	0.0180522	0.00997295	0.00885213	0.00834103	0.00643592	0.00573035	0.00672932	0.00718353	0.0122358	0.0163837	0.045455	0.0684663	0.073117	0.106942	0.0842315	0.0684464	0.0679725	0.0632148	0.140249
était	0.176052	0.0967947	0.0539179	0.0297979	0.00985463	0.00519086	0.0056571	0.00472823	0.00363918	0.0033866	0.00359291	0.00453495	0.00513125	0.00607399	0.0070947	0.00885924	0.0198709	0.0376308	0.0432587	0.0699513	0.0931398	0.0927637	0.219078
là	0.0999917	0.060958	0.0559499	0.0486046	0.0215946	0.0122378	0.0100123	0.00755002	0.00840092	0.00632986	0.00415235	0.00252072	0.00258903	0.00356155	0.00881099	0.0140651	0.0243033	0.0427845	0.0511053	0.0860064	0.105003	0.146355	0.177113
</S>	0.0847547	0.0541074	0.038925	0.0468223	0.0554585	0.0321104	0.0296896	0.0273249	0.0247107	0.0215294	0.0180805	0.0177244	0.0238975	0.0273373	0.0261751	0.026274	0.0399256	0.0384026	0.0536165	0.06008	0.067271	0.0604463	0.125336
