 	e	k	y	e	l	í	í	l	í	y	é	é	k	y	ε	l	í	í	w	a	n	g	á	n	y	a	m	a	é	d	i	y	u	l	u	</S>
la	0.0168894	0.0164971	0.0214396	0.0216466	0.0208414	0.0240508	0.0262262	0.0252418	0.0164638	0.0393024	0.0613505	0.0641066	0.0606511	0.0327018	0.026647	0.029915	0.0249907	0.0408325	0.0218916	0.0387716	0.0449423	0.02688	0.0178939	0.0191027	0.0193157	0.0229227	0.00963677	0.0127214	0.00929273	0.0189466	0.0193316	0.0300507	0.0358134	0.0292928	0.0216223	0.0317768
manière	0.0137932	0.0202813	0.0293167	0.0158374	0.0122412	0.0145097	0.0138964	0.0205529	0.0202541	0.0483258	0.0536848	0.0388086	0.030976	0.0276023	0.0390758	0.0376564	0.0259573	0.0590615	0.052281	0.0620301	0.0396211	0.0244027	0.032036	0.0245511	0.026127	0.0110859	0.0137449	0.00805249	0.0251178	0.0843333	0.026868	0.0259561	0.011224	0.00471802	0.00267261	0.00334645
dont	0.138955	0.0565302	0.0250692	0.012602	0.0189255	0.0167767	0.0183284	0.0304626	0.0192132	0.0171726	0.0136515	0.0161139	0.0185839	0.0193071	0.0261234	0.0445609	0.049421	0.0631191	0.0741209	0.0572206	0.0342061	0.0267978	0.0483208	0.022385	0.0210719	0.010947	0.0114133	0.00757432	0.00659047	0.0109327	0.0067609	0.0086874	0.00807428	0.00742386	0.012504	0.0200523
il	0.0370427	0.0582771	0.0783261	0.105999	0.0673098	0.039846	0.0441811	0.0490323	0.0230076	0.0191043	0.0175785	0.0110613	0.0126196	0.0133211	0.0080652	0.0330092	0.0630183	0.0232554	0.00903539	0.0166537	0.0349071	0.0180071	0.0290473	0.0274129	0.0290484	0.0198515	0.0146763	0.0160024	0.00255685	0.0077047	0.00563545	0.00585974	0.00579775	0.00733624	0.00710953	0.0393029
m'	0.0646808	0.0387291	0.0260528	0.0279207	0.0276933	0.0345734	0.0254782	0.0222285	0.0148227	0.0090979	0.0125988	0.0184085	0.0233452	0.0168776	0.0251182	0.0381799	0.0632809	0.0228871	0.0342591	0.0314279	0.0733334	0.0617867	0.042322	0.0503286	0.0444912	0.0319552	0.0212498	0.0235802	0.00724717	0.0180604	0.0080733	0.00600296	0.00787011	0.00547054	0.00802408	0.0125436
a	0.0581416	0.0450923	0.0511489	0.0603558	0.063789	0.0468489	0.0183997	0.0134049	0.0111367	0.00881681	0.0106488	0.0172099	0.0219415	0.0128343	0.0224133	0.022228	0.0355524	0.0264863	0.0220922	0.0157921	0.0324786	0.0592385	0.0283537	0.0293222	0.0358721	0.0228956	0.0289917	0.0220089	0.00923114	0.0345769	0.00920073	0.0072424	0.011892	0.0113113	0.0207816	0.0522692
brimé	0.056475	0.0347871	0.0235341	0.0128168	0.0214387	0.0169026	0.0119905	0.0137718	0.0108929	0.00866182	0.00915691	0.0117907	0.0143403	0.0222694	0.0326619	0.0611501	0.0629562	0.0419585	0.0458288	0.031521	0.0384667	0.0499733	0.0330187	0.0382831	0.0362445	0.0367551	0.0179827	0.017822	0.00836625	0.0189222	0.00741195	0.00631079	0.00999159	0.0158342	0.0295899	0.090122
dans	0.0470251	0.0325822	0.0321869	0.0415213	0.0623907	0.0585707	0.0469289	0.0474632	0.0392308	0.0278451	0.0258343	0.040464	0.0435932	0.0251909	0.041447	0.019207	0.0235162	0.0135732	0.0216527	0.0179252	0.0238457	0.0236916	0.0115299	0.0138842	0.0170292	0.0138822	0.00793513	0.0154208	0.00599461	0.0113046	0.00852007	0.0111623	0.0116024	0.0166189	0.0283516	0.0710782
le	0.0314227	0.0433649	0.0385163	0.0458246	0.0397224	0.0364455	0.0503448	0.0543766	0.0496738	0.0217377	0.0236832	0.0324916	0.0282941	0.0365751	0.0335277	0.0305645	0.0600487	0.0256474	0.0373979	0.0147281	0.0135984	0.0142377	0.00824772	0.00591901	0.00567924	0.00474119	0.00338324	0.00476802	0.00449395	0.00804078	0.00384712	0.00671295	0.0102247	0.0289877	0.0370126	0.105718
partage	0.0274324	0.0374273	0.0274878	0.0172366	0.0105558	0.0130974	0.0181458	0.0161625	0.0158162	0.009802	0.010109	0.00941731	0.0113388	0.0174184	0.0194735	0.033592	0.0834309	0.0496932	0.0649634	0.035759	0.0357479	0.0639156	0.0372579	0.0358263	0.0325068	0.0271842	0.011822	0.0161784	0.00716922	0.0106931	0.00855509	0.0112183	0.017085	0.0392787	0.0421903	0.0750115
du	0.0395371	0.0464566	0.0440544	0.0331285	0.0317463	0.0310719	0.0484439	0.0617898	0.0530323	0.0251554	0.0206026	0.0167828	0.018178	0.0236017	0.0203262	0.0279221	0.0599071	0.0181545	0.0500148	0.0329882	0.0483319	0.0364464	0.0214933	0.024246	0.0228708	0.0233894	0.00685642	0.0140203	0.0043137	0.00469399	0.0053931	0.00926613	0.00752669	0.0174413	0.013402	0.0374144
gibier	0.145679	0.0865639	0.0724852	0.0845425	0.0323113	0.0276595	0.0250953	0.0257004	0.0210319	0.0109584	0.00819346	0.0127496	0.0150228	0.0162289	0.0237654	0.0179414	0.0233923	0.0151498	0.0216404	0.0140757	0.0141956	0.0186883	0.0135967	0.0109471	0.0132645	0.00858245	0.0104356	0.0109732	0.00651456	0.0169334	0.00639849	0.0131659	0.0116965	0.0197384	0.0409855	0.0836971
montre	0.106263	0.062843	0.033111	0.0201852	0.00618403	0.00696058	0.00364467	0.00369025	0.00430974	0.00456068	0.00643927	0.00758269	0.0102738	0.00989487	0.0227904	0.0507998	0.0343959	0.0394059	0.052958	0.0527532	0.0488133	0.0460113	0.0329777	0.0492794	0.0345373	0.0176426	0.00792062	0.0129188	0.00716499	0.0282718	0.0109182	0.0140548	0.0282322	0.0158915	0.0386065	0.067713
