 	o	k	ώ	s	i	l	i	m	w	á	n	a	y	a	n	g	á	s	á	b	í	n	í	á	d	z	e	n	d	a	</S>
quelle	0.00348253	0.00427834	0.00430655	0.00382243	0.00592415	0.00956534	0.0184897	0.0184002	0.0138612	0.017272	0.0201059	0.0325814	0.024527	0.0350149	0.0267042	0.0425223	0.0237747	0.0237407	0.0497432	0.0251715	0.0340321	0.045942	0.0256177	0.0404689	0.031214	0.0446789	0.0594818	0.0771729	0.077232	0.102357	0.0585148
est	0.101247	0.0931551	0.0664523	0.0583562	0.0373203	0.0451947	0.0617225	0.0755402	0.0630446	0.0583062	0.0219617	0.0265263	0.0154927	0.0121843	0.0101415	0.0103629	0.0211048	0.033313	0.033294	0.0328686	0.0234117	0.0206889	0.00837245	0.0123213	0.00852358	0.00934503	0.00950611	0.0101511	0.00237728	0.00540707	0.0123067
parmi	0.0177037	0.00795262	0.00731584	0.00564216	0.00775002	0.00710665	0.00710063	0.0178412	0.0205543	0.0194215	0.00958157	0.0142009	0.0246829	0.0290565	0.031318	0.023818	0.0319561	0.0386902	0.13308	0.0133419	0.0596108	0.0872907	0.0807057	0.0826685	0.05859	0.0348036	0.0393016	0.03589	0.0112007	0.0329086	0.00891495
vous	0.0230343	0.0278293	0.0233172	0.0263023	0.0345496	0.0233964	0.0351221	0.0331254	0.0291169	0.027459	0.0188492	0.0234472	0.0305053	0.0351993	0.0309797	0.0274971	0.0428325	0.0373439	0.0503927	0.0416362	0.0471678	0.0361983	0.0571272	0.0470002	0.0358324	0.0357126	0.0214018	0.0232974	0.0118424	0.0235658	0.0389183
la	0.00851734	0.0192459	0.025213	0.0295558	0.0363448	0.0239192	0.030258	0.0237195	0.0487697	0.0557076	0.0264833	0.0137883	0.0208425	0.0236802	0.025602	0.0278778	0.0349745	0.0261882	0.0652798	0.0661612	0.0856718	0.0508182	0.083281	0.0438004	0.0295238	0.00852226	0.0117702	0.0106316	0.0169467	0.0125654	0.0143402
personne	0.0312928	0.0411821	0.0361656	0.027483	0.0237976	0.0449782	0.0421653	0.0336833	0.0371605	0.0325483	0.0399524	0.0375143	0.0358889	0.0407505	0.038856	0.0415896	0.0362976	0.0405094	0.0361862	0.0319378	0.0227852	0.0177908	0.0247923	0.0205009	0.0191161	0.0181503	0.0203729	0.0258052	0.0243049	0.0345997	0.0418423
qui	0.0441559	0.063252	0.0516469	0.0378928	0.0244894	0.027256	0.0273423	0.0316985	0.0255674	0.0266203	0.0242927	0.0222865	0.0214957	0.017588	0.0169008	0.027498	0.0136015	0.0253568	0.054883	0.0635571	0.0450902	0.0302465	0.0343817	0.026392	0.0350579	0.0259938	0.0282948	0.0238964	0.0129749	0.0195516	0.0707387
a	0.0671435	0.096278	0.0734574	0.0378252	0.017281	0.0180316	0.0172887	0.0189606	0.0168617	0.0206749	0.0430984	0.0366793	0.0211505	0.0314807	0.0283009	0.0368143	0.0222907	0.0290309	0.0205713	0.012559	0.018358	0.0140125	0.0171722	0.0120581	0.0223407	0.0171216	0.0227379	0.0378946	0.00791499	0.0504254	0.114185
blessé	0.11151	0.0798142	0.0533267	0.0259317	0.0127208	0.00918891	0.00569651	0.00754466	0.00477759	0.00765041	0.0160557	0.0194238	0.0204133	0.021073	0.0189751	0.0229903	0.0154927	0.025372	0.0182222	0.0107924	0.0189601	0.0192217	0.0210296	0.0241758	0.0489671	0.0441637	0.053875	0.0602191	0.0164262	0.0609026	0.125087
mon	0.118398	0.047782	0.0265655	0.0136764	0.00701515	0.00616841	0.00422795	0.00447981	0.00366031	0.00493036	0.00908803	0.0111577	0.0185881	0.0221746	0.0232927	0.0269501	0.0198822	0.0285655	0.0180458	0.0123233	0.0186499	0.0208018	0.0157418	0.0296325	0.0441296	0.0779475	0.0774923	0.0755908	0.0337714	0.0807391	0.0985311
fils	0.113369	0.0767405	0.05225	0.0352299	0.0141872	0.0109289	0.00686725	0.0089924	0.00749908	0.0107517	0.0197914	0.0256955	0.0430311	0.0450846	0.0419876	0.0274912	0.0180886	0.0235379	0.0122056	0.00698616	0.014628	0.0109657	0.00814812	0.00966123	0.0172161	0.0213247	0.0310504	0.050437	0.0156225	0.0966904	0.12354
</S>	0.214726	0.153583	0.104004	0.0577178	0.0206338	0.00734669	0.00417858	0.00502616	0.00280805	0.00485589	0.00827619	0.0120172	0.0184068	0.0188245	0.0162091	0.0135197	0.0134674	0.0118225	0.00773267	0.00441125	0.0115382	0.0109495	0.00919946	0.011056	0.0216684	0.0194559	0.030843	0.0418428	0.0111166	0.0543372	0.0784252
