 	n	g	á	i	d	i	l	i	k	á	m	b	í	l	ó	k	w	á	m	í	l	á	m	b	a	</S>
j'	0.196701	0.300377	0.180409	0.10808	0.049853	0.00908889	0.00643243	0.00567346	0.00599218	0.0123065	0.0113908	0.00983006	0.0110035	0.00936896	0.00717259	0.0091689	0.00776337	0.00579754	0.0067043	0.00677515	0.00713839	0.00701732	0.00680272	0.00659595	0.00631787	0.00623952
ai	0.139805	0.0874534	0.0540436	0.0249212	0.0216734	0.0342224	0.0178276	0.0406327	0.0386828	0.0351494	0.0574081	0.0621451	0.0500584	0.0607663	0.0421237	0.0222878	0.052119	0.013897	0.019305	0.0202152	0.0162542	0.0120841	0.00984146	0.00713591	0.0139101	0.0460373
besoin	0.0523098	0.0479012	0.0162023	0.0177767	0.0271154	0.0273864	0.02459	0.0282831	0.0356844	0.0384262	0.0657826	0.10855	0.0843421	0.038517	0.0471559	0.0300267	0.0485714	0.0183611	0.0288014	0.0264165	0.0328431	0.03576	0.0354853	0.0275908	0.0302366	0.0258843
du	0.0271566	0.0180053	0.0114165	0.0320874	0.0381126	0.0496383	0.0475195	0.0712463	0.0782639	0.0620548	0.0363257	0.0377404	0.0403259	0.0529418	0.0669232	0.0582136	0.0497202	0.0504229	0.0190573	0.013275	0.0192368	0.0117915	0.0217271	0.0187316	0.0294536	0.0386121
sel	0.0266607	0.0170484	0.00726006	0.0110276	0.0163319	0.0385024	0.0408265	0.0340789	0.0205243	0.0235586	0.0303514	0.037114	0.0401135	0.0433017	0.0396901	0.0432783	0.0384422	0.0374971	0.0426522	0.0445633	0.0513865	0.0463528	0.0533075	0.0620517	0.0704747	0.0836035
pour	0.0313473	0.0182885	0.0105248	0.0126438	0.0171953	0.0204192	0.0172713	0.0245565	0.0251642	0.0336736	0.0320188	0.0301283	0.0347296	0.034934	0.0409671	0.0538591	0.0564862	0.0604615	0.0425351	0.0507115	0.0541247	0.0433932	0.0566656	0.0539407	0.0635213	0.0804388
préparer	0.0483981	0.0184906	0.0096659	0.01492	0.0211757	0.0368774	0.0248781	0.0211296	0.015245	0.0192398	0.0238961	0.0251688	0.0303279	0.0361529	0.0381496	0.0330965	0.0416106	0.0384656	0.0448492	0.0517047	0.0585385	0.0606715	0.0622034	0.0561578	0.0698522	0.0991345
la	0.0382142	0.0313259	0.0222739	0.0252689	0.0327085	0.0355957	0.0237653	0.0151115	0.0149613	0.0182887	0.0190819	0.0179637	0.0196242	0.0187996	0.0170594	0.0315687	0.0317235	0.036424	0.0420296	0.0587851	0.0670083	0.0683416	0.0677381	0.0634978	0.0698395	0.113001
nourriture	0.022078	0.0257383	0.0344311	0.0381737	0.0298777	0.0220246	0.020281	0.0150768	0.0183775	0.0165643	0.0253228	0.0233248	0.02148	0.0200257	0.0158762	0.0383037	0.0333784	0.037638	0.0374042	0.0589553	0.0607293	0.0634834	0.0601532	0.0609892	0.0653623	0.13495
</S>	0.0528789	0.0259087	0.0228639	0.0475832	0.0441458	0.0394011	0.0322558	0.023888	0.0167026	0.0174244	0.0183016	0.0152947	0.00696897	0.005088	0.00596512	0.0218195	0.0200369	0.0327261	0.0185843	0.0346153	0.0666783	0.0617008	0.0796802	0.073825	0.0872101	0.128453
