 	b	á	a	b	á	a	k	á	n	d	á	i	s	i	m	b	a	p	á	b	h	a	y	é	</S>
aujourd'	0.0650431	0.0869852	0.105368	0.114284	0.104027	0.0537026	0.0553476	0.0564133	0.0514444	0.0488638	0.0532114	0.025679	0.02486	0.0272415	0.0177952	0.0194695	0.0111482	0.0151238	0.0159419	0.0150559	0.0110467	0.00834158	0.00492327	0.0042385	0.00444469
hui	0.0170051	0.0135025	0.0187014	0.0167164	0.0126603	0.0319063	0.0276691	0.0477928	0.0592977	0.0694424	0.0475482	0.0722785	0.0950403	0.159524	0.069948	0.0453314	0.0253741	0.0448764	0.0357176	0.0272938	0.0245098	0.0189152	0.00655566	0.00633897	0.00605383
ils	0.069345	0.064793	0.0854925	0.0549548	0.020829	0.0517089	0.0382394	0.0384512	0.0578288	0.0605888	0.0660606	0.0689472	0.0514227	0.0378267	0.0213895	0.0188643	0.0191556	0.0181284	0.0265111	0.024325	0.028219	0.0253423	0.0175874	0.0188385	0.0151502
vont	0.0167637	0.0298533	0.0501941	0.0399368	0.0378632	0.0239706	0.0275701	0.0368744	0.0258459	0.0334616	0.0331786	0.0303876	0.0228471	0.0163713	0.0260576	0.0321265	0.051371	0.0433884	0.0604933	0.0741012	0.0567189	0.0508511	0.0577851	0.0656212	0.0563674
couvrir	0.0210106	0.0179562	0.0225317	0.0177505	0.0145572	0.0159347	0.0272329	0.0270159	0.0313331	0.0410155	0.0293158	0.0295329	0.0308482	0.0263668	0.029823	0.028955	0.0360246	0.0451162	0.0531075	0.0772879	0.0697104	0.0595219	0.0764349	0.0741379	0.0974787
le	0.0219374	0.015573	0.0202178	0.02084	0.0215727	0.0223101	0.0281732	0.0347401	0.037036	0.0517216	0.0347797	0.0402411	0.0434525	0.0342538	0.0381392	0.0312357	0.0334422	0.0379839	0.0459997	0.07012	0.0634829	0.0575217	0.0619107	0.0492532	0.0840617
tam-tam	0.022206	0.0201948	0.0236982	0.0267563	0.0307625	0.0215218	0.024517	0.0353584	0.0206464	0.0292466	0.0203715	0.031382	0.0415416	0.0336234	0.0441007	0.0292663	0.0325858	0.0468592	0.0556228	0.0637829	0.0668033	0.05992	0.0728136	0.0526066	0.0938123
d'	0.031472	0.0365376	0.0384162	0.0296244	0.0269029	0.0355635	0.0402651	0.042317	0.0417877	0.0526367	0.0609351	0.0738372	0.0583675	0.0265076	0.0325346	0.0153835	0.0172135	0.0126244	0.0156363	0.0159713	0.0230013	0.0289083	0.0573051	0.0573783	0.128873
une	0.0330557	0.0305856	0.0322609	0.03188	0.0265611	0.0225989	0.0174782	0.0184466	0.0148993	0.0158487	0.0146975	0.0153657	0.0146372	0.0131423	0.0117033	0.0112066	0.0126076	0.0177142	0.0311811	0.0632924	0.0914379	0.108455	0.118298	0.111281	0.121365
peau	0.025734	0.0182199	0.0208476	0.0152657	0.00977831	0.00829322	0.0102535	0.0103799	0.0104554	0.0111735	0.0141927	0.0163828	0.0150253	0.0128293	0.0121458	0.0139501	0.018263	0.0234527	0.036915	0.0665037	0.0975605	0.104016	0.146954	0.125909	0.155499
</S>	0.0312375	0.0176042	0.0134418	0.014517	0.0145771	0.014369	0.0308397	0.0255728	0.0313035	0.0343634	0.0417929	0.0362207	0.0289165	0.0266674	0.0252791	0.0286279	0.0385376	0.0407106	0.0342909	0.0674289	0.0593465	0.0500579	0.0934964	0.0799464	0.120854
