 	t	á	á	b	ó	l	á	a	s	w	a	l	a	o	d	i	m	í	y	a	n	g	á	m	o	i	b	v	ú	a	</S>
mon	0.00656932	0.0306407	0.12148	0.0716526	0.0806111	0.0828277	0.0175036	0.017194	0.00805112	0.0173199	0.0166363	0.0118027	0.0436115	0.0693199	0.026951	0.0957176	0.0678352	0.0268345	0.0211193	0.0155142	0.0134143	0.0135205	0.0123066	0.0128183	0.0137976	0.011916	0.0143827	0.0105518	0.0185061	0.0127728	0.0168217
père	0.0783354	0.0702137	0.0603625	0.0877445	0.147959	0.0722887	0.0811674	0.0361154	0.0433645	0.121577	0.0388617	0.0335166	0.0118018	0.00991156	0.00960549	0.00720666	0.0109436	0.0102306	0.00517956	0.00299022	0.0027399	0.00654178	0.00379647	0.0112531	0.00526382	0.0099447	0.011369	0.00564853	0.00290151	0.000737315	0.000427949
est	0.0157592	0.0184738	0.0227603	0.0365996	0.0391622	0.0358726	0.0565817	0.061633	0.0429105	0.0691195	0.0529276	0.0457488	0.0347419	0.0210108	0.0658008	0.02507	0.0247373	0.0203131	0.0181346	0.0140846	0.0239146	0.0247644	0.031244	0.0379789	0.0238873	0.0234281	0.023603	0.0262787	0.0162278	0.026407	0.0208243
en	0.0126362	0.0110795	0.0111902	0.0112172	0.0113033	0.0118946	0.0324029	0.020374	0.0191179	0.036287	0.0354545	0.0392599	0.0427308	0.0300953	0.041761	0.0402602	0.0477326	0.0526475	0.0559549	0.0405816	0.0566948	0.0551047	0.0338558	0.0375668	0.0265134	0.0266451	0.0346036	0.0301304	0.032012	0.0230626	0.0398297
train	0.027584	0.023321	0.0193401	0.0187536	0.0167919	0.0185316	0.0243558	0.0207438	0.0262228	0.0223182	0.0242865	0.045861	0.0259988	0.0257317	0.0203122	0.0225934	0.0290849	0.0382413	0.0365629	0.0356198	0.0344406	0.0443064	0.037691	0.0531477	0.0442016	0.0387456	0.0400262	0.0523449	0.0400652	0.0396102	0.0531653
de	0.0620514	0.0510055	0.0328298	0.0326999	0.0769447	0.0702996	0.0371726	0.0334549	0.038279	0.0267932	0.019269	0.0129433	0.0340564	0.0261127	0.0109535	0.0103694	0.0177054	0.0107643	0.0198979	0.0210194	0.0147506	0.0121749	0.0167156	0.0136881	0.0117653	0.00796881	0.00926711	0.0124547	0.0344131	0.0518964	0.170284
frapper	0.0220967	0.0143726	0.0127664	0.0153729	0.015638	0.0171164	0.0197319	0.0385087	0.032614	0.0497115	0.0357389	0.0558548	0.0645933	0.108604	0.0463523	0.07099	0.0319203	0.023307	0.0214626	0.0228102	0.0204885	0.0254627	0.012206	0.0262392	0.0164331	0.0200239	0.0345675	0.0257978	0.0294095	0.0202486	0.0495603
mon	0.0318438	0.0251215	0.0207212	0.0240696	0.0179827	0.0171413	0.0102159	0.00982691	0.0107447	0.0101272	0.00932486	0.0112664	0.0118906	0.0132029	0.0102463	0.0148645	0.0223898	0.0275309	0.0262836	0.0419884	0.048598	0.0521665	0.0532998	0.0532876	0.0537285	0.0545716	0.0454472	0.0380472	0.0623834	0.074731	0.0969561
petit	0.0206468	0.0191848	0.0183424	0.0182573	0.0180509	0.0173196	0.0110983	0.0155024	0.0154593	0.0179772	0.0147193	0.021263	0.0250964	0.0386109	0.0125381	0.0172977	0.0230665	0.0269598	0.0255534	0.0539007	0.0541614	0.0475879	0.0551232	0.0376704	0.0562779	0.041725	0.0292225	0.0273605	0.0481775	0.0470097	0.124839
frère	0.0855099	0.0537251	0.023655	0.0352227	0.0198034	0.0134108	0.0137122	0.0158552	0.0135186	0.0213982	0.0201261	0.0319109	0.0294481	0.0461774	0.0185033	0.0184803	0.0123352	0.0150402	0.0277716	0.0528393	0.0197879	0.0247165	0.0413419	0.0186512	0.0241624	0.0209091	0.0290695	0.0217414	0.0437128	0.0440401	0.143424
avec	0.0617238	0.0605624	0.0370049	0.0400298	0.0312001	0.0207028	0.0161177	0.014074	0.0105588	0.0132466	0.0100008	0.0123193	0.011904	0.0127844	0.0124785	0.00997904	0.00527987	0.0075822	0.0129899	0.018069	0.009944	0.0144162	0.0274944	0.0245938	0.0219944	0.0225259	0.0383315	0.0487306	0.0692605	0.108851	0.19525
un	0.0425951	0.0410757	0.0257952	0.0320365	0.0228969	0.0219938	0.0260095	0.0347129	0.0238954	0.0300365	0.0191326	0.0269093	0.0197133	0.0264948	0.0165022	0.0213968	0.0163605	0.0252442	0.0291827	0.0408705	0.0266261	0.0308069	0.0310611	0.0283694	0.0301904	0.01865	0.0238685	0.0244134	0.0469813	0.0647119	0.131467
bâton	0.0416684	0.0524082	0.0372404	0.0451587	0.0221761	0.0140063	0.021168	0.0205525	0.0131489	0.0195377	0.018614	0.0316285	0.0298545	0.0271427	0.0220276	0.0230097	0.0196705	0.0234788	0.0312951	0.0421005	0.0342584	0.0412886	0.0304013	0.0227589	0.0213393	0.0229922	0.0264561	0.0249304	0.039085	0.0622641	0.118339
</S>	0.0726092	0.049454	0.0304405	0.0335786	0.026374	0.0230108	0.0225947	0.0261208	0.0166446	0.022366	0.0168759	0.0224266	0.0201352	0.0210676	0.0283012	0.023793	0.0181646	0.0245343	0.0432224	0.0294067	0.0197001	0.0192337	0.0337282	0.0243742	0.0227237	0.0143595	0.0148706	0.0263463	0.034779	0.0665501	0.152214
