 	a	m	b	ω	r	i	b	ó	b	á	a	t	u	m	b	á	á	m	ú	b	h	u	i	t	s	ω	ώ	</S>
les	0.0642742	0.0203425	0.0328712	0.0264678	0.0363305	0.037428	0.0469736	0.038005	0.0540547	0.0566525	0.057907	0.109376	0.080668	0.0809133	0.0621882	0.0261812	0.0193255	0.0218888	0.0180457	0.0208382	0.0193823	0.0220401	0.0130714	0.00709112	0.00692431	0.00635572	0.00599294	0.0084101
soldats	0.0260512	0.0587656	0.0422364	0.0671829	0.0777892	0.0936127	0.0812826	0.0691954	0.0666716	0.0753729	0.0692482	0.0751301	0.0474575	0.0234037	0.0149233	0.0113287	0.0086691	0.0117392	0.00924883	0.0103188	0.0120434	0.0112706	0.0115043	0.00719349	0.0084649	0.00382574	0.00281683	0.00325274
sont	0.0227775	0.04113	0.0215724	0.0237185	0.029279	0.0521838	0.0481012	0.0620525	0.0464049	0.053374	0.0630718	0.0414785	0.0573398	0.0735042	0.0516511	0.0658295	0.0374675	0.0283151	0.0181681	0.0164738	0.0252271	0.0196887	0.0209235	0.0209516	0.0244132	0.0162597	0.010579	0.00806437
en	0.0238073	0.0464471	0.0604434	0.051996	0.0599688	0.0659988	0.0606419	0.0522049	0.0536015	0.0284356	0.033565	0.0241919	0.0252815	0.0262378	0.0269431	0.0347451	0.0275206	0.0328832	0.0341519	0.033553	0.0237465	0.0225212	0.0209376	0.0240866	0.0387397	0.0244346	0.014402	0.0285136
train	0.0398668	0.0549011	0.0471439	0.0446329	0.0398884	0.0448386	0.0412036	0.0496023	0.0319247	0.0330352	0.0290923	0.0267621	0.0301215	0.0393753	0.0308177	0.0340862	0.0285892	0.0322063	0.0334233	0.0387239	0.0415071	0.0344051	0.0298611	0.0315886	0.0326235	0.0240843	0.0208086	0.0348863
de	0.100409	0.0688888	0.0542171	0.0694732	0.0809893	0.0511509	0.0863392	0.06874	0.108963	0.0863592	0.0258447	0.031389	0.0140232	0.0156727	0.0126258	0.00467283	0.00317407	0.00367732	0.00346018	0.00317264	0.0036876	0.00458222	0.00498794	0.00754502	0.0105742	0.0156568	0.0217965	0.0379268
flanquer	0.0144486	0.0155308	0.00821407	0.0110596	0.0119457	0.0125505	0.0137838	0.0143777	0.0148317	0.0166058	0.0282474	0.0282337	0.0514632	0.0666846	0.100163	0.119162	0.0823931	0.0838786	0.0601014	0.0400792	0.026306	0.01526	0.0118385	0.0214863	0.0212193	0.0232156	0.0322813	0.0546391
des	0.0393076	0.0396284	0.0335167	0.0391835	0.0399957	0.0325606	0.0275054	0.0252578	0.0245766	0.0297866	0.0264206	0.0183675	0.01101	0.0121208	0.0187293	0.0234156	0.0297929	0.0258686	0.0377436	0.0259859	0.0203463	0.0231341	0.0252292	0.0337255	0.0419445	0.0493689	0.0846991	0.160779
coups	0.0373345	0.0398354	0.0372879	0.0362576	0.0306356	0.0225473	0.0233576	0.0187016	0.0263007	0.0372085	0.0306756	0.0242936	0.0175242	0.0179864	0.0169195	0.0133611	0.0176185	0.0202622	0.0348935	0.0427461	0.033976	0.0376305	0.0368016	0.0367537	0.0523693	0.0542286	0.071398	0.131095
de	0.0517082	0.0612813	0.0342587	0.0461723	0.0401076	0.0350158	0.0350553	0.0251328	0.0261985	0.0385953	0.0197275	0.0186696	0.0172577	0.0193243	0.019495	0.0254266	0.0283022	0.0282448	0.0262335	0.019794	0.0247436	0.0274655	0.0326946	0.033674	0.0399181	0.0384308	0.0383909	0.148681
poing	0.028569	0.0319437	0.03409	0.0369471	0.0363599	0.0339181	0.032864	0.023709	0.0190041	0.0184488	0.0136004	0.0132744	0.0124377	0.0132639	0.0136041	0.0166518	0.0232991	0.0342973	0.0433291	0.0479433	0.0316605	0.0269022	0.023567	0.0300587	0.0553579	0.0744957	0.0927839	0.137619
au	0.0358379	0.039548	0.0507065	0.0593418	0.0571932	0.0474629	0.0441375	0.0294966	0.0285243	0.0303271	0.0122096	0.0136541	0.0080394	0.0145241	0.012388	0.0162426	0.0189623	0.0206243	0.0295588	0.0215728	0.0178047	0.0146667	0.0162427	0.0225929	0.0465861	0.05197	0.0775881	0.162197
voleur	0.0225341	0.0251695	0.0205339	0.0228558	0.0167425	0.0134366	0.0127362	0.00643847	0.00612959	0.00837227	0.00757351	0.00924817	0.0179616	0.0241352	0.0175495	0.0205644	0.0256691	0.0323467	0.032676	0.0408596	0.0381947	0.0386334	0.0362937	0.0526931	0.0849438	0.0757305	0.0878873	0.202091
</S>	0.0273783	0.0283638	0.0306327	0.0411857	0.0328741	0.0180841	0.0183094	0.0125249	0.0134487	0.0179107	0.00852801	0.0100644	0.00822308	0.0107622	0.00703959	0.0107749	0.0175251	0.0158584	0.0228638	0.0187518	0.0204208	0.0191457	0.0191676	0.0324256	0.0501365	0.0482281	0.0979801	0.341392
