 	l	e	b	h	ó	n	d	á	l	á	n	g	á	í	d	i	n	é	é	l	a	b	á	a	</S>
mon	0.0182523	0.00618879	0.00762328	0.0120269	0.00957514	0.0177033	0.0153571	0.00794437	0.0168233	0.0354757	0.04351	0.0617283	0.13408	0.0850159	0.13953	0.0843676	0.0802804	0.0435109	0.0473422	0.0408982	0.0203429	0.0215328	0.0192615	0.0187533	0.0128751
champ	0.0757197	0.095927	0.124073	0.0303625	0.0131802	0.0119826	0.0116089	0.0155717	0.0167705	0.0299757	0.0347365	0.0359982	0.0520891	0.072812	0.0656498	0.0743399	0.0625871	0.0402617	0.0437071	0.0360833	0.015289	0.023578	0.00729502	0.00679841	0.00360269
de	0.0551211	0.0738843	0.0250938	0.0143947	0.0102228	0.00966325	0.0183344	0.0294339	0.0393857	0.0286827	0.0444785	0.0467133	0.0517495	0.0610576	0.0605414	0.0689219	0.0724814	0.0666486	0.0318914	0.0320919	0.038138	0.0418018	0.0293232	0.0389816	0.0109631
du	0.0513011	0.0674337	0.0733337	0.0628672	0.0445208	0.0333165	0.0405477	0.0253917	0.0264669	0.0432366	0.0438358	0.038807	0.0837015	0.0838666	0.0449831	0.0284826	0.0210946	0.0241572	0.0153049	0.014793	0.0162535	0.0186767	0.0154683	0.0224683	0.0596908
sésame	0.0307479	0.0330387	0.0280241	0.0186934	0.0228536	0.0191603	0.0483053	0.0296963	0.0350778	0.0692889	0.0647728	0.064376	0.0512179	0.0310492	0.0639614	0.0297306	0.0339211	0.0371254	0.0225353	0.0310343	0.045281	0.0379346	0.0478257	0.0384637	0.0658846
est	0.0363583	0.0348154	0.0363471	0.0322723	0.0519257	0.0482417	0.0753056	0.0493398	0.0383328	0.0726102	0.050988	0.0431135	0.00750204	0.0142745	0.014477	0.0177821	0.0250528	0.0236671	0.0254128	0.0271487	0.0440998	0.0401386	0.0609758	0.0552866	0.0745316
distant	0.0710181	0.0611109	0.0543326	0.0396601	0.0356732	0.0330819	0.042337	0.0188671	0.0200627	0.0181902	0.0124663	0.0137456	0.00669471	0.0106792	0.00967728	0.0135356	0.017049	0.0221876	0.056976	0.0484224	0.0602508	0.0575179	0.0495474	0.0948369	0.13208
des	0.0424504	0.0308865	0.0452252	0.0654707	0.0928444	0.103155	0.106904	0.0755064	0.0427918	0.0310477	0.0160313	0.0118364	0.00498532	0.00526733	0.00378093	0.00475544	0.00751842	0.0147924	0.0174216	0.0250261	0.0311319	0.0295772	0.0346515	0.0469409	0.11
leurs	0.0486442	0.0406058	0.0492947	0.0470397	0.0530336	0.0397804	0.0232701	0.0146473	0.0120804	0.00644079	0.00287893	0.00255195	0.0015327	0.00213836	0.0015514	0.00271221	0.00566199	0.0227784	0.0353856	0.0575526	0.0820655	0.0818797	0.0819244	0.124277	0.160272
</S>	0.102561	0.073205	0.0537939	0.0486429	0.0466373	0.0382434	0.0224012	0.0156448	0.00971555	0.00668307	0.00348333	0.00287929	0.00129318	0.00220958	0.00227643	0.00220102	0.00619507	0.0245514	0.0283893	0.0424184	0.0573345	0.0488866	0.063872	0.0924494	0.204033
