 	a	y	ú	r	u	b	á	á	p	i	i	a	m	b	a	l	a	n	y	i	r	a	m	í	t	ó	a	</S>
ces	0.102268	0.131132	0.117248	0.0294234	0.0169971	0.00858694	0.0240958	0.0226702	0.0171266	0.020806	0.0264456	0.0459503	0.0435442	0.0389265	0.0364162	0.0287569	0.0290544	0.0327485	0.0290747	0.0220883	0.0223959	0.0246662	0.0215517	0.020465	0.0192911	0.0256494	0.0274375	0.0151839
femmes	0.0196376	0.0137142	0.0111927	0.052074	0.0895196	0.107439	0.0808636	0.09713	0.0603135	0.0577318	0.0346069	0.0266082	0.0146165	0.017921	0.018587	0.0291212	0.0215073	0.0323748	0.0189806	0.0242898	0.0241619	0.0279488	0.025679	0.02047	0.0310044	0.0211915	0.0138135	0.0075014
ont	0.0192439	0.0183533	0.031718	0.022435	0.0222995	0.0205099	0.0413991	0.0541506	0.0619302	0.0619402	0.0551028	0.110095	0.0863193	0.0577855	0.0539103	0.0247357	0.0274897	0.0263229	0.0211024	0.0250663	0.0232128	0.0204638	0.0259899	0.0213239	0.0178288	0.0136272	0.0157646	0.0198796
attrapé	0.0155492	0.0304235	0.0268313	0.0545741	0.037266	0.030337	0.0386014	0.0489843	0.0504287	0.0409508	0.0276184	0.045135	0.0217836	0.0282797	0.0247052	0.0189039	0.0212939	0.0193564	0.0264437	0.040981	0.0461513	0.04407	0.076414	0.0467932	0.0458118	0.0286951	0.0295588	0.0340587
des	0.0291543	0.0300531	0.036787	0.0361928	0.0358518	0.0191087	0.0201399	0.0189124	0.0189797	0.0198341	0.0195939	0.0305039	0.0297622	0.0350626	0.0360001	0.0354451	0.0378262	0.0223873	0.0256188	0.0237223	0.0269453	0.0309233	0.0375946	0.0443611	0.0625542	0.0582235	0.0659201	0.112541
grenouilles	0.0184847	0.0189593	0.0192757	0.0196409	0.0196394	0.0111404	0.0116778	0.0106459	0.0106759	0.0113688	0.0108893	0.0207232	0.0203446	0.0299827	0.0367866	0.045279	0.0410876	0.033267	0.046533	0.0538755	0.0584176	0.0539711	0.0593093	0.0604778	0.0668133	0.0681788	0.0640082	0.0785463
pendant	0.0298955	0.0245918	0.0337569	0.0314077	0.0353837	0.0300017	0.02568	0.027383	0.0304814	0.0269696	0.0221466	0.0182867	0.0224875	0.0213472	0.0259369	0.0274042	0.0285123	0.0195993	0.0270326	0.0350752	0.0326749	0.0259694	0.0373057	0.0488099	0.0512571	0.0727531	0.0707307	0.117119
la	0.0192939	0.0196041	0.0266794	0.0310102	0.036183	0.0282112	0.0229062	0.0235013	0.0226792	0.0198155	0.0128786	0.0169103	0.0151572	0.0183919	0.0202982	0.0289027	0.0247911	0.0235737	0.0302454	0.0363093	0.0394854	0.0316661	0.0475083	0.0630709	0.0668607	0.0795981	0.0764703	0.117998
pêche	0.0187782	0.0182347	0.0170939	0.0168994	0.0151224	0.00706714	0.00509255	0.00406783	0.00387229	0.00339122	0.00352031	0.00764607	0.00667982	0.0132169	0.0166663	0.0192227	0.0148054	0.0190973	0.029616	0.0397223	0.0442717	0.0482552	0.0563976	0.0764815	0.0715001	0.116144	0.137197	0.16994
</S>	0.037364	0.0241825	0.0429519	0.0394864	0.0381432	0.0405854	0.0373763	0.0361559	0.0337645	0.0352897	0.0301245	0.02583	0.0202484	0.0240961	0.0215316	0.0155162	0.0182707	0.0129328	0.0178153	0.0214502	0.0182356	0.0171219	0.0231267	0.0283067	0.0409533	0.0425335	0.0590509	0.197556
