 	n	g	ó	o	á	b	ε	n	g	i	l	a	w	a	t	s	í	n	a	w	a	a	d	í	l	a	m	b	έ	s	í	</S>
sa	0.139813	0.0603243	0.039308	0.0587532	0.0292033	0.0438305	0.0349873	0.0183072	0.0104632	0.0114147	0.01577	0.0124595	0.0133254	0.0269769	0.0304933	0.0129196	0.0106339	0.0115963	0.0404632	0.0172693	0.0468063	0.0312187	0.0351245	0.0279001	0.0311547	0.0406814	0.0257263	0.0329337	0.0271885	0.029274	0.0199022	0.0137772
mère	0.158041	0.218076	0.136404	0.10404	0.0601963	0.0372626	0.0395007	0.0656588	0.057158	0.0661808	0.017957	0.0056897	0.00532643	0.00190588	0.00298261	0.0019862	0.00126517	0.00077903	0.000288807	0.000184088	0.00113724	0.000605661	0.000872662	0.00308547	0.00263294	0.00432088	0.00206944	0.00212009	0.00110948	0.000552168	0.000510069	9.91256e-05
l'	0.0169353	0.0590143	0.0696964	0.0745746	0.0549943	0.0272381	0.0512508	0.0257503	0.0386361	0.0345361	0.02489	0.0142314	0.0138577	0.0226113	0.0185645	0.0337669	0.0400867	0.0396178	0.0274458	0.0349571	0.0258104	0.0493842	0.0259676	0.0268566	0.0271223	0.0343248	0.019937	0.0198548	0.0142169	0.0130484	0.0115839	0.00923755
a	0.0127817	0.0129642	0.0189923	0.0212728	0.0218577	0.017232	0.050201	0.056131	0.0841643	0.0844933	0.0771997	0.0420701	0.0805065	0.059779	0.0324945	0.0442835	0.0311209	0.037453	0.0138258	0.02595	0.0187734	0.02735	0.0194693	0.0194275	0.00741259	0.00728619	0.00835156	0.00733909	0.011088	0.0121617	0.0123118	0.0242559
blâmé	0.0167906	0.010588	0.00912539	0.0107268	0.00948294	0.00853506	0.0128873	0.0113466	0.0197485	0.0162731	0.0205338	0.0272584	0.0222756	0.0280327	0.0439282	0.0478207	0.037488	0.0376262	0.0445247	0.0501979	0.0458302	0.0497818	0.0546691	0.0577337	0.0515768	0.0448212	0.0445017	0.037235	0.0325818	0.0305008	0.0312941	0.0342833
à	0.036464	0.0206166	0.00994166	0.0121308	0.0118038	0.0088182	0.0177351	0.022413	0.0473927	0.0386434	0.034688	0.0369877	0.0302001	0.0287743	0.0228396	0.0271213	0.0215494	0.0179386	0.0401608	0.0153025	0.0142661	0.032407	0.0273725	0.0358047	0.0293944	0.0305053	0.0351613	0.0524687	0.0476111	0.0775011	0.0579962	0.0579898
cause	0.0302147	0.0189297	0.0137931	0.0190573	0.0188545	0.0204169	0.0274421	0.0258628	0.0292951	0.0260194	0.0282739	0.0236263	0.0218644	0.0176992	0.0233731	0.0307636	0.0254846	0.0159426	0.016994	0.0135837	0.0216408	0.026734	0.0316837	0.0516992	0.0501121	0.0544645	0.0556228	0.0575727	0.0456172	0.0456646	0.0400243	0.0716731
de	0.0289098	0.0174702	0.0143575	0.0192865	0.0238463	0.0225199	0.0297139	0.0391964	0.0376516	0.0390603	0.039993	0.0302692	0.026882	0.021312	0.0194329	0.0150713	0.00911146	0.00856767	0.0148627	0.00835125	0.00771495	0.0168445	0.0179676	0.0460888	0.0357435	0.0301973	0.0469509	0.0513291	0.0562171	0.0602524	0.0672712	0.0975568
son	0.0486022	0.0298327	0.0291757	0.0325303	0.0311204	0.0249846	0.0244424	0.0181589	0.0178811	0.0126042	0.0143797	0.0111796	0.00676599	0.00830334	0.0153314	0.0161337	0.0165581	0.0159421	0.0259866	0.0192548	0.0319571	0.0312848	0.0409176	0.0418826	0.0329587	0.0480233	0.0544196	0.0628352	0.0547828	0.0525447	0.042431	0.0867948
impolitesse	0.0486591	0.0402516	0.0434138	0.0379617	0.0237323	0.0168556	0.0216056	0.0169925	0.0179517	0.01297	0.012817	0.01099	0.00814198	0.0105807	0.0110413	0.0157522	0.0108493	0.0142253	0.0286714	0.0220591	0.0228302	0.0229078	0.0251238	0.0132663	0.00580023	0.014842	0.0227007	0.0332853	0.050886	0.0668845	0.0682804	0.227671
</S>	0.0355716	0.0336549	0.038714	0.0358357	0.0335451	0.0228672	0.0292733	0.0165255	0.0154197	0.0105135	0.0124845	0.00626461	0.00568255	0.00649258	0.00379342	0.00704843	0.00617112	0.0102429	0.0181411	0.0202004	0.014952	0.0178641	0.0241578	0.027079	0.022306	0.0251909	0.025122	0.0327959	0.0388021	0.0596141	0.080076	0.263598
