 	o	t	s	w	ω	ω	n	y	i	ó	d	í	i	s	á	l	a	i	b	é	</S>
le	0.0233627	0.0188879	0.00973436	0.012218	0.00986688	0.0127207	0.0137453	0.0183714	0.0313517	0.0590198	0.0491792	0.0499893	0.0535618	0.0450603	0.0790833	0.100203	0.0764145	0.0868205	0.0903608	0.0832949	0.0767533
fait	0.0649137	0.15949	0.147336	0.151012	0.0291702	0.0248944	0.0217855	0.067606	0.0408276	0.0369938	0.0479409	0.0636482	0.0351104	0.0265125	0.0256029	0.0205781	0.0155085	0.0135154	0.00345511	0.00161791	0.00248108
d'	0.0779865	0.0552028	0.0689436	0.0305543	0.0726321	0.0591798	0.0470311	0.0338971	0.0339584	0.0337229	0.0354969	0.0720491	0.0655694	0.0604036	0.0583716	0.0390393	0.0447387	0.0277654	0.0320327	0.0373434	0.0140813
assurer	0.0410347	0.040804	0.0560414	0.0638864	0.0865397	0.0786624	0.0514079	0.046487	0.0637264	0.0481222	0.0406639	0.0838985	0.0853417	0.0480721	0.0332388	0.0274774	0.0188509	0.02288	0.0246053	0.0182609	0.0199983
l'	0.0478131	0.0355811	0.0563807	0.0716126	0.0755069	0.0395289	0.0337387	0.0484222	0.056722	0.0424207	0.0321315	0.0452324	0.0461739	0.0529735	0.0525931	0.0653446	0.062971	0.0539214	0.0286998	0.0154531	0.0367789
intermédiaire	0.0480582	0.0668499	0.0387674	0.070032	0.0430985	0.0323414	0.0295159	0.0597015	0.048412	0.0337792	0.042661	0.0449922	0.0513937	0.0560037	0.0585561	0.0624081	0.0455327	0.0660947	0.0151125	0.0194233	0.0672659
entre	0.108484	0.082371	0.0658623	0.0712368	0.0548735	0.0386065	0.0501438	0.045359	0.0416542	0.0258442	0.0362527	0.0223313	0.0255914	0.0336178	0.0353304	0.0509905	0.0395972	0.0784288	0.0140149	0.0225769	0.0568325
deux	0.151084	0.127281	0.0994183	0.0706788	0.0330977	0.0126714	0.0157019	0.0171789	0.0170039	0.0114866	0.0148339	0.0161953	0.0183541	0.0249778	0.0196565	0.0276639	0.0238368	0.0787842	0.0194006	0.03912	0.161575
amants	0.174045	0.121401	0.0863357	0.0267186	0.0138859	0.00778785	0.0109351	0.0083711	0.00863142	0.00603351	0.00588808	0.00509373	0.00818781	0.0174878	0.0185655	0.0282748	0.0226517	0.0701079	0.0504826	0.0606196	0.248495
est	0.0601571	0.0436538	0.0443532	0.0719151	0.107171	0.0978859	0.0674375	0.0560491	0.0386343	0.028693	0.0152835	0.00961653	0.0128253	0.0155081	0.0275439	0.0314742	0.0316137	0.0472438	0.0526905	0.0469206	0.0933296
une	0.109063	0.124896	0.125442	0.0637815	0.0412022	0.0223018	0.0221312	0.0131389	0.0124224	0.00931873	0.0108344	0.0133353	0.0143771	0.0122686	0.0144398	0.0266892	0.0371703	0.045022	0.0696015	0.0510531	0.161511
mauvaise	0.0520885	0.0787838	0.0994266	0.0415616	0.032745	0.0174374	0.0155896	0.0104016	0.00916234	0.00814168	0.00523304	0.00733596	0.0126088	0.0224877	0.0277195	0.0390854	0.0469903	0.0809609	0.0879472	0.125373	0.17892
tâche	0.101683	0.0913246	0.0877504	0.0645843	0.0285997	0.0100085	0.0110554	0.0068637	0.00808678	0.00648652	0.00766113	0.0132342	0.0200091	0.0233134	0.0305584	0.0412547	0.045929	0.0612767	0.0682501	0.0731684	0.198901
</S>	0.123549	0.131512	0.137824	0.0990252	0.0361461	0.0157837	0.0149433	0.0108777	0.00997637	0.0048171	0.00321559	0.00466647	0.00835176	0.010745	0.0150857	0.0284745	0.0319138	0.0496973	0.0659732	0.0648547	0.132567
