 	w	ó	m	á	a	d	í	l	a	a	b	h	έ	l	έ	l	έ	n	d	é	n	g	é	é	t	s	ω	</S>
le	0.0088239	0.0100875	0.00767506	0.0143715	0.0106818	0.00775534	0.0238519	0.0261543	0.0414955	0.121916	0.0874945	0.111786	0.120116	0.0912926	0.0934156	0.0846199	0.0339517	0.0155185	0.00751417	0.00576539	0.00697339	0.01169	0.0105297	0.0104533	0.00917301	0.00661639	0.00997495	0.0103018
ruisseau	0.113285	0.227374	0.254961	0.176273	0.0528283	0.0525809	0.022529	0.0224461	0.0141204	0.0157595	0.00748015	0.00834469	0.00498233	0.00364209	0.00239701	0.000826845	0.00166891	0.00121941	0.00136949	0.0015666	0.00165292	0.00226247	0.00237571	0.0023516	0.00207032	0.00211938	0.000772263	0.00073987
vouma	0.039983	0.058019	0.0495323	0.0500475	0.0594864	0.125995	0.109343	0.0873899	0.0674963	0.0419262	0.0217797	0.0345666	0.0290867	0.0238377	0.0191915	0.0187604	0.0220251	0.0157682	0.00924286	0.00966595	0.0124973	0.0223247	0.0196884	0.0168147	0.011788	0.00682161	0.00843836	0.00848344
a	0.062428	0.121815	0.126015	0.0545524	0.0620984	0.0338808	0.0253775	0.0107495	0.0183798	0.0223439	0.0274899	0.021891	0.0178308	0.0240542	0.0293709	0.0174926	0.016838	0.0135491	0.0154531	0.0209363	0.0328484	0.0403295	0.032207	0.0247902	0.0197647	0.0215784	0.0271425	0.0587933
beaucoup	0.0446815	0.0454753	0.0408127	0.0249348	0.0240143	0.0209567	0.0292732	0.0407157	0.0434402	0.0507955	0.0413743	0.0254754	0.0176223	0.0204087	0.0220892	0.0287764	0.0291379	0.0259359	0.019772	0.0165016	0.0292146	0.0294483	0.036843	0.0400862	0.0527247	0.0593705	0.0588154	0.0813036
de	0.02454	0.0248955	0.0223177	0.0183009	0.0183107	0.0157518	0.0401399	0.0880477	0.112132	0.0947736	0.0745728	0.0548399	0.0406948	0.0315392	0.0213781	0.0237473	0.014757	0.0153221	0.0155599	0.0143657	0.0230482	0.0224222	0.0217792	0.0207921	0.0281269	0.0312414	0.033141	0.0534619
poissons	0.0172237	0.0179051	0.0139023	0.010523	0.0118198	0.0169378	0.0680201	0.0914576	0.0890256	0.091183	0.0433123	0.057486	0.0453125	0.046827	0.0370022	0.040027	0.0210745	0.0186262	0.0186334	0.0223148	0.0234716	0.0235815	0.0267955	0.0271959	0.0319468	0.0273061	0.0234095	0.0376792
blancs	0.0222355	0.0178749	0.0148137	0.0178095	0.0172931	0.0161492	0.0150307	0.00915005	0.0144306	0.0126423	0.0348223	0.0451507	0.0487778	0.0393621	0.0297208	0.0333181	0.0357346	0.0340578	0.0408904	0.0544265	0.0450413	0.0438999	0.048831	0.0495879	0.0508756	0.0532239	0.0564335	0.0984162
abhélélé	0.0425582	0.0403175	0.0326159	0.0177053	0.0170734	0.01612	0.019505	0.0151298	0.0243971	0.0258797	0.0233009	0.0286375	0.0177988	0.0130162	0.00950158	0.0109	0.016618	0.0182214	0.0198263	0.0353973	0.0407764	0.0376516	0.0554419	0.0552337	0.0485384	0.0855918	0.0765715	0.155675
</S>	0.0453876	0.0496252	0.0478369	0.0334139	0.0252952	0.0112926	0.0117019	0.00508572	0.0080938	0.0090826	0.0243866	0.0162272	0.0193132	0.0136203	0.0094896	0.0101653	0.0153167	0.0242378	0.0239661	0.0273407	0.0395606	0.0392198	0.0617756	0.0555822	0.0629964	0.0814326	0.111046	0.117508
