 	n	g	á	í	k	u	n	d	u	n	g	ó	o	y	a	m	w	á	s	í	m	é	b	ω	ω	y	á	m	b	e	n	d	z	a	</S>
j'	0.0506492	0.30257	0.402323	0.123445	0.0345558	0.00911257	0.00274686	0.00172948	0.00245286	0.0032958	0.00164159	0.00148391	0.00160585	0.00275281	0.00267934	0.00309894	0.00372457	0.00292331	0.00205488	0.00169416	0.00240852	0.00205007	0.00176304	0.00238978	0.0027846	0.0029941	0.00288819	0.00332823	0.00385927	0.00386213	0.0043156	0.0028636	0.00297403	0.00292181	0.00205621
ai	0.100496	0.0296983	0.0250799	0.0447455	0.0197051	0.0186484	0.0200862	0.0456392	0.0909883	0.0976192	0.0887399	0.0357704	0.0348506	0.0265943	0.0305875	0.0341186	0.0469829	0.0370251	0.0203908	0.019621	0.0135894	0.00918572	0.0122458	0.00720723	0.00829019	0.00561113	0.00506213	0.005171	0.00373695	0.00543863	0.00696048	0.00527932	0.00642509	0.00749004	0.03092
donné	0.0190396	0.0441028	0.0243802	0.0346429	0.0288792	0.039006	0.0451761	0.0467495	0.0411622	0.0320505	0.0364502	0.0530174	0.0309635	0.0363839	0.0334919	0.0333815	0.0183316	0.0155122	0.0202112	0.0409888	0.0269482	0.0246921	0.0223817	0.0358821	0.0256764	0.0286092	0.0214286	0.029157	0.0227877	0.0178248	0.0136739	0.0177318	0.0169213	0.0110631	0.0113006
un	0.0321306	0.0344836	0.0224943	0.0285088	0.0425121	0.0392456	0.0356639	0.046858	0.0408727	0.0144073	0.0385173	0.0387195	0.0397439	0.0323595	0.0244082	0.0237946	0.0175046	0.0130545	0.0215826	0.0258112	0.0217128	0.0206997	0.020551	0.0333895	0.0344833	0.0398327	0.0285858	0.0429028	0.0304443	0.0208277	0.020548	0.0176413	0.0204025	0.0173529	0.017953
drap	0.0171238	0.0124318	0.0105462	0.0178217	0.017577	0.0291016	0.0560787	0.0600565	0.0528409	0.0491108	0.070163	0.0588554	0.0250235	0.0223448	0.0154295	0.0147199	0.0125193	0.0139897	0.0134316	0.015111	0.0139965	0.0185824	0.0212377	0.0208809	0.0283019	0.0260291	0.0397853	0.0249048	0.0319725	0.0201716	0.0196526	0.01934	0.0207437	0.0367371	0.073387
blanc	0.00848401	0.00397053	0.00517989	0.00696478	0.00946156	0.0155633	0.0207724	0.0297227	0.0370184	0.0466546	0.0533384	0.0510913	0.0385438	0.0358636	0.0241226	0.0303185	0.0224124	0.0237595	0.0282434	0.0407602	0.0324541	0.0350518	0.0364466	0.0311405	0.0378767	0.0354577	0.0228733	0.0211083	0.0117846	0.0135182	0.00892359	0.00735101	0.0210924	0.0474213	0.105254
comme	0.00876969	0.00588934	0.00580648	0.00813199	0.0111781	0.0169809	0.0216281	0.0219688	0.0235961	0.026439	0.0248943	0.030794	0.0149565	0.0194734	0.0160073	0.0187144	0.0174487	0.0231509	0.028571	0.029125	0.0348185	0.0429814	0.0482031	0.0365354	0.0409243	0.036456	0.0350912	0.0296598	0.0284652	0.0314607	0.0254334	0.0164395	0.041067	0.0807248	0.0982156
contribution	0.0159479	0.0150617	0.0143289	0.0199373	0.0178984	0.0313868	0.0280207	0.0420978	0.0261681	0.0255844	0.0277335	0.037671	0.0183455	0.0219093	0.0179579	0.0215943	0.016922	0.0146134	0.0154765	0.0236346	0.0193921	0.0259004	0.0271979	0.0382426	0.0439756	0.0315388	0.036915	0.0369766	0.0332049	0.0275941	0.0258551	0.0291734	0.0360059	0.0528297	0.0829079
à	0.0576492	0.0259647	0.0143523	0.0251488	0.0210139	0.0361197	0.025757	0.0383647	0.0259362	0.0201677	0.0191812	0.0241042	0.0199802	0.0261122	0.0196773	0.0237708	0.0176904	0.0158242	0.0191936	0.0318354	0.0245221	0.0267623	0.0267956	0.0220877	0.0270323	0.0230034	0.0239669	0.0156043	0.0255473	0.0212109	0.0271249	0.0438357	0.0485093	0.0540911	0.0820627
l'	0.082001	0.0605088	0.0391964	0.047123	0.0341847	0.0385488	0.0231193	0.0247349	0.0150212	0.00854221	0.0088415	0.00979891	0.0154991	0.0167777	0.0158296	0.0200306	0.0222148	0.0242093	0.0340808	0.043866	0.0345888	0.0327651	0.0233103	0.0132921	0.011495	0.0106352	0.0103214	0.00924565	0.0141122	0.0179809	0.0370666	0.0232699	0.0535558	0.0379591	0.0862735
